# Time (s),Mass (g),T Back (K),T Front (K)
0,68.400,293.000,293.000
1,68.400,293.000,399.777
2,68.400,293.000,432.710
3,68.400,293.000,456.038
4,68.400,293.000,474.872
5,68.400,293.000,490.037
6,68.400,293.000,503.172
7,68.399,293.000,514.733
8,68.398,293.000,524.998
9,68.397,293.000,534.187
10,68.396,293.000,542.474
11,68.393,293.000,550.004
12,68.391,293.000,556.891
13,68.387,293.000,563.228
14,68.383,293.000,569.085
15,68.379,293.000,574.520
16,68.374,293.000,579.577
17,68.368,293.000,584.294
18,68.362,293.000,588.706
19,68.355,293.000,592.839
20,68.348,293.000,596.721
21,68.339,293.000,600.373
22,68.330,293.000,603.817
23,68.320,293.000,607.073
24,68.310,293.000,610.156
25,68.298,293.000,613.084
26,68.286,293.000,615.871
27,68.273,293.000,618.529
28,68.259,293.000,621.072
29,68.245,293.000,623.507
30,68.230,293.000,625.845
31,68.213,293.000,628.096
32,68.196,293.000,630.264
33,68.179,293.000,632.357
34,68.160,293.000,634.382
35,68.141,293.000,636.342
36,68.120,293.000,638.244
37,68.099,293.000,640.089
38,68.078,293.000,641.882
39,68.055,293.000,643.627
40,68.031,293.000,645.325
41,68.007,293.000,646.979
42,67.982,293.001,648.593
43,67.956,293.001,650.167
44,67.930,293.001,651.704
45,67.902,293.002,653.204
46,67.874,293.002,654.670
47,67.845,293.003,656.103
48,67.815,293.003,657.504
49,67.785,293.004,658.875
50,67.753,293.005,660.215
51,67.721,293.006,661.528
52,67.688,293.008,662.812
53,67.655,293.010,664.069
54,67.621,293.012,665.301
55,67.586,293.014,666.506
56,67.550,293.017,667.687
57,67.514,293.020,668.845
58,67.477,293.024,669.979
59,67.440,293.028,671.089
60,67.402,293.033,672.178
61,67.363,293.039,673.245
62,67.324,293.045,674.290
63,67.284,293.052,675.316
64,67.243,293.060,676.320
65,67.202,293.069,677.304
66,67.161,293.078,678.271
67,67.119,293.089,679.213
68,67.077,293.101,680.143
69,67.034,293.114,681.054
70,66.990,293.128,681.942
71,66.947,293.144,682.814
72,66.903,293.161,683.674
73,66.858,293.181,684.517
74,66.813,293.200,685.339
75,66.768,293.223,686.144
76,66.723,293.247,686.933
77,66.677,293.272,687.707
78,66.631,293.301,688.468
79,66.585,293.330,689.214
80,66.538,293.362,689.947
81,66.491,293.397,690.667
82,66.445,293.433,691.375
83,66.398,293.472,692.072
84,66.351,293.514,692.758
85,66.303,293.558,693.435
86,66.256,293.604,694.101
87,66.209,293.654,694.750
88,66.162,293.707,695.384
89,66.114,293.763,696.005
90,66.067,293.821,696.639
91,66.020,293.882,697.269
92,65.973,293.947,697.879
93,65.926,294.016,698.467
94,65.878,294.087,699.074
95,65.831,294.162,699.688
