# Time (s),Mass (g),T Back (K),T Front (K)
0,22.800,293.000,293.000
1,22.800,293.000,467.835
2,22.799,293.000,533.559
3,22.795,293.000,576.529
4,22.784,293.001,607.351
5,22.765,293.005,632.440
6,22.737,293.028,653.840
7,22.698,293.097,672.322
8,22.646,293.254,688.294
9,22.578,293.543,701.970
10,22.494,294.012,713.516
11,22.395,294.699,723.196
12,22.282,295.635,731.377
13,22.156,296.840,738.475
14,22.021,298.327,744.881
15,21.879,300.103,750.943
16,21.732,302.167,756.903
17,21.582,304.514,762.760
18,21.430,307.138,768.450
19,21.277,310.026,773.827
20,21.124,313.167,779.010
21,20.970,316.547,783.881
22,20.816,320.154,788.594
23,20.661,323.973,793.018
24,20.507,327.991,797.310
25,20.354,332.195,801.346
26,20.201,336.573,805.270
27,20.048,341.114,808.965
28,19.897,345.805,812.567
29,19.745,350.636,815.965
30,19.595,355.597,819.278
31,19.445,360.678,822.421
32,19.295,365.869,825.477
33,19.147,371.161,828.400
34,18.999,376.544,831.229
35,18.851,382.010,833.960
36,18.704,387.549,836.583
37,18.557,393.152,839.148
38,18.410,398.810,841.593
39,18.265,404.513,844.009
40,18.118,410.249,846.304
41,17.973,416.006,848.576
42,17.827,421.774,850.747
43,17.681,427.536,852.878
44,17.535,433.278,854.941
45,17.389,438.982,856.943
46,17.243,444.629,858.911
47,17.095,450.197,860.798
48,16.948,455.664,862.675
49,16.800,461.007,864.471
50,16.652,466.206,866.249
51,16.502,471.240,867.972
52,16.352,476.095,869.652
53,16.202,480.769,871.306
54,16.050,485.255,872.903
55,15.897,489.580,874.493
56,15.744,493.752,876.024
57,15.590,497.814,877.546
58,15.435,501.791,879.026
59,15.279,505.724,880.477
60,15.123,509.657,881.910
61,14.966,513.610,883.301
62,14.809,517.639,884.688
63,14.650,521.743,886.028
64,14.491,525.975,887.365
65,14.331,530.326,888.666
66,14.169,534.831,889.952
67,14.007,539.491,891.215
68,13.843,544.315,892.455
69,13.678,549.318,893.682
70,13.510,554.484,894.880
71,13.341,559.843,896.074
72,13.169,565.360,897.235
73,12.995,571.064,898.397
74,12.817,576.921,899.528
75,12.635,582.946,900.658
76,12.449,589.107,901.763
77,12.258,595.409,902.869
78,12.063,601.820,903.956
79,11.862,608.332,905.049
80,11.655,614.912,906.132
81,11.443,621.540,907.234
82,11.225,628.173,908.333
83,11.001,634.782,909.465
84,10.772,641.312,910.604
85,10.538,647.727,911.783
86,10.298,653.965,912.989
87,10.055,659.984,914.228
88,9.809,665.750,915.522
89,9.561,671.228,916.864
90,9.312,676.425,918.257
91,9.066,681.371,919.720
92,8.822,686.104,921.245
93,8.583,690.697,922.831
94,8.350,695.244,924.472
95,8.124,699.857,926.172
96,7.905,704.665,927.931
97,7.695,709.822,929.760
98,7.495,715.515,931.673
99,7.305,722.049,933.702
100,7.128,729.834,935.885
101,6.966,739.610,938.291
102,6.825,752.549,941.011
103,6.708,769.513,944.122
104,6.603,785.936,947.563
105,6.500,800.197,951.347
106,6.400,813.396,955.121
107,6.303,825.913,958.814
108,6.212,837.890,962.410
109,6.126,849.358,965.855
110,6.046,860.341,969.178
111,5.972,870.844,972.391
112,5.903,880.853,975.347
113,5.839,890.367,978.223
114,5.779,899.381,980.907
115,5.724,907.901,983.451
116,5.673,915.928,985.868
117,5.626,923.465,988.092
118,5.582,930.526,990.250
119,5.541,937.121,992.169
120,5.503,943.267,994.067
121,5.468,948.977,995.735
122,5.436,954.276,997.350
123,5.405,959.182,998.809
124,5.377,963.711,1000.167
125,5.351,967.891,1001.436
126,5.326,971.740,1002.561
127,5.303,975.276,1003.652
128,5.281,978.523,1004.613
129,5.261,981.503,1005.509
130,5.242,984.232,1006.334
131,5.224,986.730,1007.072
132,5.207,989.016,1007.773
133,5.191,991.104,1008.394
134,5.176,993.010,1008.970
135,5.162,994.754,1009.496
136,5.149,996.345,1009.974
137,5.136,997.794,1010.413
138,5.124,999.119,1010.812
139,5.112,1000.326,1011.174
140,5.101,1001.436,1011.503
141,5.091,1002.436,1011.807
142,5.081,1003.361,1012.086
143,5.071,1004.199,1012.340
144,5.062,1004.967,1012.579
145,5.054,1005.672,1012.786
146,5.045,1006.313,1012.977
147,5.037,1006.901,1013.160
148,5.029,1007.438,1013.317
149,5.022,1007.932,1013.472
150,5.015,1008.383,1013.609
151,5.008,1008.802,1013.731
152,5.002,1009.186,1013.850
153,4.995,1009.543,1013.959
154,4.989,1009.866,1014.059
155,4.983,1010.164,1014.155
156,4.977,1010.447,1014.238
157,4.972,1010.703,1014.309
