# Time (s),Mass (g),T Back (K),T Front (K)
0,68.400,293.000,293.000
1,68.400,293.000,529.338
2,68.400,293.000,576.844
3,68.399,293.000,612.017
4,68.395,293.000,639.933
5,68.386,293.000,662.725
6,68.371,293.000,681.721
7,68.346,293.000,697.743
8,68.310,293.000,711.364
9,68.262,293.000,723.029
10,68.199,293.000,733.089
11,68.122,293.000,741.863
12,68.033,293.000,749.632
13,67.934,293.000,756.652
14,67.828,293.000,763.137
15,67.718,293.000,769.240
16,67.607,293.000,775.068
17,67.496,293.000,780.671
18,67.386,293.000,786.055
19,67.276,293.000,791.166
20,67.167,293.000,796.015
21,67.059,293.000,800.661
22,66.950,293.000,805.061
23,66.843,293.000,809.202
24,66.736,293.000,813.174
25,66.630,293.000,816.954
26,66.525,293.000,820.525
27,66.421,293.000,823.949
28,66.317,293.000,827.225
29,66.214,293.000,830.345
30,66.112,293.000,833.324
31,66.011,293.000,836.187
32,65.910,293.000,838.933
33,65.810,293.000,841.559
34,65.712,293.000,844.084
35,65.613,293.000,846.515
36,65.516,293.000,848.855
37,65.420,293.000,851.101
38,65.324,293.000,853.270
39,65.229,293.000,855.363
40,65.135,293.000,857.386
41,65.042,293.001,859.332
42,64.949,293.001,861.217
43,64.856,293.001,863.041
44,64.765,293.002,864.809
45,64.675,293.002,866.515
46,64.584,293.003,868.171
47,64.495,293.003,869.777
48,64.406,293.004,871.339
49,64.318,293.005,872.850
50,64.230,293.006,874.317
51,64.143,293.008,875.743
52,64.057,293.010,877.137
53,63.971,293.012,878.484
54,63.886,293.014,879.796
55,63.801,293.017,881.073
56,63.717,293.020,882.323
57,63.634,293.024,883.536
58,63.551,293.028,884.716
59,63.468,293.033,885.868
60,63.386,293.038,886.996
61,63.305,293.044,888.096
62,63.224,293.051,889.166
63,63.143,293.058,890.210
64,63.063,293.066,891.231
65,62.983,293.076,892.236
66,62.904,293.086,893.212
67,62.825,293.097,894.164
68,62.747,293.110,895.097
69,62.669,293.123,896.014
