# Time (s),Mass (g),T Back (K),T Front (K)
0,22.800,293.000,293.000
1,22.800,293.000,381.124
2,22.800,293.000,416.167
3,22.800,293.000,441.976
4,22.800,293.001,463.239
5,22.800,293.005,480.932
6,22.799,293.018,496.307
7,22.799,293.054,509.742
8,22.797,293.135,521.492
9,22.795,293.284,531.804
10,22.791,293.526,540.937
11,22.787,293.887,549.143
12,22.782,294.383,556.624
13,22.775,295.031,563.531
14,22.768,295.838,569.971
15,22.760,296.813,576.020
16,22.750,297.955,581.732
17,22.740,299.264,587.144
18,22.729,300.738,592.290
19,22.717,302.369,597.194
20,22.704,304.151,601.874
21,22.690,306.076,606.347
22,22.674,308.135,610.628
23,22.657,310.322,614.728
24,22.639,312.625,618.658
25,22.619,315.037,622.428
26,22.598,317.549,626.046
27,22.576,320.153,629.519
28,22.552,322.842,632.855
29,22.526,325.607,636.058
30,22.500,328.444,639.135
31,22.471,331.344,642.093
32,22.442,334.303,644.932
33,22.410,337.314,647.660
34,22.378,340.372,650.281
35,22.344,343.473,652.799
36,22.308,346.611,655.216
37,22.271,349.784,657.539
38,22.232,352.986,659.771
39,22.192,356.215,661.917
40,22.151,359.466,663.980
41,22.108,362.738,665.965
42,22.063,366.026,667.876
43,22.018,369.328,669.715
44,21.971,372.641,671.488
45,21.922,375.962,673.198
46,21.873,379.290,674.848
47,21.822,382.622,676.444
48,21.769,385.954,677.986
49,21.716,389.285,679.479
50,21.661,392.614,680.926
51,21.605,395.936,682.329
52,21.548,399.251,683.693
53,21.490,402.555,685.018
54,21.430,405.847,686.307
55,21.370,409.123,687.564
56,21.308,412.383,688.789
57,21.245,415.622,689.987
58,21.181,418.837,691.160
59,21.116,422.028,692.308
60,21.050,425.189,693.434
61,20.983,428.318,694.541
62,20.915,431.413,695.630
63,20.845,434.469,696.701
64,20.775,437.484,697.759
65,20.704,440.452,698.805
66,20.632,443.373,699.837
67,20.559,446.241,700.861
68,20.485,449.054,701.877
69,20.410,451.809,702.884
70,20.334,454.502,703.889
71,20.257,457.132,704.888
72,20.180,459.697,705.884
73,20.102,462.195,706.875
74,20.022,464.627,707.863
75,19.943,466.991,708.847
76,19.862,469.290,709.826
77,19.781,471.524,710.803
78,19.699,473.696,711.773
79,19.616,475.809,712.732
80,19.533,477.865,713.679
81,19.448,479.867,714.613
82,19.364,481.827,715.557
83,19.279,483.752,716.513
84,19.193,485.643,717.440
85,19.107,487.503,718.347
86,19.020,489.339,719.246
87,18.934,491.166,720.165
88,18.846,492.984,721.067
89,18.758,494.792,721.947
90,18.669,496.596,722.810
91,18.581,498.407,723.682
92,18.492,500.231,724.557
93,18.402,502.062,725.410
94,18.312,503.904,726.245
95,18.221,505.762,727.076
96,18.130,507.651,727.924
97,18.039,509.557,728.752
98,17.947,511.483,729.562
99,17.855,513.432,730.362
100,17.762,515.419,731.179
101,17.669,517.433,731.986
102,17.575,519.470,732.774
103,17.481,521.534,733.550
104,17.387,523.640,734.343
105,17.292,525.776,735.130
106,17.196,527.938,735.900
107,17.099,530.129,736.659
108,17.002,532.361,737.431
109,16.905,534.625,738.203
110,16.807,536.917,738.959
111,16.707,539.237,739.705
112,16.607,541.598,740.460
113,16.507,543.989,741.222
114,16.405,546.408,741.968
115,16.302,548.853,742.705
116,16.199,551.335,743.452
117,16.095,553.847,744.203
118,15.989,556.382,744.943
119,15.882,558.942,745.674
120,15.774,561.537,746.418
121,15.664,564.153,747.164
122,15.554,566.790,747.899
123,15.441,569.450,748.630
124,15.328,572.137,749.376
125,15.213,574.841,750.120
126,15.096,577.561,750.854
127,14.978,580.298,751.590
128,14.858,583.055,752.342
129,14.736,585.819,753.085
130,14.613,588.595,753.824
131,14.488,591.382,754.576
132,14.362,594.176,755.332
133,14.233,596.971,756.082
134,14.103,599.768,756.835
135,13.971,602.568,757.601
136,13.838,605.361,758.365
137,13.702,608.145,759.127
138,13.566,610.923,759.903
139,13.427,613.683,760.680
140,13.287,616.426,761.454
141,13.146,619.150,762.240
142,13.003,621.846,763.028
143,12.858,624.509,763.814
144,12.713,627.145,764.610
145,12.566,629.739,765.409
146,12.417,632.290,766.205
147,12.268,634.800,767.010
148,12.118,637.256,767.814
149,11.967,639.661,768.621
150,11.816,642.014,769.433
151,11.664,644.302,770.243
152,11.512,646.536,771.056
153,11.360,648.708,771.872
154,11.208,650.818,772.685
155,11.056,652.870,773.503
156,10.905,654.858,774.318
157,10.755,656.795,775.136
158,10.606,658.672,775.953
159,10.458,660.505,776.771
160,10.312,662.286,777.586
161,10.167,664.027,778.404
162,10.024,665.730,779.219
163,9.882,667.404,780.035
164,9.743,669.053,780.851
