# Time (s),Mass (g),T Back (K),T Front (K)
0,68.400,293.000,293.000
1,68.400,293.000,635.921
2,68.400,293.000,583.287
3,68.400,293.000,617.551
4,68.399,293.000,638.251
5,68.397,293.000,655.696
6,68.390,293.000,670.157
7,68.379,293.000,682.489
8,68.360,293.000,693.366
9,68.333,293.000,702.719
10,68.295,293.000,710.187
11,68.244,293.000,715.703
12,68.180,293.000,719.811
13,68.103,293.000,723.172
14,68.015,293.000,726.137
15,67.917,293.000,728.847
16,67.812,293.000,731.359
17,67.701,293.000,733.768
18,67.586,293.000,736.132
19,67.466,293.000,738.505
20,67.344,293.000,740.936
21,67.220,293.000,743.419
22,67.094,293.000,745.980
23,66.967,293.000,748.585
24,66.838,293.000,751.232
25,66.709,293.000,753.884
26,66.579,293.000,756.535
27,66.449,293.000,759.144
28,66.318,293.000,761.722
29,66.187,293.000,764.237
30,66.056,293.000,766.704
31,65.925,293.000,769.102
32,65.793,293.000,771.448
33,65.662,293.000,773.725
34,65.531,293.000,775.950
35,65.399,293.000,778.112
36,65.268,293.000,780.222
37,65.137,293.000,782.276
38,65.006,293.000,784.279
39,64.876,293.000,786.232
40,64.745,293.001,788.137
41,64.615,293.001,789.997
42,64.485,293.001,791.808
43,64.355,293.002,793.582
44,64.226,293.002,795.307
45,64.097,293.003,797.000
46,63.968,293.004,798.647
47,63.839,293.005,800.264
48,63.711,293.006,801.839
49,63.583,293.007,803.383
50,63.455,293.009,804.891
51,63.328,293.011,806.369
52,63.200,293.013,807.815
53,63.074,293.016,809.230
54,62.947,293.019,810.617
55,62.821,293.023,811.974
56,62.695,293.027,813.309
57,62.570,293.032,814.611
58,62.444,293.038,815.892
59,62.320,293.044,817.146
60,62.195,293.051,818.377
61,62.071,293.059,819.585
62,61.947,293.068,820.770
63,61.824,293.078,821.935
64,61.701,293.089,823.075
65,61.578,293.101,824.199
66,61.455,293.115,825.301
67,61.333,293.130,826.384
68,61.211,293.146,827.449
69,61.090,293.164,828.494
70,60.969,293.183,829.523
71,60.848,293.204,830.533
72,60.728,293.227,831.529
73,60.607,293.252,832.507
74,60.488,293.278,833.469
75,60.368,293.307,834.417
76,60.249,293.338,835.349
77,60.130,293.371,836.269
78,60.012,293.406,837.171
79,59.894,293.444,838.062
80,59.776,293.483,838.938
81,59.658,293.526,839.802
82,59.541,293.571,840.653
83,59.424,293.619,841.490
84,59.308,293.670,842.317
85,59.192,293.723,843.131
86,59.076,293.780,843.934
87,58.960,293.839,844.726
88,58.845,293.903,845.506
89,58.730,293.969,846.277
90,58.615,294.038,847.036
91,58.501,294.110,847.785
92,58.387,294.187,848.524
93,58.273,294.267,849.253
94,58.160,294.350,849.974
95,58.046,294.437,850.684
96,57.933,294.528,851.385
97,57.821,294.622,852.078
98,57.709,294.720,852.762
99,57.597,294.823,853.436
100,57.485,294.930,854.104
101,57.373,295.040,854.761
102,57.262,295.155,855.413
103,57.151,295.274,856.054
104,57.041,295.397,856.690
105,56.930,295.525,857.317
106,56.820,295.656,857.937
107,56.711,295.792,858.551
108,56.601,295.933,859.155
109,56.492,296.079,859.754
110,56.383,296.228,860.346
111,56.274,296.383,860.931
112,56.166,296.542,861.509
113,56.057,296.706,862.080
114,55.949,296.874,862.646
115,55.842,297.048,863.206
116,55.734,297.226,863.760
117,55.627,297.409,864.307
118,55.520,297.597,864.849
119,55.414,297.790,865.384
120,55.307,297.988,865.914
121,55.201,298.191,866.439
122,55.095,298.399,866.957
123,54.989,298.612,867.471
124,54.884,298.830,867.979
125,54.779,299.053,868.483
126,54.674,299.281,868.982
127,54.569,299.515,869.474
128,54.465,299.753,869.962
129,54.360,299.997,870.445
130,54.256,300.247,870.924
131,54.153,300.501,871.398
132,54.049,300.760,871.866
133,53.946,301.025,872.332
134,53.843,301.295,872.792
135,53.740,301.570,873.247
136,53.637,301.850,873.699
137,53.535,302.137,874.146
138,53.432,302.427,874.590
139,53.330,302.724,875.027
140,53.229,303.025,875.463
141,53.127,303.332,875.893
142,53.026,303.644,876.322
143,52.924,303.962,876.744
144,52.823,304.285,877.163
145,52.723,304.613,877.579
