# Time (s),Mass (g),T Back (K),T Front (K)
0,22.800,293.000,293.000
1,22.800,293.000,385.671
2,22.800,293.000,422.358
3,22.800,293.000,449.292
4,22.800,293.000,471.378
5,22.800,293.002,490.117
6,22.800,293.008,506.243
7,22.799,293.024,520.528
8,22.799,293.061,533.352
9,22.798,293.135,544.947
10,22.796,293.264,555.494
11,22.794,293.467,565.143
12,22.791,293.761,574.014
13,22.787,294.163,582.207
14,22.783,294.685,589.804
15,22.778,295.337,596.871
16,22.773,296.125,603.463
17,22.766,297.055,609.623
18,22.759,298.126,615.390
19,22.750,299.341,620.796
20,22.741,300.696,625.866
21,22.730,302.190,630.625
22,22.718,303.818,635.092
23,22.705,305.574,639.287
24,22.691,307.454,643.225
25,22.675,309.453,646.922
26,22.657,311.563,650.389
27,22.639,313.779,653.642
28,22.618,316.096,656.691
29,22.596,318.506,659.548
30,22.573,321.004,662.226
31,22.547,323.583,664.733
32,22.520,326.239,667.083
33,22.491,328.966,669.284
34,22.461,331.758,671.347
35,22.428,334.610,673.282
36,22.394,337.519,675.098
37,22.357,340.479,676.806
38,22.319,343.485,678.412
39,22.280,346.533,679.927
40,22.238,349.621,681.357
41,22.195,352.742,682.712
42,22.150,355.895,683.995
43,22.103,359.077,685.217
44,22.055,362.283,686.382
45,22.005,365.511,687.495
46,21.954,368.758,688.562
47,21.901,372.021,689.588
48,21.846,375.299,690.578
49,21.791,378.587,691.533
50,21.734,381.886,692.461
51,21.675,385.190,693.360
52,21.616,388.501,694.239
53,21.555,391.814,695.096
54,21.494,395.130,695.934
55,21.431,398.445,696.758
56,21.367,401.759,697.568
57,21.302,405.070,698.369
58,21.236,408.376,699.158
59,21.170,411.676,699.941
60,21.102,414.969,700.718
61,21.034,418.254,701.490
62,20.965,421.530,702.260
63,20.895,424.795,703.027
64,20.825,428.049,703.795
65,20.753,431.290,704.565
66,20.682,434.517,705.334
67,20.609,437.730,706.111
68,20.536,440.928,706.887
69,20.462,444.109,707.668
70,20.387,447.273,708.459
71,20.312,450.420,709.247
72,20.236,453.547,710.045
