# Time (s),Mass (g),T Back (K),T Front (K)
0,68.400,293.000,293.000
1,68.400,293.000,486.211
2,68.400,293.000,539.590
3,68.398,293.000,575.381
4,68.393,293.000,602.171
5,68.384,293.000,623.347
6,68.370,293.000,640.595
7,68.351,293.000,654.929
8,68.324,293.000,667.114
9,68.290,293.000,677.730
10,68.247,293.000,687.198
11,68.194,293.000,695.794
12,68.132,293.000,703.684
13,68.060,293.000,710.972
14,67.978,293.000,717.717
15,67.886,293.000,723.964
16,67.787,293.000,729.745
17,67.680,293.000,735.091
18,67.569,293.000,740.032
19,67.456,293.000,744.613
20,67.341,293.000,748.885
21,67.227,293.000,752.960
22,67.115,293.000,756.888
23,67.004,293.000,760.673
24,66.894,293.000,764.321
25,66.785,293.000,767.912
26,66.677,293.000,771.375
27,66.569,293.000,774.643
28,66.462,293.000,777.861
29,66.356,293.000,780.968
30,66.250,293.000,783.898
31,66.146,293.000,786.779
32,66.042,293.000,789.573
33,65.938,293.000,792.249
34,65.836,293.000,794.811
35,65.734,293.000,797.339
36,65.633,293.000,799.782
37,65.533,293.000,802.107
38,65.433,293.000,804.393
39,65.334,293.001,806.622
40,65.235,293.001,808.773
41,65.138,293.001,810.840
42,65.041,293.001,812.878
43,64.945,293.002,814.863
44,64.850,293.002,816.771
45,64.755,293.003,818.633
46,64.661,293.004,820.461
47,64.567,293.005,822.241
48,64.474,293.007,823.956
49,64.382,293.009,825.638
50,64.290,293.011,827.288
51,64.199,293.013,828.897
52,64.109,293.017,830.453
53,64.019,293.020,831.979
54,63.930,293.025,833.477
55,63.841,293.030,834.941
56,63.753,293.035,836.361
57,63.665,293.042,837.753
58,63.578,293.050,839.122
59,63.491,293.059,840.461
60,63.405,293.069,841.764
61,63.320,293.080,843.039
62,63.235,293.093,844.295
63,63.150,293.107,845.527
64,63.066,293.123,846.729
65,62.982,293.141,847.903
66,62.899,293.160,849.059
67,62.816,293.183,850.196
68,62.734,293.207,851.310
69,62.653,293.233,852.397
70,62.571,293.262,853.465
71,62.490,293.293,854.518
72,62.410,293.327,855.553
73,62.330,293.365,856.565
74,62.250,293.405,857.556
75,62.171,293.448,858.533
76,62.092,293.495,859.496
77,62.014,293.545,860.442
78,61.936,293.599,861.367
79,61.858,293.657,862.278
80,61.781,293.719,863.175
