# Time (s),Mass (g),T Back (K),T Front (K)
0,22.800,293.000,293.000
1,22.800,293.000,408.152
2,22.800,293.000,445.495
3,22.800,293.000,472.299
4,22.800,293.000,493.910
5,22.800,293.001,511.782
6,22.799,293.005,527.138
7,22.798,293.017,540.524
8,22.797,293.047,552.332
9,22.795,293.110,562.867
10,22.792,293.224,572.355
11,22.788,293.407,580.963
12,22.784,293.677,588.810
13,22.779,294.051,595.986
14,22.773,294.542,602.563
15,22.767,295.159,608.600
16,22.759,295.911,614.151
17,22.750,296.802,619.265
18,22.741,297.834,623.982
19,22.730,299.007,628.343
20,22.718,300.318,632.381
21,22.706,301.765,636.125
22,22.692,303.342,639.603
23,22.677,305.044,642.835
24,22.661,306.865,645.841
25,22.644,308.798,648.640
26,22.626,310.836,651.242
27,22.606,312.973,653.663
28,22.586,315.200,655.921
29,22.565,317.510,658.021
30,22.542,319.897,659.975
31,22.518,322.355,661.801
32,22.493,324.877,663.505
33,22.467,327.456,665.094
34,22.440,330.087,666.582
35,22.412,332.764,667.977
36,22.382,335.481,669.283
37,22.352,338.237,670.511
38,22.320,341.022,671.671
39,22.288,343.836,672.763
40,22.254,346.673,673.792
41,22.219,349.530,674.768
42,22.184,352.404,675.694
43,22.147,355.291,676.571
44,22.109,358.188,677.404
45,22.071,361.094,678.201
46,22.031,364.005,678.959
47,21.991,366.920,679.680
48,21.950,369.837,680.372
49,21.907,372.752,681.040
50,21.864,375.665,681.668
51,21.820,378.575,682.278
52,21.775,381.480,682.868
53,21.730,384.377,683.428
54,21.683,387.268,683.964
55,21.636,390.149,684.487
56,21.588,393.020,684.994
57,21.539,395.880,685.482
58,21.490,398.728,685.947
59,21.440,401.563,686.401
60,21.389,404.385,686.844
61,21.337,407.192,687.266
62,21.285,409.985,687.681
63,21.232,412.761,688.090
64,21.179,415.521,688.486
65,21.125,418.262,688.870
66,21.070,420.987,689.253
67,21.015,423.693,689.632
68,20.959,426.378,689.996
69,20.903,429.044,690.360
70,20.846,431.689,690.719
71,20.789,434.312,691.067
72,20.731,436.914,691.406
73,20.673,439.492,691.740
74,20.614,442.046,692.088
75,20.555,444.576,692.436
76,20.495,447.080,692.787
77,20.435,449.559,693.119
78,20.375,452.010,693.449
79,20.314,454.435,693.785
80,20.252,456.831,694.140
81,20.190,459.199,694.491
82,20.128,461.537,694.820
83,20.065,463.846,695.157
84,20.002,466.124,695.524
85,19.939,468.371,695.871
86,19.875,470.588,696.202
87,19.810,472.775,696.579
88,19.745,474.929,696.930
89,19.680,477.055,697.275
90,19.615,479.150,697.654
91,19.549,481.213,698.013
92,19.482,483.248,698.390
93,19.415,485.256,698.730
94,19.348,487.236,699.078
95,19.280,489.188,699.457
96,19.212,491.116,699.804
97,19.144,493.019,700.179
98,19.075,494.898,700.556
99,19.005,496.755,700.888
100,18.936,498.592,701.257
101,18.866,500.409,701.604
102,18.795,502.208,701.977
103,18.724,503.986,702.343
104,18.653,505.748,702.695
105,18.582,507.494,703.030
106,18.510,509.226,703.382
107,18.437,510.942,703.733
108,18.365,512.645,704.090
109,18.291,514.332,704.451
110,18.218,516.005,704.778
111,18.144,517.668,705.119
112,18.070,519.317,705.460
113,17.996,520.953,705.813
114,17.921,522.575,706.161
115,17.846,524.185,706.498
116,17.770,525.782,706.813
117,17.694,527.369,707.151
118,17.618,528.943,707.489
119,17.542,530.501,707.833
120,17.464,532.047,708.168
121,17.387,533.584,708.484
122,17.310,535.108,708.804
123,17.232,536.619,709.138
124,17.153,538.116,709.471
125,17.074,539.600,709.802
126,16.995,541.075,710.107
127,16.916,542.541,710.424
128,16.836,543.993,710.750
129,16.756,545.432,711.077
130,16.675,546.861,711.399
131,16.595,548.283,711.704
132,16.514,549.695,712.015
133,16.432,551.099,712.333
134,16.350,552.491,712.653
135,16.268,553.876,712.970
136,16.185,555.258,713.270
137,16.102,556.634,713.575
138,16.019,558.003,713.891
139,15.935,559.365,714.206
140,15.851,560.724,714.516
141,15.767,562.085,714.811
142,15.683,563.443,715.115
143,15.598,564.799,715.427
144,15.512,566.152,715.737
145,15.427,567.508,716.041
146,15.341,568.872,716.335
147,15.255,570.235,716.640
148,15.168,571.601,716.948
149,15.081,572.969,717.256
150,14.993,574.349,717.552
151,14.906,575.737,717.850
152,14.818,577.129,718.153
153,14.729,578.528,718.460
154,14.640,579.938,718.763
155,14.551,581.364,719.058
156,14.462,582.798,719.359
157,14.372,584.242,719.664
158,14.282,585.696,719.970
159,14.191,587.170,720.268
160,14.100,588.660,720.566
161,14.009,590.162,720.870
162,13.917,591.676,721.176
163,13.824,593.209,721.481
164,13.732,594.765,721.780
165,13.638,596.335,722.083
166,13.545,597.917,722.391
167,13.450,599.519,722.700
168,13.356,601.146,723.003
169,13.260,602.790,723.308
170,13.164,604.450,723.619
171,13.068,606.124,723.931
172,12.971,607.827,724.240
173,12.873,609.548,724.549
174,12.775,611.283,724.863
175,12.676,613.034,725.181
176,12.576,614.810,725.497
177,12.476,616.603,725.813
178,12.375,618.410,726.134
179,12.273,620.228,726.458
180,12.170,622.069,726.784
181,12.067,623.922,727.109
182,11.963,625.783,727.440
183,11.857,627.652,727.775
184,11.752,629.538,728.113
185,11.645,631.430,728.451
186,11.537,633.321,728.795
187,11.428,635.211,729.145
188,11.319,637.111,729.500
189,11.209,639.006,729.856
190,11.097,640.890,730.221
191,10.985,642.767,730.592
192,10.873,644.640,730.967
193,10.759,646.496,731.348
194,10.645,648.330,731.739
195,10.530,650.157,732.137
196,10.414,651.961,732.540
197,10.298,653.737,732.953
198,10.181,655.493,733.375
199,10.064,657.229,733.805
200,9.946,658.933,734.244
201,9.828,660.609,734.694
202,9.710,662.266,735.153
203,9.591,663.890,735.621
204,9.473,665.484,736.100
205,9.355,667.062,736.590
206,9.236,668.605,737.088
207,9.118,670.124,737.600
208,9.001,671.627,738.121
209,8.884,673.096,738.653
210,8.767,674.555,739.197
211,8.652,675.992,739.752
212,8.537,677.406,740.319
213,8.424,678.816,740.898
214,8.312,680.200,741.488
215,8.201,681.585,742.093
216,8.092,682.953,742.709
217,7.985,684.317,743.338
218,7.880,685.678,743.982
219,7.777,687.037,744.639
220,7.677,688.399,745.311
221,7.580,689.767,745.997
222,7.485,691.140,746.699
223,7.394,692.528,747.416
224,7.306,693.930,748.150
225,7.222,695.352,748.899
226,7.141,696.798,749.667
227,7.065,698.273,750.452
228,6.993,699.780,751.255
229,6.925,701.326,752.077
230,6.862,702.917,752.918
231,6.804,704.557,753.778
232,6.750,706.251,754.657
233,6.701,708.001,755.558
234,6.657,709.810,756.478
235,6.617,711.673,757.418
236,6.581,713.585,758.378
237,6.549,715.534,759.356
238,6.520,717.503,760.351
239,6.494,719.466,761.360
240,6.470,721.399,762.381
241,6.447,723.273,763.408
242,6.425,725.090,764.439
243,6.403,726.845,765.470
244,6.381,728.553,766.499
245,6.359,730.211,767.522
246,6.338,731.847,768.538
247,6.317,733.437,769.545
248,6.296,734.998,770.542
249,6.276,736.535,771.529
250,6.256,738.031,772.502
251,6.236,739.521,773.467
252,6.217,740.966,774.415
253,6.197,742.401,775.354
254,6.178,743.811,776.279
255,6.160,745.197,777.193
256,6.141,746.572,778.097
257,6.123,747.912,778.984
258,6.105,749.246,779.866
259,6.088,750.553,780.733
260,6.070,751.844,781.589
261,6.053,753.121,782.438
262,6.036,754.370,783.272
263,6.020,755.615,784.101
264,6.004,756.831,784.915
265,5.988,758.036,785.722
266,5.972,759.225,786.519
