Time (s),MLR (g/m2/s),T Back (K),T Top (K)
0.00E+00,0.00E+00,2.93E+02,2.93E+02
1.00E+00,1.13E-10,2.93E+02,3.64E+02
2.00E+00,5.37E-09,2.93E+02,4.15E+02
3.05E+00,5.68E-08,2.93E+02,4.45E+02
4.05E+00,2.84E-07,2.93E+02,4.69E+02
5.05E+00,9.35E-07,2.93E+02,4.87E+02
6.05E+00,2.42E-06,2.93E+02,5.03E+02
7.05E+00,5.31E-06,2.94E+02,5.16E+02
8.05E+00,1.03E-05,2.94E+02,5.29E+02
9.05E+00,1.82E-05,2.95E+02,5.39E+02
1.00E+01,2.96E-05,2.96E+02,5.49E+02
1.10E+01,4.56E-05,2.97E+02,5.58E+02
1.20E+01,6.75E-05,2.99E+02,5.66E+02
1.30E+01,9.59E-05,3.00E+02,5.74E+02
1.40E+01,1.32E-04,3.02E+02,5.82E+02
1.50E+01,1.75E-04,3.04E+02,5.89E+02
1.60E+01,2.26E-04,3.07E+02,5.95E+02
1.70E+01,2.85E-04,3.09E+02,6.01E+02
1.80E+01,3.52E-04,3.12E+02,6.07E+02
1.90E+01,4.24E-04,3.15E+02,6.13E+02
2.00E+01,5.02E-04,3.17E+02,6.18E+02
2.10E+01,5.83E-04,3.20E+02,6.24E+02
2.20E+01,6.66E-04,3.23E+02,6.29E+02
2.30E+01,7.48E-04,3.27E+02,6.34E+02
2.40E+01,8.28E-04,3.30E+02,6.39E+02
2.50E+01,9.04E-04,3.33E+02,6.44E+02
2.60E+01,9.76E-04,3.36E+02,6.49E+02
2.70E+01,1.04E-03,3.39E+02,6.53E+02
2.80E+01,1.11E-03,3.42E+02,6.57E+02
2.90E+01,1.17E-03,3.46E+02,6.61E+02
3.00E+01,1.24E-03,3.49E+02,6.65E+02
3.10E+01,1.31E-03,3.52E+02,6.69E+02
3.20E+01,1.39E-03,3.56E+02,6.72E+02
3.30E+01,1.48E-03,3.59E+02,6.75E+02
3.40E+01,1.57E-03,3.62E+02,6.78E+02
3.50E+01,1.68E-03,3.65E+02,6.81E+02
3.60E+01,1.80E-03,3.68E+02,6.83E+02
3.70E+01,1.94E-03,3.72E+02,6.85E+02
3.81E+01,2.09E-03,3.75E+02,6.87E+02
3.91E+01,2.25E-03,3.78E+02,6.89E+02
4.01E+01,2.41E-03,3.81E+02,6.91E+02
4.11E+01,2.59E-03,3.84E+02,6.92E+02
4.21E+01,2.77E-03,3.87E+02,6.94E+02
4.31E+01,2.95E-03,3.90E+02,6.95E+02
4.41E+01,3.14E-03,3.93E+02,6.96E+02
4.51E+01,3.32E-03,3.96E+02,6.96E+02
4.61E+01,3.50E-03,3.99E+02,6.97E+02
4.71E+01,3.67E-03,4.02E+02,6.97E+02
4.81E+01,3.84E-03,4.05E+02,6.98E+02
4.91E+01,3.99E-03,4.08E+02,6.98E+02
5.01E+01,4.13E-03,4.11E+02,6.99E+02
5.11E+01,4.26E-03,4.14E+02,7.00E+02
5.21E+01,4.38E-03,4.16E+02,7.00E+02
5.31E+01,4.49E-03,4.19E+02,7.01E+02
5.41E+01,4.58E-03,4.22E+02,7.01E+02
5.51E+01,4.66E-03,4.24E+02,7.02E+02
5.61E+01,4.73E-03,4.27E+02,7.03E+02
5.71E+01,4.80E-03,4.30E+02,7.04E+02
5.81E+01,4.86E-03,4.32E+02,7.05E+02
5.91E+01,4.91E-03,4.35E+02,7.06E+02
6.01E+01,4.97E-03,4.37E+02,7.06E+02
6.11E+01,5.03E-03,4.40E+02,7.07E+02
6.21E+01,5.09E-03,4.42E+02,7.08E+02
6.31E+01,5.16E-03,4.45E+02,7.09E+02
6.41E+01,5.24E-03,4.47E+02,7.09E+02
6.51E+01,5.32E-03,4.50E+02,7.10E+02
6.61E+01,5.41E-03,4.52E+02,7.10E+02
6.71E+01,5.49E-03,4.54E+02,7.11E+02
6.81E+01,5.58E-03,4.57E+02,7.11E+02
6.91E+01,5.66E-03,4.59E+02,7.12E+02
7.01E+01,5.73E-03,4.61E+02,7.13E+02
7.11E+01,5.79E-03,4.64E+02,7.13E+02
7.21E+01,5.85E-03,4.66E+02,7.14E+02
7.31E+01,5.90E-03,4.68E+02,7.15E+02
7.41E+01,5.94E-03,4.70E+02,7.15E+02
7.51E+01,5.98E-03,4.72E+02,7.16E+02
7.61E+01,6.02E-03,4.75E+02,7.17E+02
