# Time (s),Mass (g),T Back (K),T Front (K)
0,22.800,293.000,293.000
1,22.800,293.000,319.829
2,22.800,293.000,330.716
3,22.800,293.000,338.887
4,22.800,293.002,345.725
5,22.800,293.010,351.668
6,22.800,293.028,357.014
7,22.800,293.069,361.864
8,22.800,293.142,366.337
9,22.800,293.259,370.489
10,22.800,293.429,374.387
11,22.800,293.661,378.054
12,22.800,293.960,381.535
13,22.800,294.332,384.837
14,22.800,294.777,387.995
15,22.800,295.296,391.010
16,22.800,295.888,393.908
17,22.800,296.551,396.688
18,22.800,297.281,399.373
19,22.800,298.078,401.956
20,22.800,298.936,404.460
21,22.800,299.854,406.876
22,22.800,300.826,409.226
23,22.800,301.850,411.499
24,22.800,302.922,413.714
25,22.800,304.040,415.863
26,22.800,305.200,417.961
27,22.800,306.398,419.999
28,22.800,307.633,421.995
29,22.800,308.901,423.937
30,22.800,310.200,425.838
31,22.800,311.528,427.697
32,22.800,312.883,429.513
33,22.800,314.262,431.293
34,22.800,315.663,433.037
35,22.800,317.085,434.748
36,22.800,318.526,436.427
37,22.799,319.983,438.077
38,22.799,321.456,439.698
39,22.799,322.943,441.291
40,22.799,324.442,442.859
41,22.799,325.954,444.402
42,22.799,327.475,445.921
43,22.799,329.006,447.418
44,22.799,330.544,448.892
45,22.799,332.090,450.345
46,22.798,333.642,451.779
47,22.798,335.199,453.192
48,22.798,336.761,454.586
49,22.798,338.327,455.962
50,22.797,339.896,457.319
51,22.797,341.467,458.659
52,22.797,343.041,459.982
53,22.797,344.616,461.288
54,22.796,346.191,462.578
55,22.796,347.766,463.851
56,22.795,349.342,465.109
57,22.795,350.917,466.351
58,22.794,352.490,467.579
59,22.794,354.062,468.792
60,22.793,355.632,469.991
61,22.793,357.200,471.175
62,22.792,358.765,472.345
63,22.792,360.327,473.500
64,22.791,361.886,474.643
65,22.790,363.441,475.772
66,22.789,364.992,476.889
67,22.788,366.538,477.992
68,22.788,368.080,479.082
69,22.787,369.617,480.161
70,22.786,371.149,481.226
71,22.785,372.676,482.281
72,22.783,374.197,483.322
73,22.782,375.712,484.354
74,22.781,377.222,485.372
75,22.780,378.724,486.381
76,22.778,380.220,487.378
77,22.777,381.710,488.364
78,22.776,383.192,489.341
79,22.774,384.667,490.308
80,22.772,386.134,491.263
81,22.771,387.594,492.209
82,22.769,389.046,493.147
83,22.767,390.490,494.074
84,22.765,391.925,494.992
85,22.763,393.353,495.902
86,22.761,394.771,496.802
87,22.759,396.179,497.695
88,22.757,397.580,498.578
89,22.755,398.970,499.454
90,22.753,400.351,500.322
91,22.750,401.722,501.181
92,22.748,403.084,502.034
93,22.745,404.435,502.879
94,22.743,405.776,503.716
95,22.740,407.106,504.546
96,22.737,408.425,505.369
97,22.734,409.734,506.186
98,22.731,411.032,506.995
99,22.728,412.317,507.798
100,22.725,413.591,508.594
101,22.722,414.853,509.383
102,22.719,416.105,510.168
103,22.715,417.344,510.945
104,22.712,418.569,511.717
105,22.708,419.783,512.481
106,22.704,420.983,513.240
107,22.701,422.172,513.993
108,22.697,423.346,514.740
109,22.693,424.508,515.481
110,22.689,425.657,516.218
111,22.685,426.791,516.948
112,22.680,427.912,517.672
113,22.676,429.019,518.391
114,22.672,430.113,519.105
115,22.667,431.192,519.813
116,22.663,432.257,520.516
117,22.658,433.307,521.214
118,22.653,434.343,521.906
119,22.648,435.365,522.594
120,22.643,436.370,523.275
121,22.638,437.363,523.952
122,22.633,438.340,524.624
123,22.627,439.303,525.291
124,22.622,440.250,525.954
125,22.616,441.184,526.611
126,22.611,442.102,527.263
127,22.605,443.006,527.912
128,22.599,443.895,528.553
129,22.593,444.770,529.191
130,22.587,445.629,529.825
131,22.581,446.475,530.453
132,22.575,447.307,531.077
133,22.569,448.124,531.695
134,22.562,448.929,532.310
135,22.556,449.719,532.919
136,22.549,450.495,533.525
137,22.542,451.258,534.125
138,22.536,452.008,534.722
139,22.529,452.745,535.313
140,22.522,453.471,535.901
141,22.515,454.183,536.483
142,22.507,454.884,537.061
143,22.500,455.572,537.635
144,22.493,456.249,538.205
145,22.485,456.915,538.770
146,22.478,457.571,539.330
147,22.470,458.216,539.886
148,22.462,458.851,540.439
149,22.455,459.476,540.987
150,22.447,460.091,541.531
151,22.439,460.697,542.072
152,22.431,461.295,542.608
153,22.422,461.883,543.140
154,22.414,462.464,543.667
155,22.406,463.036,544.190
156,22.397,463.602,544.709
157,22.389,464.159,545.226
158,22.380,464.710,545.740
159,22.372,465.253,546.249
160,22.363,465.792,546.753
161,22.354,466.323,547.253
162,22.345,466.850,547.749
163,22.337,467.370,548.243
164,22.328,467.886,548.735
165,22.318,468.396,549.223
166,22.309,468.902,549.706
167,22.300,469.404,550.185
168,22.291,469.902,550.661
169,22.281,470.396,551.136
170,22.272,470.886,551.609
171,22.263,471.372,552.075
172,22.253,471.856,552.538
173,22.243,472.337,552.999
174,22.234,472.816,553.459
175,22.224,473.291,553.915
176,22.214,473.764,554.366
177,22.204,474.235,554.815
178,22.194,474.704,555.263
179,22.184,475.171,555.707
180,22.174,475.636,556.148
181,22.164,476.101,556.585
182,22.154,476.563,557.022
183,22.144,477.025,557.456
184,22.133,477.485,557.888
185,22.123,477.944,558.314
186,22.112,478.402,558.740
187,22.102,478.860,559.165
188,22.091,479.316,559.585
189,22.081,479.772,560.002
190,22.070,480.227,560.419
191,22.059,480.682,560.834
192,22.048,481.137,561.246
193,22.037,481.591,561.654
194,22.026,482.045,562.062
195,22.015,482.499,562.468
196,22.004,482.952,562.869
197,21.993,483.406,563.269
198,21.982,483.859,563.670
199,21.970,484.313,564.067
200,21.959,484.767,564.459
201,21.948,485.221,564.853
202,21.936,485.674,565.245
203,21.925,486.128,565.632
204,21.913,486.583,566.019
205,21.901,487.038,566.406
206,21.889,487.493,566.788
207,21.878,487.948,567.168
208,21.866,488.403,567.549
209,21.854,488.859,567.927
210,21.842,489.316,568.301
211,21.830,489.772,568.677
212,21.817,490.230,569.051
213,21.805,490.687,569.419
214,21.793,491.146,569.789
215,21.781,491.603,570.158
216,21.768,492.062,570.522
217,21.756,492.522,570.886
218,21.743,492.981,571.251
219,21.730,493.442,571.610
220,21.718,493.903,571.970
221,21.705,494.364,572.330
222,21.692,494.825,572.684
223,21.679,495.288,573.040
224,21.666,495.750,573.395
225,21.653,496.214,573.744
226,21.639,496.677,574.095
227,21.626,497.142,574.446
228,21.613,497.606,574.791
229,21.599,498.071,575.139
230,21.586,498.537,575.484
231,21.572,499.003,575.825
232,21.559,499.470,576.170
233,21.545,499.936,576.510
234,21.531,500.404,576.848
235,21.517,500.872,577.189
236,21.503,501.340,577.524
237,21.489,501.809,577.859
238,21.475,502.279,578.196
239,21.461,502.748,578.525
240,21.446,503.217,578.857
241,21.432,503.687,579.190
242,21.418,504.158,579.516
243,21.403,504.629,579.845
244,21.388,505.101,580.171
245,21.374,505.573,580.494
246,21.359,506.045,580.821
247,21.344,506.518,581.143
248,21.329,506.990,581.464
249,21.314,507.463,581.787
250,21.298,507.936,582.104
251,21.283,508.410,582.422
252,21.268,508.884,582.740
253,21.252,509.358,583.053
254,21.237,509.833,583.369
255,21.221,510.307,583.683
256,21.205,510.782,583.994
257,21.189,511.257,584.307
258,21.174,511.732,584.615
