# Time (s),Temperature (K),Mass (g)
723,420.5,4.996
726,421,4.996
729,421.5,4.996
732,422,4.996
735,422.5,4.995
738,423,4.995
741,423.5,4.995
744,424,4.995
747,424.5,4.995
750,425,4.995
753,425.5,4.994
756,426,4.994
759,426.5,4.994
762,427,4.994
765,427.5,4.994
768,428,4.993
771,428.5,4.993
774,429,4.993
777,429.5,4.993
780,430,4.993
783,430.5,4.992
786,431,4.992
789,431.5,4.992
792,432,4.991
795,432.5,4.991
798,433,4.991
801,433.5,4.991
804,434,4.990
807,434.5,4.990
810,435,4.990
813,435.5,4.989
816,436,4.989
819,436.5,4.989
822,437,4.988
825,437.5,4.988
828,438,4.988
831,438.5,4.987
834,439,4.987
837,439.5,4.987
840,440,4.986
843,440.5,4.986
846,441,4.985
849,441.5,4.985
852,442,4.984
855,442.5,4.984
858,443,4.984
861,443.5,4.983
864,444,4.983
867,444.5,4.982
870,445,4.982
873,445.5,4.981
876,446,4.981
879,446.5,4.980
882,447,4.980
885,447.5,4.979
888,448,4.979
891,448.5,4.978
894,449,4.977
897,449.5,4.977
900,450,4.976
903,450.5,4.976
906,451,4.975
909,451.5,4.974
912,452,4.974
915,452.5,4.973
918,453,4.972
921,453.5,4.972
924,454,4.971
927,454.5,4.970
930,455,4.970
933,455.5,4.969
936,456,4.968
939,456.5,4.967
942,457,4.967
945,457.5,4.966
948,458,4.965
951,458.5,4.964
954,459,4.964
957,459.5,4.963
960,460,4.962
963,460.5,4.961
966,461,4.960
969,461.5,4.959
972,462,4.959
975,462.5,4.958
978,463,4.957
981,463.5,4.956
984,464,4.955
987,464.5,4.954
990,465,4.953
993,465.5,4.952
996,466,4.951
999,466.5,4.950
1002,467,4.949
1005,467.5,4.948
1008,468,4.947
1011,468.5,4.946
1014,469,4.945
1017,469.5,4.944
1020,470,4.943
1023,470.5,4.942
1026,471,4.941
1029,471.5,4.940
1032,472,4.939
1035,472.5,4.938
1038,473,4.937
1041,473.5,4.936
1044,474,4.935
1047,474.5,4.934
1050,475,4.932
1053,475.5,4.931
1056,476,4.930
1059,476.5,4.929
1062,477,4.928
1065,477.5,4.927
1068,478,4.925
1071,478.5,4.924
1074,479,4.923
1077,479.5,4.922
1080,480,4.920
1083,480.5,4.919
1086,481,4.918
1089,481.5,4.917
1092,482,4.915
1095,482.5,4.914
1098,483,4.913
1101,483.5,4.911
1104,484,4.910
1107,484.5,4.909
1110,485,4.907
1113,485.5,4.906
1116,486,4.905
1119,486.5,4.903
1122,487,4.902
1125,487.5,4.900
1128,488,4.899
1131,488.5,4.897
1134,489,4.896
1137,489.5,4.894
1140,490,4.893
1143,490.5,4.891
1146,491,4.890
1149,491.5,4.888
1152,492,4.887
1155,492.5,4.885
1158,493,4.883
1161,493.5,4.882
1164,494,4.880
1167,494.5,4.879
1170,495,4.877
1173,495.5,4.875
1176,496,4.873
1179,496.5,4.872
1182,497,4.870
1185,497.5,4.868
1188,498,4.866
1191,498.5,4.864
1194,499,4.863
1197,499.5,4.861
1200,500,4.859
1203,500.5,4.857
1206,501,4.855
1209,501.5,4.853
1212,502,4.851
1215,502.5,4.849
1218,503,4.847
1221,503.5,4.845
1224,504,4.843
1227,504.5,4.841
1230,505,4.839
1233,505.5,4.837
1236,506,4.834
1239,506.5,4.832
1242,507,4.830
1245,507.5,4.828
1248,508,4.825
1251,508.5,4.823
1254,509,4.821
1257,509.5,4.818
1260,510,4.816
1263,510.5,4.813
1266,511,4.811
1269,511.5,4.808
1272,512,4.806
1275,512.5,4.803
1278,513,4.801
1281,513.5,4.798
1284,514,4.795
1287,514.5,4.793
1290,515,4.790
1293,515.5,4.787
1296,516,4.784
1299,516.5,4.781
1302,517,4.778
1305,517.5,4.776
1308,518,4.773
1311,518.5,4.770
1314,519,4.767
1317,519.5,4.763
1320,520,4.760
1323,520.5,4.757
1326,521,4.754
1329,521.5,4.751
1332,522,4.748
1335,522.5,4.744
1338,523,4.741
1341,523.5,4.737
1344,524,4.734
1347,524.5,4.731
1350,525,4.727
1353,525.5,4.723
1356,526,4.720
1359,526.5,4.716
1362,527,4.713
1365,527.5,4.709
1368,528,4.705
1371,528.5,4.701
1374,529,4.697
1377,529.5,4.693
1380,530,4.690
1383,530.5,4.686
1386,531,4.682
1389,531.5,4.677
1392,532,4.673
1395,532.5,4.669
1398,533,4.665
1401,533.5,4.661
1404,534,4.656
1407,534.5,4.652
1410,535,4.648
1413,535.5,4.643
1416,536,4.639
1419,536.5,4.634
1422,537,4.630
1425,537.5,4.625
1428,538,4.620
1431,538.5,4.616
1434,539,4.611
1437,539.5,4.606
1440,540,4.601
1443,540.5,4.597
1446,541,4.592
1449,541.5,4.587
1452,542,4.582
1455,542.5,4.577
1458,543,4.572
1461,543.5,4.566
1464,544,4.561
1467,544.5,4.556
1470,545,4.551
1473,545.5,4.545
1476,546,4.540
1479,546.5,4.535
1482,547,4.529
1485,547.5,4.524
1488,548,4.518
1491,548.5,4.513
1494,549,4.507
1497,549.5,4.501
1500,550,4.496
1503,550.5,4.490
1506,551,4.484
1509,551.5,4.478
1512,552,4.472
1515,552.5,4.466
1518,553,4.460
1521,553.5,4.454
1524,554,4.448
1527,554.5,4.442
1530,555,4.436
1533,555.5,4.430
1536,556,4.423
1539,556.5,4.417
1542,557,4.411
1545,557.5,4.404
1548,558,4.398
1551,558.5,4.391
1554,559,4.385
1557,559.5,4.378
1560,560,4.371
1563,560.5,4.364
1566,561,4.358
1569,561.5,4.351
1572,562,4.344
1575,562.5,4.337
1578,563,4.330
1581,563.5,4.323
1584,564,4.316
1587,564.5,4.309
1590,565,4.301
1593,565.5,4.294
1596,566,4.287
1599,566.5,4.279
1602,567,4.272
1605,567.5,4.264
1608,568,4.257
1611,568.5,4.249
1614,569,4.241
1617,569.5,4.234
1620,570,4.226
1623,570.5,4.218
1626,571,4.210
1629,571.5,4.202
1632,572,4.194
1635,572.5,4.185
1638,573,4.177
1641,573.5,4.169
1644,574,4.160
1647,574.5,4.152
1650,575,4.143
1653,575.5,4.135
1656,576,4.126
1659,576.5,4.117
1662,577,4.109
1665,577.5,4.100
1668,578,4.091
1671,578.5,4.081
1674,579,4.072
1677,579.5,4.063
1680,580,4.054
1683,580.5,4.044
1686,581,4.035
1689,581.5,4.025
1692,582,4.016
1695,582.5,4.006
1698,583,3.996
1701,583.5,3.986
1704,584,3.976
1707,584.5,3.966
1710,585,3.956
1713,585.5,3.946
1716,586,3.936
1719,586.5,3.925
1722,587,3.915
1725,587.5,3.904
1728,588,3.893
1731,588.5,3.883
1734,589,3.872
1737,589.5,3.861
1740,590,3.850
1743,590.5,3.839
1746,591,3.828
1749,591.5,3.817
1752,592,3.805
1755,592.5,3.794
1758,593,3.782
1761,593.5,3.771
1764,594,3.759
1767,594.5,3.747
1770,595,3.736
1773,595.5,3.724
1776,596,3.712
1779,596.5,3.700
1782,597,3.687
1785,597.5,3.675
1788,598,3.663
1791,598.5,3.651
1794,599,3.638
1797,599.5,3.625
1800,600,3.613
1803,600.5,3.600
1806,601,3.587
1809,601.5,3.574
1812,602,3.561
1815,602.5,3.548
1818,603,3.535
1821,603.5,3.522
1824,604,3.509
1827,604.5,3.495
1830,605,3.482
1833,605.5,3.468
1836,606,3.454
1839,606.5,3.441
1842,607,3.427
1845,607.5,3.413
1848,608,3.399
1851,608.5,3.385
1854,609,3.371
1857,609.5,3.356
1860,610,3.342
1863,610.5,3.327
1866,611,3.313
1869,611.5,3.298
1872,612,3.283
1875,612.5,3.269
1878,613,3.254
1881,613.5,3.239
1884,614,3.223
1887,614.5,3.208
1890,615,3.193
1893,615.5,3.177
1896,616,3.162
1899,616.5,3.146
1902,617,3.130
1905,617.5,3.114
1908,618,3.098
1911,618.5,3.082
1914,619,3.065
1917,619.5,3.049
1920,620,3.032
1923,620.5,3.016
1926,621,2.999
1929,621.5,2.982
1932,622,2.965
1935,622.5,2.948
1938,623,2.930
1941,623.5,2.913
1944,624,2.895
1947,624.5,2.878
1950,625,2.860
1953,625.5,2.842
1956,626,2.823
1959,626.5,2.805
1962,627,2.787
1965,627.5,2.768
1968,628,2.749
1971,628.5,2.730
1974,629,2.711
1977,629.5,2.692
1980,630,2.673
1983,630.5,2.653
1986,631,2.634
1989,631.5,2.614
1992,632,2.594
1995,632.5,2.574
1998,633,2.554
2001,633.5,2.534
2004,634,2.514
2007,634.5,2.493
2010,635,2.473
2013,635.5,2.452
2016,636,2.431
2019,636.5,2.410
2022,637,2.389
2025,637.5,2.368
2028,638,2.347
2031,638.5,2.326
2034,639,2.304
2037,639.5,2.283
2040,640,2.262
2043,640.5,2.240
2046,641,2.219
2049,641.5,2.197
2052,642,2.176
2055,642.5,2.154
2058,643,2.133
2061,643.5,2.111
2064,644,2.090
2067,644.5,2.069
2070,645,2.047
2073,645.5,2.026
2076,646,2.005
2079,646.5,1.984
2082,647,1.963
2085,647.5,1.943
2088,648,1.922
2091,648.5,1.902
2094,649,1.882
2097,649.5,1.862
2100,650,1.842
2103,650.5,1.823
2106,651,1.804
2109,651.5,1.785
2112,652,1.767
2115,652.5,1.749
2118,653,1.731
2121,653.5,1.714
2124,654,1.697
2127,654.5,1.680
2130,655,1.664
2133,655.5,1.648
2136,656,1.633
2139,656.5,1.618
2142,657,1.604
2145,657.5,1.590
2148,658,1.577
2151,658.5,1.565
2154,659,1.553
2157,659.5,1.541
2160,660,1.530
2163,660.5,1.520
2166,661,1.510
2169,661.5,1.501
2172,662,1.492
2175,662.5,1.484
2178,663,1.477
2181,663.5,1.470
2184,664,1.463
2187,664.5,1.457
2190,665,1.452
2193,665.5,1.447
2196,666,1.442
2199,666.5,1.438
2202,667,1.434
2205,667.5,1.431
2208,668,1.428
2211,668.5,1.425
2214,669,1.422
2217,669.5,1.419
2220,670,1.417
2223,670.5,1.415
2226,671,1.412
2229,671.5,1.410
2232,672,1.407
2235,672.5,1.405
2238,673,1.403
2241,673.5,1.400
2244,674,1.398
2247,674.5,1.396
2250,675,1.394
2253,675.5,1.391
2256,676,1.389
2259,676.5,1.387
2262,677,1.385
2265,677.5,1.383
2268,678,1.380
2271,678.5,1.378
2274,679,1.376
2277,679.5,1.374
2280,680,1.372
2283,680.5,1.370
2286,681,1.368
2289,681.5,1.366
2292,682,1.364
2295,682.5,1.362
2298,683,1.360
2301,683.5,1.358
2304,684,1.356
2307,684.5,1.354
2310,685,1.352
2313,685.5,1.350
2316,686,1.348
2319,686.5,1.346
2322,687,1.344
2325,687.5,1.342
2328,688,1.340
2331,688.5,1.338
2334,689,1.337
2337,689.5,1.335
2340,690,1.333
2343,690.5,1.331
2346,691,1.329
2349,691.5,1.327
2352,692,1.326
2355,692.5,1.324
2358,693,1.322
2361,693.5,1.320
2364,694,1.319
2367,694.5,1.317
2370,695,1.315
2373,695.5,1.314
2376,696,1.312
2379,696.5,1.310
2382,697,1.309
2385,697.5,1.307
2388,698,1.305
2391,698.5,1.304
2394,699,1.302
2397,699.5,1.300
2400,700,1.299
2403,700.5,1.297
2406,701,1.296
2409,701.5,1.294
2412,702,1.292
2415,702.5,1.291
2418,703,1.289
2421,703.5,1.288
2424,704,1.286
2427,704.5,1.285
2430,705,1.283
2433,705.5,1.282
2436,706,1.280
2439,706.5,1.279
2442,707,1.277
2445,707.5,1.276
2448,708,1.274
2451,708.5,1.273
2454,709,1.271
2457,709.5,1.270
2460,710,1.269
2463,710.5,1.267
2466,711,1.266
2469,711.5,1.264
2472,712,1.263
2475,712.5,1.262
2478,713,1.260
2481,713.5,1.259
2484,714,1.257
2487,714.5,1.256
2490,715,1.255
2493,715.5,1.253
2496,716,1.252
2499,716.5,1.251
2502,717,1.250
2505,717.5,1.248
2508,718,1.247
2511,718.5,1.246
2514,719,1.244
2517,719.5,1.243
2520,720,1.242
2523,720.5,1.241
2526,721,1.239
2529,721.5,1.238
2532,722,1.237
2535,722.5,1.236
2538,723,1.234
2541,723.5,1.233
2544,724,1.232
2547,724.5,1.231
2550,725,1.230
2553,725.5,1.228
2556,726,1.227
2559,726.5,1.226
2562,727,1.225
2565,727.5,1.224
2568,728,1.223
2571,728.5,1.221
2574,729,1.220
2577,729.5,1.219
2580,730,1.218
2583,730.5,1.217
2586,731,1.216
2589,731.5,1.215
2592,732,1.214
2595,732.5,1.212
2598,733,1.211
2601,733.5,1.210
2604,734,1.209
2607,734.5,1.208
2610,735,1.207
2613,735.5,1.206
2616,736,1.205
2619,736.5,1.204
2622,737,1.203
2625,737.5,1.202
2628,738,1.201
2631,738.5,1.200
2634,739,1.199
2637,739.5,1.198
2640,740,1.197
2643,740.5,1.196
2646,741,1.195
2649,741.5,1.194
2652,742,1.193
2655,742.5,1.192
2658,743,1.191
2661,743.5,1.190
2664,744,1.189
2667,744.5,1.188
2670,745,1.187
2673,745.5,1.186
2676,746,1.185
2679,746.5,1.184
2682,747,1.183
2685,747.5,1.182
2688,748,1.181
2691,748.5,1.180
2694,749,1.179
2697,749.5,1.178
2700,750,1.178
2703,750.5,1.177
2706,751,1.176
2709,751.5,1.175
2712,752,1.174
2715,752.5,1.173
2718,753,1.172
2721,753.5,1.171
2724,754,1.170
2727,754.5,1.170
2730,755,1.169
2733,755.5,1.168
2736,756,1.167
2739,756.5,1.166
2742,757,1.165
2745,757.5,1.164
2748,758,1.164
2751,758.5,1.163
2754,759,1.162
2757,759.5,1.161
2760,760,1.160
2763,760.5,1.160
2766,761,1.159
2769,761.5,1.158
2772,762,1.157
2775,762.5,1.156
2778,763,1.155
2781,763.5,1.155
2784,764,1.154
2787,764.5,1.153
2790,765,1.152
2793,765.5,1.152
2796,766,1.151
2799,766.5,1.150
2802,767,1.149
2805,767.5,1.149
2808,768,1.148
2811,768.5,1.147
2814,769,1.146
2817,769.5,1.146
2820,770,1.145
2823,770.5,1.144
2826,771,1.143
2829,771.5,1.143
2832,772,1.142
2835,772.5,1.141
2838,773,1.140
2841,773.5,1.140
2844,774,1.139
2847,774.5,1.138
2850,775,1.138
2853,775.5,1.137
2856,776,1.136
2859,776.5,1.135
2862,777,1.135
2865,777.5,1.134
2868,778,1.133
2871,778.5,1.133
2874,779,1.132
2877,779.5,1.131
2880,780,1.131
2883,780.5,1.130
2886,781,1.129
2889,781.5,1.129
2892,782,1.128
2895,782.5,1.127
2898,783,1.127
2901,783.5,1.126
2904,784,1.125
2907,784.5,1.125
2910,785,1.124
2913,785.5,1.123
2916,786,1.123
2919,786.5,1.122
2922,787,1.122
2925,787.5,1.121
2928,788,1.120
2931,788.5,1.120
2934,789,1.119
2937,789.5,1.118
2940,790,1.118
2943,790.5,1.117
2946,791,1.117
2949,791.5,1.116
2952,792,1.115
2955,792.5,1.115
2958,793,1.114
2961,793.5,1.114
2964,794,1.113
2967,794.5,1.112
2970,795,1.112
2973,795.5,1.111
2976,796,1.111
2979,796.5,1.110
2982,797,1.110
2985,797.5,1.109
2988,798,1.108
2991,798.5,1.108
2994,799,1.107
2997,799.5,1.107
3000,800,1.106
3003,800.5,1.106
3006,801,1.105
3009,801.5,1.105
3012,802,1.104
3015,802.5,1.103
3018,803,1.103
3021,803.5,1.102
3024,804,1.102
3027,804.5,1.101
3030,805,1.101
3033,805.5,1.100
3036,806,1.100
3039,806.5,1.099
3042,807,1.099
3045,807.5,1.098
3048,808,1.098
3051,808.5,1.097
3054,809,1.097
3057,809.5,1.096
3060,810,1.096
3063,810.5,1.095
3066,811,1.095
3069,811.5,1.094
3072,812,1.094
3075,812.5,1.093
3078,813,1.093
3081,813.5,1.092
3084,814,1.092
3087,814.5,1.091
3090,815,1.091
3093,815.5,1.090
3096,816,1.090
3099,816.5,1.089
3102,817,1.089
3105,817.5,1.088
3108,818,1.088
3111,818.5,1.087
3114,819,1.087
3117,819.5,1.086
3120,820,1.086
3123,820.5,1.085
3126,821,1.085
3129,821.5,1.084
3132,822,1.084
3135,822.5,1.084
3138,823,1.083
3141,823.5,1.083
3144,824,1.082
3147,824.5,1.082
3150,825,1.081
3153,825.5,1.081
3156,826,1.080
3159,826.5,1.080
3162,827,1.079
3165,827.5,1.079
3168,828,1.079
3171,828.5,1.078
3174,829,1.078
3177,829.5,1.077
3180,830,1.077
3183,830.5,1.076
3186,831,1.076
3189,831.5,1.076
3192,832,1.075
3195,832.5,1.075
3198,833,1.074
3201,833.5,1.074
3204,834,1.074
3207,834.5,1.073
3210,835,1.073
3213,835.5,1.072
3216,836,1.072
3219,836.5,1.071
3222,837,1.071
3225,837.5,1.071
3228,838,1.070
3231,838.5,1.070
3234,839,1.069
3237,839.5,1.069
3240,840,1.069
3243,840.5,1.068
3246,841,1.068
3249,841.5,1.068
3252,842,1.067
3255,842.5,1.067
3258,843,1.066
3261,843.5,1.066
3264,844,1.066
3267,844.5,1.065
3270,845,1.065
3273,845.5,1.064
3276,846,1.064
3279,846.5,1.064
3282,847,1.063
3285,847.5,1.063
3288,848,1.063
3291,848.5,1.062
3294,849,1.062
3297,849.5,1.062
3300,850,1.061
3303,850.5,1.061
3306,851,1.060
3309,851.5,1.060
3312,852,1.060
3315,852.5,1.059
3318,853,1.059
3321,853.5,1.059
3324,854,1.058
3327,854.5,1.058
3330,855,1.058
3333,855.5,1.057
3336,856,1.057
3339,856.5,1.057
3342,857,1.056
3345,857.5,1.056
3348,858,1.056
3351,858.5,1.055
3354,859,1.055
3357,859.5,1.055
3360,860,1.054
3363,860.5,1.054
3366,861,1.054
3369,861.5,1.053
3372,862,1.053
3375,862.5,1.053
3378,863,1.052
3381,863.5,1.052
3384,864,1.052
3387,864.5,1.051
3390,865,1.051
3393,865.5,1.051
3396,866,1.050
3399,866.5,1.050
3402,867,1.050
3405,867.5,1.049
3408,868,1.049
3411,868.5,1.049
3414,869,1.048
3417,869.5,1.048
3420,870,1.048
3423,870.5,1.047
3426,871,1.047
3429,871.5,1.047
3432,872,1.047
3435,872.5,1.046
3438,873,1.046
3441,873.5,1.046
3444,874,1.045
3447,874.5,1.045
3450,875,1.045
3453,875.5,1.044
3456,876,1.044
3459,876.5,1.044
3462,877,1.044
3465,877.5,1.043
3468,878,1.043
3471,878.5,1.043
3474,879,1.042
3477,879.5,1.042
3480,880,1.042
3483,880.5,1.042
3486,881,1.041
3489,881.5,1.041
3492,882,1.041
3495,882.5,1.040
3498,883,1.040
3501,883.5,1.040
3504,884,1.040
3507,884.5,1.039
3510,885,1.039
3513,885.5,1.039
3516,886,1.038
3519,886.5,1.038
3522,887,1.038
3525,887.5,1.038
3528,888,1.037
3531,888.5,1.037
3534,889,1.037
3537,889.5,1.037
3540,890,1.036
3543,890.5,1.036
3546,891,1.036
3549,891.5,1.036
3552,892,1.035
3555,892.5,1.035
3558,893,1.035
3561,893.5,1.034
3564,894,1.034
3567,894.5,1.034
3570,895,1.034
3573,895.5,1.033
3576,896,1.033
3579,896.5,1.033
3582,897,1.033
3585,897.5,1.032
3588,898,1.032
3591,898.5,1.032
3594,899,1.032
3597,899.5,1.031
3600,900,1.031
3603,900.5,1.031
3606,901,1.031
3609,901.5,1.030
3612,902,1.030
3615,902.5,1.030
3618,903,1.030
3621,903.5,1.030
3624,904,1.029
3627,904.5,1.029
3630,905,1.029
3633,905.5,1.029
3636,906,1.028
3639,906.5,1.028
3642,907,1.028
3645,907.5,1.028
3648,908,1.027
3651,908.5,1.027
3654,909,1.027
3657,909.5,1.027
3660,910,1.026
3663,910.5,1.026
3666,911,1.026
3669,911.5,1.026
3672,912,1.026
3675,912.5,1.025
3678,913,1.025
3681,913.5,1.025
3684,914,1.025
3687,914.5,1.024
3690,915,1.024
3693,915.5,1.024
3696,916,1.024
3699,916.5,1.024
3702,917,1.023
3705,917.5,1.023
3708,918,1.023
3711,918.5,1.023
3714,919,1.022
3717,919.5,1.022
3720,920,1.022
3723,920.5,1.022
3726,921,1.022
3729,921.5,1.021
3732,922,1.021
3735,922.5,1.021
3738,923,1.021
3741,923.5,1.021
3744,924,1.020
3747,924.5,1.020
3750,925,1.020
3753,925.5,1.020
3756,926,1.020
3759,926.5,1.019
3762,927,1.019
3765,927.5,1.019
3768,928,1.019
3771,928.5,1.019
3774,929,1.018
3777,929.5,1.018
3780,930,1.018
3783,930.5,1.018
3786,931,1.018
3789,931.5,1.017
3792,932,1.017
3795,932.5,1.017
3798,933,1.017
3801,933.5,1.017
3804,934,1.016
3807,934.5,1.016
3810,935,1.016
3813,935.5,1.016
3816,936,1.016
3819,936.5,1.015
3822,937,1.015
3825,937.5,1.015
3828,938,1.015
3831,938.5,1.015
3834,939,1.014
3837,939.5,1.014
3840,940,1.014
3843,940.5,1.014
3846,941,1.014
3849,941.5,1.014
3852,942,1.013
3855,942.5,1.013
3858,943,1.013
3861,943.5,1.013
3864,944,1.013
3867,944.5,1.012
3870,945,1.012
3873,945.5,1.012
3876,946,1.012
3879,946.5,1.012
3882,947,1.012
3885,947.5,1.011
3888,948,1.011
3891,948.5,1.011
3894,949,1.011
3897,949.5,1.011
3900,950,1.011
3903,950.5,1.010
3906,951,1.010
3909,951.5,1.010
3912,952,1.010
3915,952.5,1.010
3918,953,1.009
3921,953.5,1.009
3924,954,1.009
3927,954.5,1.009
3930,955,1.009
3933,955.5,1.009
3936,956,1.008
3939,956.5,1.008
3942,957,1.008
3945,957.5,1.008
3948,958,1.008
3951,958.5,1.008
3954,959,1.007
3957,959.5,1.007
3960,960,1.007
3963,960.5,1.007
3966,961,1.007
3969,961.5,1.007
3972,962,1.007
3975,962.5,1.006
3978,963,1.006
3981,963.5,1.006
3984,964,1.006
3987,964.5,1.006
3990,965,1.006
3993,965.5,1.005
3996,966,1.005
3999,966.5,1.005
4002,967,1.005
4005,967.5,1.005
4008,968,1.005
4011,968.5,1.004
4014,969,1.004
4017,969.5,1.004
4020,970,1.004
4023,970.5,1.004
4026,971,1.004
4029,971.5,1.004
4032,972,1.003
4035,972.5,1.003
4038,973,1.003
4041,973.5,1.003
4044,974,1.003
4047,974.5,1.003
4050,975,1.003
4053,975.5,1.002
4056,976,1.002
4059,976.5,1.002
4062,977,1.002
4065,977.5,1.002
4068,978,1.002
4071,978.5,1.002
4074,979,1.001
4077,979.5,1.001
4080,980,1.001
4083,980.5,1.001
4086,981,1.001
4089,981.5,1.001
4092,982,1.001
4095,982.5,1.000
4098,983,1.000
4101,983.5,1.000
4104,984,1.000
4107,984.5,1.000
4110,985,1.000
4113,985.5,1.000
4116,986,0.999
4119,986.5,0.999
4122,987,0.999
4125,987.5,0.999
4128,988,0.999
4131,988.5,0.999
4134,989,0.999
4137,989.5,0.998
4140,990,0.998
4143,990.5,0.998
4146,991,0.998
4149,991.5,0.998
4152,992,0.998
4155,992.5,0.998
4158,993,0.998
4161,993.5,0.997
4164,994,0.997
4167,994.5,0.997
4170,995,0.997
4173,995.5,0.997
4176,996,0.997
4179,996.5,0.997
4182,997,0.996
4185,997.5,0.996
4188,998,0.996
4191,998.5,0.996
4194,999,0.996
4197,999.5,0.996
4200,1000,0.996
