# Time (s),Mass (g),T Back (K),T Front (K)
0,22.800,293.000,293.000
1,22.800,293.000,452.411
2,22.800,293.000,513.853
3,22.797,293.000,556.227
4,22.789,293.004,587.885
5,22.775,293.026,614.202
6,22.754,293.109,637.624
7,22.723,293.315,659.003
8,22.682,293.714,678.711
9,22.626,294.375,696.835
10,22.556,295.345,713.241
11,22.469,296.662,727.794
12,22.367,298.340,740.578
13,22.254,300.383,751.982
14,22.131,302.786,762.501
15,22.005,305.532,772.723
16,21.878,308.602,782.690
17,21.752,311.972,791.806
18,21.626,315.617,800.189
19,21.502,319.510,808.054
20,21.379,323.623,815.149
21,21.257,327.933,821.796
22,21.137,332.415,827.976
23,21.018,337.043,833.599
24,20.901,341.799,838.902
25,20.786,346.662,843.874
26,20.672,351.615,848.418
27,20.560,356.639,852.723
28,20.449,361.720,856.805
29,20.340,366.844,860.556
30,20.231,371.998,864.124
31,20.124,377.169,867.543
32,20.018,382.346,870.709
33,19.913,387.519,873.714
34,19.809,392.679,876.602
35,19.706,397.815,879.350
36,19.603,402.918,881.923
37,19.501,407.979,884.393
38,19.400,412.990,886.807
39,19.299,417.941,889.061
40,19.198,422.823,891.216
41,19.098,427.628,893.302
42,18.998,432.345,895.335
43,18.898,436.965,897.241
44,18.798,441.476,899.077
45,18.698,445.870,900.876
46,18.599,450.138,902.614
47,18.499,454.267,904.253
48,18.398,458.249,905.839
49,18.299,462.080,907.414
50,18.198,465.755,908.918
51,18.098,469.267,910.351
52,17.997,472.615,911.741
53,17.896,475.812,913.130
54,17.795,478.862,914.458
55,17.693,481.766,915.727
56,17.591,484.538,916.961
57,17.489,487.202,918.201
58,17.387,489.770,919.388
59,17.285,492.247,920.525
60,17.182,494.651,921.634
61,17.080,497.012,922.754
62,16.977,499.333,923.824
63,16.874,501.619,924.853
64,16.771,503.883,925.857
65,16.669,506.151,926.872
66,16.566,508.420,927.845
67,16.463,510.688,928.781
68,16.359,512.964,929.693
69,16.256,515.270,930.617
70,16.153,517.598,931.506
71,16.049,519.941,932.359
72,15.946,522.304,933.192
