Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g),,,,,,,,,,,,,,,,,,W/g
0.0,273.15,5.0000,0.1822,,,,,,,,,,,,,,,,,,STA
0.3,273.45,5.0000,1.9176,,,,,,,,,,,,,,,,,,1.82E-01
0.6,273.75,5.0000,1.9198,,,,,,,,,,,,,,,,,,1.92E+00
0.9,274.05,5.0000,1.9198,,,,,,,,,,,,,,,,,,1.92E+00
1.2,274.35,5.0000,1.9198,,,,,,,,,,,,,,,,,,1.92E+00
1.5,274.65,5.0000,1.9198,,,,,,,,,,,,,,,,,,1.92E+00
1.8,274.95,5.0000,1.9198,,,,,,,,,,,,,,,,,,1.92E+00
2.1,275.25,5.0000,1.9198,,,,,,,,,,,,,,,,,,1.92E+00
2.4,275.55,5.0000,1.9198,,,,,,,,,,,,,,,,,,1.93E+00
2.7,275.85,5.0000,1.9198,,,,,,,,,,,,,,,,,,1.94E+00
3.0,276.15,5.0000,1.9198,,,,,,,,,,,,,,,,,,1.95E+00
3.3,276.45,5.0000,1.9198,,,,,,,,,,,,,,,,,,1.96E+00
3.6,276.75,5.0000,1.9245,,,,,,,,,,,,,,,,,,1.97E+00
3.9,277.05,5.0000,1.9269,,,,,,,,,,,,,,,,,,1.97E+00
4.2,277.35,5.0000,1.9318,,,,,,,,,,,,,,,,,,1.98E+00
4.5,277.65,5.0000,1.9348,,,,,,,,,,,,,,,,,,1.99E+00
4.8,277.95,5.0000,1.9405,,,,,,,,,,,,,,,,,,2.00E+00
5.1,278.25,5.0000,1.9434,,,,,,,,,,,,,,,,,,2.01E+00
5.4,278.55,5.0000,1.9488,,,,,,,,,,,,,,,,,,2.01E+00
5.7,278.85,5.0000,1.9521,,,,,,,,,,,,,,,,,,2.02E+00
6.0,279.15,5.0000,1.9573,,,,,,,,,,,,,,,,,,2.03E+00
6.3,279.45,5.0000,1.9600,,,,,,,,,,,,,,,,,,2.04E+00
6.6,279.75,5.0000,1.9654,,,,,,,,,,,,,,,,,,2.05E+00
6.9,280.05,5.0000,1.9687,,,,,,,,,,,,,,,,,,2.06E+00
7.2,280.35,5.0000,1.9735,,,,,,,,,,,,,,,,,,2.06E+00
