# Time (s),Temperature (K),Mass (g)
96.9,461.5,4.999
97.2,462,4.999
97.5,462.5,4.999
97.8,463,4.999
98.1,463.5,4.999
98.4,464,4.999
98.7,464.5,4.999
99,465,4.999
99.3,465.5,4.999
99.6,466,4.999
99.9,466.5,4.999
100.2,467,4.999
100.5,467.5,4.999
100.8,468,4.998
101.1,468.5,4.998
101.4,469,4.998
101.7,469.5,4.998
102,470,4.998
102.3,470.5,4.998
102.6,471,4.998
102.9,471.5,4.998
103.2,472,4.998
103.5,472.5,4.998
103.8,473,4.998
104.1,473.5,4.998
104.4,474,4.998
104.7,474.5,4.998
105,475,4.998
105.3,475.5,4.998
105.6,476,4.997
105.9,476.5,4.997
106.2,477,4.997
106.5,477.5,4.997
106.8,478,4.997
107.1,478.5,4.997
107.4,479,4.997
107.7,479.5,4.997
108,480,4.997
108.3,480.5,4.997
108.6,481,4.997
108.9,481.5,4.996
109.2,482,4.996
109.5,482.5,4.996
109.8,483,4.996
110.1,483.5,4.996
110.4,484,4.996
110.7,484.5,4.996
111,485,4.996
111.3,485.5,4.995
111.6,486,4.995
111.9,486.5,4.995
112.2,487,4.995
112.5,487.5,4.995
112.8,488,4.995
113.1,488.5,4.995
113.4,489,4.994
113.7,489.5,4.994
114,490,4.994
114.3,490.5,4.994
114.6,491,4.994
114.9,491.5,4.994
115.2,492,4.993
115.5,492.5,4.993
115.8,493,4.993
116.1,493.5,4.993
116.4,494,4.992
116.7,494.5,4.992
117,495,4.992
117.3,495.5,4.992
117.6,496,4.992
117.9,496.5,4.991
118.2,497,4.991
118.5,497.5,4.991
118.8,498,4.991
119.1,498.5,4.990
119.4,499,4.990
119.7,499.5,4.990
120,500,4.989
120.3,500.5,4.989
120.6,501,4.989
120.9,501.5,4.989
121.2,502,4.988
121.5,502.5,4.988
121.8,503,4.988
122.1,503.5,4.987
122.4,504,4.987
122.7,504.5,4.986
123,505,4.986
123.3,505.5,4.986
123.6,506,4.985
123.9,506.5,4.985
124.2,507,4.984
124.5,507.5,4.984
124.8,508,4.984
125.1,508.5,4.983
125.4,509,4.983
125.7,509.5,4.982
126,510,4.982
126.3,510.5,4.981
126.6,511,4.981
126.9,511.5,4.980
127.2,512,4.980
127.5,512.5,4.979
127.8,513,4.979
128.1,513.5,4.978
128.4,514,4.978
128.7,514.5,4.977
129,515,4.976
129.3,515.5,4.976
129.6,516,4.975
129.9,516.5,4.975
130.2,517,4.974
130.5,517.5,4.973
130.8,518,4.973
131.1,518.5,4.972
131.4,519,4.971
131.7,519.5,4.970
132,520,4.970
132.3,520.5,4.969
132.6,521,4.968
132.9,521.5,4.967
133.2,522,4.967
133.5,522.5,4.966
133.8,523,4.965
134.1,523.5,4.964
134.4,524,4.963
134.7,524.5,4.962
135,525,4.962
135.3,525.5,4.961
135.6,526,4.960
135.9,526.5,4.959
136.2,527,4.958
136.5,527.5,4.957
136.8,528,4.956
137.1,528.5,4.955
137.4,529,4.954
137.7,529.5,4.953
138,530,4.952
138.3,530.5,4.951
138.6,531,4.949
138.9,531.5,4.948
139.2,532,4.947
139.5,532.5,4.946
139.8,533,4.945
140.1,533.5,4.944
140.4,534,4.942
140.7,534.5,4.941
141,535,4.940
141.3,535.5,4.939
141.6,536,4.937
141.9,536.5,4.936
142.2,537,4.935
142.5,537.5,4.933
142.8,538,4.932
143.1,538.5,4.930
143.4,539,4.929
143.7,539.5,4.928
144,540,4.926
144.3,540.5,4.925
144.6,541,4.923
144.9,541.5,4.922
145.2,542,4.920
145.5,542.5,4.918
145.8,543,4.917
146.1,543.5,4.915
146.4,544,4.914
146.7,544.5,4.912
147,545,4.910
147.3,545.5,4.908
147.6,546,4.907
147.9,546.5,4.905
148.2,547,4.903
148.5,547.5,4.901
148.8,548,4.900
149.1,548.5,4.898
149.4,549,4.896
149.7,549.5,4.894
150,550,4.892
150.3,550.5,4.890
150.6,551,4.888
150.9,551.5,4.886
151.2,552,4.884
151.5,552.5,4.882
151.8,553,4.880
152.1,553.5,4.878
152.4,554,4.876
152.7,554.5,4.874
153,555,4.872
153.3,555.5,4.870
153.6,556,4.868
153.9,556.5,4.865
154.2,557,4.863
154.5,557.5,4.861
154.8,558,4.859
155.1,558.5,4.857
155.4,559,4.854
155.7,559.5,4.852
156,560,4.850
156.3,560.5,4.847
156.6,561,4.845
156.9,561.5,4.842
157.2,562,4.840
157.5,562.5,4.838
157.8,563,4.835
158.1,563.5,4.833
158.4,564,4.830
158.7,564.5,4.828
159,565,4.825
159.3,565.5,4.822
159.6,566,4.820
159.9,566.5,4.817
160.2,567,4.815
160.5,567.5,4.812
160.8,568,4.809
161.1,568.5,4.807
161.4,569,4.804
161.7,569.5,4.801
162,570,4.798
162.3,570.5,4.795
162.6,571,4.793
162.9,571.5,4.790
163.2,572,4.787
163.5,572.5,4.784
163.8,573,4.781
164.1,573.5,4.778
164.4,574,4.775
164.7,574.5,4.772
165,575,4.769
165.3,575.5,4.766
165.6,576,4.763
165.9,576.5,4.760
166.2,577,4.756
166.5,577.5,4.753
166.8,578,4.750
167.1,578.5,4.747
167.4,579,4.744
167.7,579.5,4.740
168,580,4.737
168.3,580.5,4.734
168.6,581,4.730
168.9,581.5,4.727
169.2,582,4.723
169.5,582.5,4.720
169.8,583,4.716
170.1,583.5,4.713
170.4,584,4.709
170.7,584.5,4.705
171,585,4.702
171.3,585.5,4.698
171.6,586,4.694
171.9,586.5,4.690
172.2,587,4.686
172.5,587.5,4.683
172.8,588,4.679
173.1,588.5,4.675
173.4,589,4.671
173.7,589.5,4.667
174,590,4.662
174.3,590.5,4.658
174.6,591,4.654
174.9,591.5,4.650
175.2,592,4.646
175.5,592.5,4.641
175.8,593,4.637
176.1,593.5,4.632
176.4,594,4.628
176.7,594.5,4.623
177,595,4.619
177.3,595.5,4.614
177.6,596,4.609
177.9,596.5,4.604
178.2,597,4.600
178.5,597.5,4.595
178.8,598,4.590
179.1,598.5,4.585
179.4,599,4.580
179.7,599.5,4.575
180,600,4.569
180.3,600.5,4.564
180.6,601,4.559
180.9,601.5,4.553
181.2,602,4.548
181.5,602.5,4.542
181.8,603,4.537
182.1,603.5,4.531
182.4,604,4.525
182.7,604.5,4.519
183,605,4.514
183.3,605.5,4.508
183.6,606,4.502
183.9,606.5,4.495
184.2,607,4.489
184.5,607.5,4.483
184.8,608,4.477
185.1,608.5,4.470
185.4,609,4.464
185.7,609.5,4.457
186,610,4.450
186.3,610.5,4.444
186.6,611,4.437
186.9,611.5,4.430
187.2,612,4.423
187.5,612.5,4.415
187.8,613,4.408
188.1,613.5,4.401
188.4,614,4.394
188.7,614.5,4.386
189,615,4.378
189.3,615.5,4.371
189.6,616,4.363
189.9,616.5,4.355
190.2,617,4.347
190.5,617.5,4.339
190.8,618,4.331
191.1,618.5,4.323
191.4,619,4.314
191.7,619.5,4.306
192,620,4.297
192.3,620.5,4.288
192.6,621,4.280
192.9,621.5,4.271
193.2,622,4.262
193.5,622.5,4.253
193.8,623,4.244
194.1,623.5,4.234
194.4,624,4.225
194.7,624.5,4.216
195,625,4.206
195.3,625.5,4.196
195.6,626,4.186
195.9,626.5,4.177
196.2,627,4.167
196.5,627.5,4.156
196.8,628,4.146
197.1,628.5,4.136
197.4,629,4.126
197.7,629.5,4.115
198,630,4.104
198.3,630.5,4.094
198.6,631,4.083
198.9,631.5,4.072
199.2,632,4.061
199.5,632.5,4.050
199.8,633,4.038
200.1,633.5,4.027
200.4,634,4.016
200.7,634.5,4.004
201,635,3.992
201.3,635.5,3.981
201.6,636,3.969
201.9,636.5,3.957
202.2,637,3.945
202.5,637.5,3.933
202.8,638,3.921
203.1,638.5,3.908
203.4,639,3.896
203.7,639.5,3.883
204,640,3.871
204.3,640.5,3.858
204.6,641,3.845
204.9,641.5,3.832
205.2,642,3.819
205.5,642.5,3.806
205.8,643,3.793
206.1,643.5,3.780
206.4,644,3.766
206.7,644.5,3.753
207,645,3.739
207.3,645.5,3.726
207.6,646,3.712
207.9,646.5,3.698
208.2,647,3.685
208.5,647.5,3.670
208.8,648,3.656
209.1,648.5,3.642
209.4,649,3.628
209.7,649.5,3.614
210,650,3.599
210.3,650.5,3.585
210.6,651,3.570
210.9,651.5,3.556
211.2,652,3.541
211.5,652.5,3.526
211.8,653,3.512
212.1,653.5,3.497
212.4,654,3.482
212.7,654.5,3.467
213,655,3.451
213.3,655.5,3.436
213.6,656,3.421
213.9,656.5,3.406
214.2,657,3.390
214.5,657.5,3.375
214.8,658,3.359
215.1,658.5,3.343
215.4,659,3.328
215.7,659.5,3.312
216,660,3.296
216.3,660.5,3.280
216.6,661,3.264
216.9,661.5,3.248
217.2,662,3.232
217.5,662.5,3.216
217.8,663,3.199
218.1,663.5,3.183
218.4,664,3.167
218.7,664.5,3.150
219,665,3.134
219.3,665.5,3.117
219.6,666,3.101
219.9,666.5,3.084
220.2,667,3.067
220.5,667.5,3.051
220.8,668,3.034
221.1,668.5,3.017
221.4,669,3.000
221.7,669.5,2.983
222,670,2.966
222.3,670.5,2.949
222.6,671,2.932
222.9,671.5,2.915
223.2,672,2.898
223.5,672.5,2.881
223.8,673,2.863
224.1,673.5,2.846
224.4,674,2.829
224.7,674.5,2.811
225,675,2.794
225.3,675.5,2.777
225.6,676,2.759
225.9,676.5,2.742
226.2,677,2.724
226.5,677.5,2.707
226.8,678,2.689
227.1,678.5,2.672
227.4,679,2.654
227.7,679.5,2.637
228,680,2.619
228.3,680.5,2.602
228.6,681,2.584
228.9,681.5,2.566
229.2,682,2.549
229.5,682.5,2.531
229.8,683,2.514
230.1,683.5,2.496
230.4,684,2.479
230.7,684.5,2.461
231,685,2.444
231.3,685.5,2.426
231.6,686,2.409
231.9,686.5,2.392
232.2,687,2.374
232.5,687.5,2.357
232.8,688,2.340
233.1,688.5,2.323
233.4,689,2.306
233.7,689.5,2.289
234,690,2.272
234.3,690.5,2.255
234.6,691,2.238
234.9,691.5,2.221
235.2,692,2.205
235.5,692.5,2.188
235.8,693,2.172
236.1,693.5,2.156
236.4,694,2.140
236.7,694.5,2.123
237,695,2.107
237.3,695.5,2.092
237.6,696,2.076
237.9,696.5,2.060
238.2,697,2.045
238.5,697.5,2.030
238.8,698,2.015
239.1,698.5,2.000
239.4,699,1.985
239.7,699.5,1.971
240,700,1.956
240.3,700.5,1.942
240.6,701,1.928
240.9,701.5,1.914
241.2,702,1.900
241.5,702.5,1.887
241.8,703,1.874
242.1,703.5,1.861
242.4,704,1.848
242.7,704.5,1.835
243,705,1.823
243.3,705.5,1.810
243.6,706,1.798
243.9,706.5,1.787
244.2,707,1.775
244.5,707.5,1.763
244.8,708,1.752
245.1,708.5,1.742
245.4,709,1.731
245.7,709.5,1.720
246,710,1.710
246.3,710.5,1.700
246.6,711,1.690
246.9,711.5,1.681
247.2,712,1.671
247.5,712.5,1.662
247.8,713,1.653
248.1,713.5,1.644
248.4,714,1.636
248.7,714.5,1.628
249,715,1.619
249.3,715.5,1.612
249.6,716,1.604
249.9,716.5,1.596
250.2,717,1.589
250.5,717.5,1.582
250.8,718,1.576
251.1,718.5,1.569
251.4,719,1.562
251.7,719.5,1.556
252,720,1.550
252.3,720.5,1.544
252.6,721,1.538
252.9,721.5,1.533
253.2,722,1.527
253.5,722.5,1.522
253.8,723,1.517
254.1,723.5,1.512
254.4,724,1.507
254.7,724.5,1.503
255,725,1.498
255.3,725.5,1.494
255.6,726,1.489
255.9,726.5,1.485
256.2,727,1.481
256.5,727.5,1.477
256.8,728,1.474
257.1,728.5,1.470
257.4,729,1.467
257.7,729.5,1.463
258,730,1.460
258.3,730.5,1.456
258.6,731,1.453
258.9,731.5,1.450
259.2,732,1.447
259.5,732.5,1.444
259.8,733,1.441
260.1,733.5,1.439
260.4,734,1.436
260.7,734.5,1.433
261,735,1.431
261.3,735.5,1.428
261.6,736,1.425
261.9,736.5,1.423
262.2,737,1.421
262.5,737.5,1.418
262.8,738,1.416
263.1,738.5,1.414
263.4,739,1.411
263.7,739.5,1.409
264,740,1.407
264.3,740.5,1.405
264.6,741,1.403
264.9,741.5,1.400
265.2,742,1.398
265.5,742.5,1.396
265.8,743,1.394
266.1,743.5,1.392
266.4,744,1.390
266.7,744.5,1.388
267,745,1.386
267.3,745.5,1.384
267.6,746,1.383
267.9,746.5,1.381
268.2,747,1.379
268.5,747.5,1.377
268.8,748,1.375
269.1,748.5,1.373
269.4,749,1.371
269.7,749.5,1.369
270,750,1.368
270.3,750.5,1.366
270.6,751,1.364
270.9,751.5,1.362
271.2,752,1.360
271.5,752.5,1.359
271.8,753,1.357
272.1,753.5,1.355
272.4,754,1.353
272.7,754.5,1.352
273,755,1.350
273.3,755.5,1.348
273.6,756,1.346
273.9,756.5,1.345
274.2,757,1.343
274.5,757.5,1.341
274.8,758,1.340
275.1,758.5,1.338
275.4,759,1.336
275.7,759.5,1.334
276,760,1.333
276.3,760.5,1.331
276.6,761,1.329
276.9,761.5,1.328
277.2,762,1.326
277.5,762.5,1.324
277.8,763,1.323
278.1,763.5,1.321
278.4,764,1.320
278.7,764.5,1.318
279,765,1.316
279.3,765.5,1.315
279.6,766,1.313
279.9,766.5,1.311
280.2,767,1.310
280.5,767.5,1.308
280.8,768,1.307
281.1,768.5,1.305
281.4,769,1.303
281.7,769.5,1.302
282,770,1.300
282.3,770.5,1.299
282.6,771,1.297
282.9,771.5,1.296
283.2,772,1.294
283.5,772.5,1.293
283.8,773,1.291
284.1,773.5,1.290
284.4,774,1.288
284.7,774.5,1.287
285,775,1.285
285.3,775.5,1.284
285.6,776,1.282
285.9,776.5,1.281
286.2,777,1.279
286.5,777.5,1.278
286.8,778,1.276
287.1,778.5,1.275
287.4,779,1.273
287.7,779.5,1.272
288,780,1.271
288.3,780.5,1.269
288.6,781,1.268
288.9,781.5,1.266
289.2,782,1.265
289.5,782.5,1.264
289.8,783,1.262
290.1,783.5,1.261
290.4,784,1.259
290.7,784.5,1.258
291,785,1.257
291.3,785.5,1.255
291.6,786,1.254
291.9,786.5,1.253
292.2,787,1.251
292.5,787.5,1.250
292.8,788,1.249
293.1,788.5,1.247
293.4,789,1.246
293.7,789.5,1.245
294,790,1.244
294.3,790.5,1.242
294.6,791,1.241
294.9,791.5,1.240
295.2,792,1.239
295.5,792.5,1.237
295.8,793,1.236
296.1,793.5,1.235
296.4,794,1.234
296.7,794.5,1.233
297,795,1.231
297.3,795.5,1.230
297.6,796,1.229
297.9,796.5,1.228
298.2,797,1.227
298.5,797.5,1.226
298.8,798,1.224
299.1,798.5,1.223
299.4,799,1.222
299.7,799.5,1.221
300,800,1.220
300.3,800.5,1.219
300.6,801,1.218
300.9,801.5,1.217
301.2,802,1.216
301.5,802.5,1.214
301.8,803,1.213
302.1,803.5,1.212
302.4,804,1.211
302.7,804.5,1.210
303,805,1.209
303.3,805.5,1.208
303.6,806,1.207
303.9,806.5,1.206
304.2,807,1.205
304.5,807.5,1.204
304.8,808,1.203
305.1,808.5,1.202
305.4,809,1.201
305.7,809.5,1.200
306,810,1.199
306.3,810.5,1.198
306.6,811,1.197
306.9,811.5,1.196
307.2,812,1.196
307.5,812.5,1.195
307.8,813,1.194
308.1,813.5,1.193
308.4,814,1.192
308.7,814.5,1.191
309,815,1.190
309.3,815.5,1.189
309.6,816,1.188
309.9,816.5,1.188
310.2,817,1.187
310.5,817.5,1.186
310.8,818,1.185
311.1,818.5,1.184
311.4,819,1.183
311.7,819.5,1.183
312,820,1.182
312.3,820.5,1.181
312.6,821,1.180
312.9,821.5,1.179
313.2,822,1.179
313.5,822.5,1.178
313.8,823,1.177
314.1,823.5,1.176
314.4,824,1.175
314.7,824.5,1.175
315,825,1.174
315.3,825.5,1.173
315.6,826,1.173
315.9,826.5,1.172
316.2,827,1.171
316.5,827.5,1.170
316.8,828,1.170
317.1,828.5,1.169
317.4,829,1.168
317.7,829.5,1.168
318,830,1.167
318.3,830.5,1.166
318.6,831,1.166
318.9,831.5,1.165
319.2,832,1.164
319.5,832.5,1.164
319.8,833,1.163
320.1,833.5,1.162
320.4,834,1.162
320.7,834.5,1.161
321,835,1.160
321.3,835.5,1.160
321.6,836,1.159
321.9,836.5,1.159
322.2,837,1.158
322.5,837.5,1.157
322.8,838,1.157
323.1,838.5,1.156
323.4,839,1.156
323.7,839.5,1.155
324,840,1.154
324.3,840.5,1.154
324.6,841,1.153
324.9,841.5,1.153
325.2,842,1.152
325.5,842.5,1.152
325.8,843,1.151
326.1,843.5,1.151
326.4,844,1.150
326.7,844.5,1.149
327,845,1.149
327.3,845.5,1.148
327.6,846,1.148
327.9,846.5,1.147
328.2,847,1.147
328.5,847.5,1.146
328.8,848,1.146
329.1,848.5,1.145
329.4,849,1.145
329.7,849.5,1.144
330,850,1.144
330.3,850.5,1.143
330.6,851,1.143
330.9,851.5,1.142
331.2,852,1.142
331.5,852.5,1.142
331.8,853,1.141
332.1,853.5,1.141
332.4,854,1.140
332.7,854.5,1.140
333,855,1.139
333.3,855.5,1.139
333.6,856,1.138
333.9,856.5,1.138
334.2,857,1.137
334.5,857.5,1.137
334.8,858,1.137
335.1,858.5,1.136
335.4,859,1.136
335.7,859.5,1.135
336,860,1.135
336.3,860.5,1.135
336.6,861,1.134
336.9,861.5,1.134
337.2,862,1.133
337.5,862.5,1.133
337.8,863,1.132
338.1,863.5,1.132
338.4,864,1.132
338.7,864.5,1.131
339,865,1.131
339.3,865.5,1.131
339.6,866,1.130
339.9,866.5,1.130
340.2,867,1.129
340.5,867.5,1.129
340.8,868,1.129
341.1,868.5,1.128
341.4,869,1.128
341.7,869.5,1.128
342,870,1.127
342.3,870.5,1.127
342.6,871,1.126
342.9,871.5,1.126
343.2,872,1.126
343.5,872.5,1.125
343.8,873,1.125
344.1,873.5,1.125
344.4,874,1.124
344.7,874.5,1.124
345,875,1.124
345.3,875.5,1.123
345.6,876,1.123
345.9,876.5,1.123
346.2,877,1.122
346.5,877.5,1.122
346.8,878,1.122
347.1,878.5,1.121
347.4,879,1.121
347.7,879.5,1.121
348,880,1.120
348.3,880.5,1.120
348.6,881,1.120
348.9,881.5,1.119
349.2,882,1.119
349.5,882.5,1.119
349.8,883,1.119
350.1,883.5,1.118
350.4,884,1.118
350.7,884.5,1.118
351,885,1.117
351.3,885.5,1.117
351.6,886,1.117
351.9,886.5,1.116
352.2,887,1.116
352.5,887.5,1.116
352.8,888,1.116
353.1,888.5,1.115
353.4,889,1.115
353.7,889.5,1.115
354,890,1.114
354.3,890.5,1.114
354.6,891,1.114
354.9,891.5,1.114
355.2,892,1.113
355.5,892.5,1.113
355.8,893,1.113
356.1,893.5,1.112
356.4,894,1.112
356.7,894.5,1.112
357,895,1.112
357.3,895.5,1.111
357.6,896,1.111
357.9,896.5,1.111
358.2,897,1.111
358.5,897.5,1.110
358.8,898,1.110
359.1,898.5,1.110
359.4,899,1.110
359.7,899.5,1.109
360,900,1.109
360.3,900.5,1.109
360.6,901,1.109
360.9,901.5,1.108
361.2,902,1.108
361.5,902.5,1.108
361.8,903,1.108
362.1,903.5,1.107
362.4,904,1.107
362.7,904.5,1.107
363,905,1.107
363.3,905.5,1.106
363.6,906,1.106
363.9,906.5,1.106
364.2,907,1.106
364.5,907.5,1.105
364.8,908,1.105
365.1,908.5,1.105
365.4,909,1.105
365.7,909.5,1.104
366,910,1.104
366.3,910.5,1.104
366.6,911,1.104
366.9,911.5,1.103
367.2,912,1.103
367.5,912.5,1.103
367.8,913,1.103
368.1,913.5,1.102
368.4,914,1.102
368.7,914.5,1.102
369,915,1.102
369.3,915.5,1.102
369.6,916,1.101
369.9,916.5,1.101
370.2,917,1.101
370.5,917.5,1.101
370.8,918,1.100
371.1,918.5,1.100
371.4,919,1.100
371.7,919.5,1.100
372,920,1.100
372.3,920.5,1.099
372.6,921,1.099
372.9,921.5,1.099
373.2,922,1.099
373.5,922.5,1.098
373.8,923,1.098
374.1,923.5,1.098
374.4,924,1.098
374.7,924.5,1.098
375,925,1.097
375.3,925.5,1.097
375.6,926,1.097
375.9,926.5,1.097
376.2,927,1.097
376.5,927.5,1.096
376.8,928,1.096
377.1,928.5,1.096
377.4,929,1.096
377.7,929.5,1.096
378,930,1.095
378.3,930.5,1.095
378.6,931,1.095
378.9,931.5,1.095
379.2,932,1.095
379.5,932.5,1.094
379.8,933,1.094
380.1,933.5,1.094
380.4,934,1.094
380.7,934.5,1.094
381,935,1.093
381.3,935.5,1.093
381.6,936,1.093
381.9,936.5,1.093
382.2,937,1.093
382.5,937.5,1.092
382.8,938,1.092
383.1,938.5,1.092
383.4,939,1.092
383.7,939.5,1.092
384,940,1.091
384.3,940.5,1.091
384.6,941,1.091
384.9,941.5,1.091
385.2,942,1.091
385.5,942.5,1.090
385.8,943,1.090
386.1,943.5,1.090
386.4,944,1.090
386.7,944.5,1.090
387,945,1.089
387.3,945.5,1.089
