# Time (s),Mass (g),T Back (K),T Front (K)
0,22.800,293.000,293.000
1,22.800,293.000,424.912
2,22.800,293.000,455.454
3,22.800,293.000,477.993
4,22.800,293.000,496.322
5,22.800,293.002,512.415
6,22.800,293.008,526.282
7,22.799,293.024,538.474
8,22.798,293.062,549.366
9,22.797,293.137,559.187
10,22.796,293.266,568.109
11,22.793,293.470,576.263
12,22.791,293.761,583.754
13,22.787,294.157,590.667
14,22.783,294.668,597.068
15,22.778,295.300,603.016
16,22.772,296.060,608.556
17,22.765,296.949,613.726
18,22.758,297.968,618.558
19,22.749,299.115,623.081
20,22.739,300.387,627.321
21,22.728,301.778,631.298
22,22.716,303.284,635.032
23,22.703,304.901,638.542
24,22.688,306.621,641.842
25,22.673,308.437,644.948
26,22.656,310.344,647.873
27,22.637,312.336,650.629
28,22.618,314.405,653.227
29,22.597,316.546,655.678
30,22.575,318.753,657.990
31,22.552,321.021,660.172
32,22.527,323.343,662.233
33,22.501,325.715,664.180
34,22.474,328.133,666.021
35,22.446,330.591,667.761
36,22.416,333.086,669.407
37,22.385,335.613,670.964
38,22.353,338.168,672.439
39,22.320,340.750,673.838
40,22.285,343.353,675.164
41,22.250,345.975,676.424
42,22.213,348.614,677.621
43,22.174,351.268,678.761
44,22.135,353.932,679.846
45,22.095,356.606,680.882
46,22.053,359.287,681.872
47,22.010,361.974,682.819
48,21.967,364.665,683.727
49,21.922,367.358,684.599
50,21.876,370.051,685.438
51,21.829,372.745,686.247
52,21.781,375.436,687.028
53,21.733,378.124,687.784
54,21.683,380.808,688.517
55,21.632,383.488,689.229
56,21.581,386.161,689.922
57,21.529,388.829,690.598
58,21.476,391.489,691.260
59,21.422,394.140,691.906
60,21.367,396.783,692.540
61,21.312,399.417,693.165
62,21.256,402.042,693.778
63,21.200,404.656,694.383
64,21.142,407.259,694.981
65,21.084,409.852,695.573
66,21.026,412.433,696.160
67,20.967,415.002,696.740
68,20.907,417.560,697.317
69,20.847,420.106,697.890
70,20.786,422.638,698.462
71,20.725,425.158,699.032
72,20.664,427.666,699.600
73,20.601,430.159,700.168
74,20.539,432.641,700.734
75,20.476,435.108,701.298
76,20.412,437.562,701.863
77,20.348,440.002,702.428
78,20.284,442.428,702.993
79,20.219,444.841,703.558
80,20.153,447.240,704.124
81,20.088,449.625,704.689
82,20.021,451.996,705.256
83,19.955,454.352,705.823
84,19.888,456.695,706.390
85,19.820,459.023,706.957
86,19.752,461.337,707.523
87,19.684,463.637,708.089
88,19.615,465.923,708.654
89,19.546,468.195,709.219
90,19.476,470.453,709.783
91,19.406,472.698,710.346
92,19.335,474.928,710.908
93,19.264,477.145,711.463
94,19.192,479.348,712.019
95,19.120,481.539,712.574
96,19.047,483.717,713.128
97,18.974,485.882,713.681
98,18.900,488.035,714.228
99,18.826,490.177,714.770
100,18.752,492.306,715.315
101,18.676,494.424,715.858
102,18.601,496.533,716.398
103,18.524,498.629,716.934
104,18.448,500.717,717.464
105,18.371,502.797,717.995
106,18.293,504.866,718.526
107,18.215,506.927,719.053
108,18.136,508.982,719.578
109,18.056,511.027,720.096
110,17.976,513.068,720.614
111,17.896,515.104,721.133
112,17.815,517.132,721.648
113,17.733,519.155,722.161
114,17.651,521.175,722.669
115,17.568,523.191,723.175
116,17.485,525.202,723.682
117,17.401,527.211,724.186
118,17.316,529.217,724.688
119,17.231,531.221,725.185
120,17.146,533.221,725.681
121,17.059,535.222,726.176
