Time,Mass,Temperature Front
[s],[g],[K]
1,169.489286,300.6684273
2,169.390486,345.273164
3,169.25232,384.4515947
4,169.114926,412.5339452
5,169.067842,435.8405312
6,169.200605,456.7956834
7,169.557982,475.5276205
8,169.691517,492.8888413
9,169.745548,508.7101726
10,169.787229,523.3016521
11,169.85361,537.0040892
12,169.874451,549.9761647
13,169.896836,562.4551461
14,169.90301,574.2955808
15,169.903782,585.9984801
16,169.893748,596.5403336
17,169.889116,606.2672643
18,169.895291,615.6133989
19,169.888345,624.4349325
20,169.865188,631.9738707
21,169.852067,636.4649056
22,169.812701,642.6123152
23,169.785685,650.5410922
24,169.742461,655.7645482
25,169.713129,657.6518713
26,169.625136,656.4471663
27,169.539458,650.531918
28,169.443745,649.2280937
29,169.310982,650.4998082
30,169.195973,649.7624513
31,169.071701,647.2318951
32,168.930448,648.1135796
33,168.78688,651.1878917
34,168.627874,648.6903176
35,168.475043,645.7793637
36,168.30523,647.8223536
37,168.139277,645.5512378
38,167.976412,635.499223
39,167.806599,627.1397613
40,167.586615,619.1001309
41,167.429153,628.7700191
42,167.254709,618.9754258
43,167.11114,614.3175436
44,166.907365,631.2008913
45,166.72829,629.9424619
46,166.484378,616.1589992
47,166.319969,618.7397477
48,166.154016,622.487061
49,165.9541,614.4341998
50,165.757272,602.5232971
51,165.603669,625.5554873
52,165.396807,626.6383595
53,165.219276,630.706208
54,165.022448,631.4276273
55,164.814813,625.0816151
56,164.641913,637.1625774
57,164.471329,628.7860479
58,164.282992,614.2649343
59,164.077673,621.0463672
60,163.886248,623.8432166
61,163.690964,626.519308
62,163.468664,612.0109314
63,163.302711,623.4884285
64,163.122092,635.8119453
65,162.976208,624.3021661
66,162.788643,620.5726541
67,162.598762,619.2030994
68,162.388812,623.8363497
69,162.172687,632.5304435
70,161.973543,623.3133269
71,161.77054,605.2294561
72,161.562134,625.0816151
73,161.36685,632.5041031
74,161.177741,619.5680715
75,160.981684,624.0457934
76,160.785628,626.4403225
77,160.583397,637.3264038
78,160.383482,638.7390602
79,160.171216,628.670412
80,159.959723,630.1520011
81,159.738966,624.0045911
82,159.560664,625.148002
83,159.323698,631.1413452
84,159.143851,630.9821749
85,158.913061,626.5868467
86,158.717005,632.3689663
87,158.474636,637.4180558
88,158.257739,644.7854967
89,158.049333,642.0026042
90,157.857908,634.96429
91,157.680377,628.4494471
92,157.441868,616.3660357
93,157.238093,631.2718891
94,157.023512,652.358862
95,156.782687,638.2761782
96,156.582772,634.3274384
97,156.382856,620.7099606
98,156.155925,617.8782993
99,155.922819,630.9982064
100,155.732166,641.9349875
101,155.508322,643.3045773
102,155.262094,635.5542066
103,155.026672,636.7673401
104,154.824441,626.3476009
105,154.590563,632.2624611
106,154.386016,636.1750789
107,154.171435,633.5909735
108,153.925207,631.0714932
109,153.711398,624.1751237
110,153.523833,633.2989185
111,153.28378,633.1901153
112,153.075374,634.2254992
113,152.875458,632.2487186
114,152.680174,624.3090333
115,152.426999,635.233472
116,152.187718,636.233502
117,151.919106,626.7940439
118,151.701437,626.3933892
119,151.466787,635.0433259
120,151.232909,631.7906419
121,151.022959,631.9063048
122,150.752031,641.3356213
123,150.546712,637.659791
124,150.286591,629.3848518
125,150.081272,639.7542487
126,149.809572,634.5290285
127,149.571835,631.4356433
128,149.344132,634.7329124
129,149.074748,644.241022
130,148.836239,634.8108014
131,148.566082,636.1991354
132,148.282804,643.1383853
133,148.046611,643.860476
134,147.803471,633.2221835
135,147.520964,634.7111493
136,147.207583,639.263832
137,146.928165,636.0811444
138,146.709724,643.2071541
139,146.484337,647.4921522
140,146.272843,642.1183554
141,145.990337,640.8967143
142,145.742565,642.0473001
143,145.448481,649.2395604
144,145.187588,650.5491197
145,144.954481,643.054717
146,144.687413,643.6243595
147,144.445044,648.2202112
148,144.193413,643.9074705
149,143.92017,642.2730741
150,143.657732,644.2146585
151,143.386032,644.312089
152,143.115876,645.33114
153,142.838773,644.2765554
154,142.592545,655.7530759
155,142.329336,653.2741481
156,142.027533,648.4655817
157,141.743483,657.4178059
158,141.501887,642.4094571
159,141.244852,641.7963172
160,140.947681,650.1695407
161,140.694506,647.0014514
162,140.398878,645.961638
163,140.12795,637.6300035
164,139.87246,637.9782924
165,139.579147,639.857376
166,139.298957,651.1557804
167,139.029573,645.5890674
168,138.765591,644.103474
169,138.462245,633.4844586
170,138.156582,626.3601927
171,137.891829,636.9345985
172,137.623989,635.7065582
173,137.304433,634.055984
174,136.986421,633.1912606
175,136.669952,628.3521321
176,136.365833,643.815774
177,136.097221,644.1011815
178,135.776893,636.9128319
179,135.459653,629.613847
180,135.11694,642.046154
181,134.7997,645.9134898
182,134.493266,649.2051604
183,134.167535,641.3665631
184,133.807841,634.1693757
185,133.493688,633.8349302
186,133.162554,622.1220096
187,132.788967,628.0075283
188,132.426186,624.0744062
189,132.040248,624.9454086
190,131.706799,635.6091904
191,131.399593,632.6289341
192,131.041443,640.6331479
193,130.66554,642.4839527
194,130.291953,640.1644708
195,129.910647,635.2838727
196,129.544778,618.2398035
197,129.181997,619.914747
198,128.827707,612.8891588
199,128.417069,621.9869774
200,128.041938,617.4515996
201,127.671439,609.2999925
202,127.288589,621.9846888
203,126.920405,636.8727356
204,126.539099,630.1542912
205,126.20179,621.270643
206,125.861393,628.0991165
207,125.578115,635.905878
208,125.265506,628.3933478
209,124.971421,628.0212665
210,124.742947,635.739778
211,124.55075,663.0927513
212,124.367043,666.0602869
213,124.220388,674.8645786
214,124.123903,709.0943314
215,123.993457,730.0453787
216,123.897744,733.5073766
217,123.829819,758.8327467
218,123.769613,771.0047305
219,123.730247,790.1911038
220,123.682391,800.7935745
221,123.659235,812.8844353
222,123.60366,823.3537418
223,123.574329,840.2852081
224,123.556575,855.1186424
225,123.509491,873.6598907
226,123.528016,894.4913738
227,123.480932,901.1981004
228,123.470897,909.8133503
229,123.460863,921.7112901
230,123.425357,929.7089655
231,123.407604,932.7594808
232,123.388307,940.3177937
233,123.386763,949.5822201
234,123.358204,952.6990098
235,123.334276,958.5247284
236,123.256316,959.9235298
237,123.230844,962.5190574
238,123.210004,967.1062082
239,123.271754,972.3404137
240,123.240107,977.5490418
241,123.237791,983.0552379
242,123.246282,987.4912323
243,123.216179,992.0781148
244,123.20846,995.3443608
245,123.194566,998.2185594
246,123.172954,1000.509526
247,123.164463,1003.84388
248,123.15906,1003.979843
249,123.135132,1005.572791
250,123.114291,1008.049772
251,123.125097,1007.154134
252,123.09345,1009.056823
253,123.102713,1011.938725
254,123.101169,1011.937552
