Time (s),Temperature (K),HRR (W/g)
54.911,389.5,0.2424
55.375,390,0.0876
55.843,390.5,0.0684
56.306,391,0.0384
56.757,391.5,0.0240
57.209,392,0.0067
57.683,392.5,-0.0557
58.156,393,-0.0884
58.602,393.5,-0.0788
59.074,394,-0.1048
59.517,394.5,-0.1090
59.968,395,-0.1342
60.461,395.5,-0.1794
60.920,396,-0.1203
61.357,396.5,-0.0513
61.814,397,-0.0164
62.266,397.5,-0.0807
62.725,398,-0.1194
63.199,398.5,-0.1648
63.675,399,-0.3526
64.152,399.5,-0.4702
64.622,400,-0.4059
65.085,400.5,-0.3614
65.554,401,-0.3436
66.016,401.5,-0.3891
66.528,402,-0.3497
66.972,402.5,-0.3661
67.424,403,-0.4220
67.895,403.5,-0.4569
68.360,404,-0.4064
68.839,404.5,-0.4355
69.316,405,-0.4059
69.788,405.5,-0.4241
70.256,406,-0.4459
70.723,406.5,-0.4377
71.190,407,-0.4559
71.666,407.5,-0.4580
72.146,408,-0.4469
72.592,408.5,-0.4858
73.039,409,-0.4525
73.567,409.5,-0.5628
74.034,410,-0.5253
74.514,410.5,-0.5620
74.961,411,-0.6434
75.444,411.5,-0.6141
75.920,412,-0.6664
76.382,412.5,-0.7702
76.861,413,-0.7798
77.343,413.5,-0.7081
77.816,414,-0.7332
78.287,414.5,-0.8059
78.751,415,-0.7836
79.220,415.5,-0.7069
79.698,416,-0.6736
80.176,416.5,-0.7162
80.650,417,-0.8039
81.116,417.5,-0.7855
81.619,418,-0.7087
82.097,418.5,-0.7405
82.561,419,-0.7143
83.016,419.5,-0.7584
83.522,420,-0.8765
83.997,420.5,-0.7145
84.478,421,-0.7644
84.976,421.5,-0.6000
85.469,422,-0.6087
85.966,422.5,-0.4931
86.445,423,-0.4596
86.925,423.5,-0.4476
87.431,424,-0.4622
87.884,424.5,-0.4515
88.364,425,-0.4931
88.840,425.5,-0.5072
89.326,426,-0.5672
89.812,426.5,-0.5405
90.298,427,-0.5157
90.775,427.5,-0.5177
91.275,428,-0.4879
91.765,428.5,-0.4548
92.226,429,-0.4585
92.708,429.5,-0.4723
93.209,430,-0.4632
93.705,430.5,-0.4203
94.191,431,-0.3823
94.657,431.5,-0.4562
95.148,432,-0.5203
95.614,432.5,-0.4165
96.100,433,-0.3755
96.590,433.5,-0.3773
97.064,434,-0.3774
97.572,434.5,-0.2712
98.054,435,-0.2050
98.582,435.5,-0.2163
99.016,436,-0.2244
99.539,436.5,-0.1411
99.992,437,-0.1513
100.498,437.5,0.0159
100.991,438,-0.0008
101.465,438.5,0.1676
101.984,439,0.2046
102.428,439.5,0.2573
102.987,440,0.2542
103.428,440.5,0.2681
103.916,441,0.2607
104.408,441.5,0.2751
104.905,442,0.3652
105.394,442.5,0.4059
105.884,443,0.3924
106.362,443.5,0.3813
106.857,444,0.4344
107.356,444.5,0.4287
107.854,445,0.4743
108.356,445.5,0.4624
108.859,446,0.5341
109.329,446.5,0.6121
109.804,447,0.7209
110.293,447.5,0.8337
110.797,448,0.8646
111.280,448.5,0.9446
111.754,449,1.0574
112.243,449.5,1.1080
112.743,450,1.1072
113.234,450.5,1.0815
113.706,451,1.1392
114.198,451.5,1.2917
114.689,452,1.3984
115.179,452.5,1.5081
115.707,453,1.5737
116.191,453.5,1.6045
116.664,454,1.7097
117.158,454.5,1.7796
117.664,455,1.8182
118.151,455.5,1.8528
118.631,456,1.9693
119.128,456.5,2.0326
119.599,457,2.0758
120.096,457.5,2.0360
120.590,458,1.9449
121.081,458.5,2.0408
121.589,459,2.2014
122.045,459.5,2.2006
122.571,460,2.3250
123.030,460.5,2.4233
123.525,461,2.5966
124.024,461.5,2.7065
124.477,462,2.7632
124.981,462.5,2.7815
125.477,463,2.8123
125.983,463.5,2.9144
126.441,464,2.8881
126.952,464.5,2.9699
127.461,465,3.0912
127.929,465.5,3.1424
128.419,466,3.2635
128.909,466.5,3.2930
129.416,467,3.4105
129.927,467.5,3.5227
130.426,468,3.5454
130.900,468.5,3.6473
131.385,469,3.7913
131.881,469.5,3.8697
132.355,470,3.9128
132.854,470.5,3.9963
133.346,471,4.0760
133.843,471.5,4.1766
134.330,472,4.2616
134.827,472.5,4.4020
135.309,473,4.5176
135.788,473.5,4.5983
136.274,474,4.7125
136.777,474.5,4.8701
137.278,475,5.0017
137.756,475.5,5.0658
138.264,476,5.1533
138.748,476.5,5.2859
139.206,477,5.3688
139.719,477.5,5.4848
140.224,478,5.6131
140.709,478.5,5.6813
141.214,479,5.8303
141.696,479.5,5.9284
142.189,480,6.0363
142.696,480.5,6.1951
143.177,481,6.2884
143.647,481.5,6.3726
144.154,482,6.4415
144.662,482.5,6.5265
145.170,483,6.6781
145.645,483.5,6.8659
146.134,484,7.0251
146.619,484.5,7.1145
147.138,485,7.3348
147.620,485.5,7.5097
148.122,486,7.6361
148.627,486.5,7.7837
149.128,487,7.9724
149.622,487.5,8.1418
150.106,488,8.1417
150.593,488.5,8.2371
151.078,489,8.2683
151.602,489.5,8.3623
152.086,490,8.3602
152.593,490.5,8.4747
153.077,491,8.6428
153.573,491.5,8.7020
154.069,492,8.9100
154.571,492.5,9.0116
