Time (s),Temperature (C),HRR (W/g)
0.000,74.707,-0.881
0.500,74.705,-1.051
1.000,74.698,-1.484
1.500,74.736,-2.046
2.000,74.749,-2.707
2.500,74.752,-3.349
3.000,74.756,-3.783
3.500,74.832,-4.003
4.000,74.843,-4.033
4.500,74.916,-3.990
5.000,74.967,-3.897
5.500,75.006,-3.754
6.000,75.110,-3.520
6.500,75.194,-3.316
7.000,75.251,-3.105
7.500,75.357,-2.798
8.000,75.440,-2.282
8.500,75.537,-1.646
9.000,75.652,-0.913
9.500,75.755,-0.191
10.000,75.863,0.564
10.500,75.964,1.229
11.000,76.084,1.812
11.500,76.259,2.238
12.000,76.405,2.603
12.500,76.556,2.873
13.000,76.715,3.029
13.500,76.873,3.143
14.000,77.075,3.171
14.500,77.298,3.153
15.000,77.525,3.147
15.500,77.798,3.112
16.000,78.053,3.091
16.500,78.300,3.010
17.000,78.590,3.018
17.500,78.881,2.864
18.000,79.187,2.774
18.500,79.488,2.731
19.000,79.828,2.597
19.500,80.192,2.539
20.000,80.513,2.480
20.500,80.899,2.372
21.000,81.273,2.313
21.500,81.697,2.236
22.000,82.069,2.177
22.500,82.494,2.116
23.000,82.923,2.078
23.500,83.323,1.965
24.000,83.745,1.912
24.500,84.167,1.867
25.000,84.623,1.802
25.500,85.055,1.751
26.000,85.533,1.748
26.500,85.986,1.675
27.000,86.456,1.542
27.500,86.934,1.496
28.000,87.369,1.432
28.500,87.888,1.410
29.000,88.382,1.389
29.500,88.858,1.353
30.000,89.366,1.280
30.500,89.877,1.225
31.000,90.363,1.231
31.500,90.896,1.180
32.000,91.393,1.198
32.500,91.911,1.195
33.000,92.390,1.130
33.500,92.941,1.129
34.000,93.472,1.023
34.500,94.008,1.034
35.000,94.544,0.951
35.500,95.069,0.897
36.000,95.590,0.787
36.500,96.133,0.755
37.000,96.638,0.717
37.500,97.196,0.721
38.000,97.765,0.711
38.500,98.286,0.699
39.000,98.850,0.697
39.500,99.361,0.685
40.000,99.908,0.656
40.500,100.474,0.608
41.000,101.035,0.556
41.500,101.561,0.610
42.000,102.107,0.557
42.500,102.637,0.582
43.000,103.204,0.597
43.500,103.757,0.614
44.000,104.290,0.646
44.500,104.818,0.652
45.000,105.370,0.654
45.500,105.925,0.650
46.000,106.447,0.632
46.500,106.979,0.646
47.000,107.553,0.612
47.500,108.100,0.528
48.000,108.646,0.532
48.500,109.224,0.460
49.000,109.730,0.463
49.500,110.293,0.448
50.000,110.851,0.421
50.500,111.368,0.397
51.000,111.946,0.403
51.500,112.471,0.398
52.000,113.031,0.358
52.500,113.591,0.359
53.000,114.122,0.355
53.500,114.700,0.364
54.000,115.234,0.383
54.500,115.778,0.396
55.000,116.347,0.423
55.500,116.891,0.448
56.000,117.406,0.432
56.500,117.984,0.403
57.000,118.489,0.437
57.500,119.058,0.426
58.000,119.589,0.419
58.500,120.131,0.413
59.000,120.662,0.383
59.500,121.232,0.345
60.000,121.767,0.356
60.500,122.289,0.340
61.000,122.834,0.366
61.500,123.408,0.321
62.000,123.934,0.377
62.500,124.502,0.373
63.000,125.011,0.374
63.500,125.548,0.388
64.000,126.107,0.445
64.500,126.623,0.483
65.000,127.149,0.496
65.500,127.688,0.488
66.000,128.214,0.523
66.500,128.753,0.499
67.000,129.295,0.457
67.500,129.819,0.400
68.000,130.368,0.425
68.500,130.884,0.387
69.000,131.421,0.391
69.500,131.934,0.374
70.000,132.495,0.402
70.500,132.996,0.374
71.000,133.534,0.415
71.500,134.075,0.418
72.000,134.595,0.373
72.500,135.155,0.335
73.000,135.665,0.345
73.500,136.242,0.361
74.000,136.759,0.416
74.500,137.269,0.477
75.000,137.822,0.441
75.500,138.330,0.514
76.000,138.887,0.541
76.500,139.378,0.558
77.000,139.886,0.580
77.500,140.439,0.497
78.000,140.940,0.503
78.500,141.464,0.514
79.000,141.995,0.529
79.500,142.550,0.555
80.000,143.044,0.576
80.500,143.550,0.579
81.000,144.121,0.628
81.500,144.620,0.578
82.000,145.129,0.589
82.500,145.642,0.608
83.000,146.167,0.619
83.500,146.686,0.635
84.000,147.216,0.662
84.500,147.726,0.670
85.000,148.221,0.670
85.500,148.757,0.654
86.000,149.286,0.672
86.500,149.822,0.663
87.000,150.337,0.672
87.500,150.851,0.674
88.000,151.344,0.610
88.500,151.867,0.634
89.000,152.392,0.646
89.500,152.897,0.629
90.000,153.459,0.668
90.500,153.911,0.708
91.000,154.439,0.714
91.500,154.969,0.708
92.000,155.528,0.735
92.500,155.992,0.756
93.000,156.534,0.838
93.500,157.047,0.782
94.000,157.548,0.813
94.500,158.079,0.861
95.000,158.571,0.825
95.500,159.103,0.840
96.000,159.601,0.853
96.500,160.105,0.873
97.000,160.658,0.871
97.500,161.177,0.907
98.000,161.679,0.889
98.500,162.206,0.957
99.000,162.688,1.022
99.500,163.227,1.072
100.000,163.744,1.147
100.500,164.236,1.242
101.000,164.758,1.333
101.500,165.247,1.323
102.000,165.774,1.398
102.500,166.262,1.399
103.000,166.752,1.426
103.500,167.291,1.453
104.000,167.783,1.489
104.500,168.315,1.512
105.000,168.828,1.556
105.500,169.349,1.564
106.000,169.865,1.551
106.500,170.369,1.558
107.000,170.870,1.627
107.500,171.368,1.654
108.000,171.882,1.739
108.500,172.385,1.763
109.000,172.918,1.817
109.500,173.405,1.860
110.000,173.912,1.910
110.500,174.418,1.986
111.000,174.936,2.005
111.500,175.462,1.965
112.000,175.955,2.047
112.500,176.472,2.059
113.000,176.992,2.081
113.500,177.522,2.162
114.000,177.992,2.219
114.500,178.501,2.238
115.000,179.038,2.308
115.500,179.501,2.345
116.000,180.023,2.348
116.500,180.545,2.332
117.000,181.046,2.312
117.500,181.569,2.355
118.000,182.092,2.460
118.500,182.629,2.500
119.000,183.138,2.559
119.500,183.626,2.611
120.000,184.133,2.691
120.500,184.637,2.736
121.000,185.145,2.776
121.500,185.656,2.865
122.000,186.133,2.912
122.500,186.669,2.985
123.000,187.198,3.029
123.500,187.695,3.033
124.000,188.211,3.119
124.500,188.715,3.133
125.000,189.224,3.194
125.500,189.717,3.230
126.000,190.234,3.283
126.500,190.748,3.360
127.000,191.255,3.413
127.500,191.738,3.444
128.000,192.275,3.537
128.500,192.752,3.611
129.000,193.265,3.634
129.500,193.769,3.670
130.000,194.280,3.713
130.500,194.804,3.755
131.000,195.290,3.844
131.500,195.809,3.903
132.000,196.362,3.953
132.500,196.871,4.039
133.000,197.349,4.114
133.500,197.866,4.160
134.000,198.379,4.271
134.500,198.890,4.319
135.000,199.374,4.437
135.500,199.888,4.500
136.000,200.412,4.569
136.500,200.904,4.684
137.000,201.455,4.723
137.500,201.941,4.779
138.000,202.436,4.867
138.500,202.985,4.933
139.000,203.479,4.970
139.500,203.971,5.056
140.000,204.506,5.119
140.500,204.998,5.226
141.000,205.512,5.370
141.500,205.994,5.462
142.000,206.508,5.590
142.500,207.006,5.711
143.000,207.496,5.791
143.500,208.035,5.851
144.000,208.533,5.958
144.500,209.029,6.036
145.000,209.554,6.128
145.500,210.084,6.225
146.000,210.578,6.283
146.500,211.077,6.384
147.000,211.553,6.479
147.500,212.062,6.614
148.000,212.576,6.645
148.500,213.056,6.766
149.000,213.583,6.953
149.500,214.076,7.050
150.000,214.572,7.112
150.500,215.054,7.258
151.000,215.595,7.418
151.500,216.124,7.542
152.000,216.621,7.666
152.500,217.122,7.783
153.000,217.653,7.907
153.500,218.153,8.026
154.000,218.632,8.105
154.500,219.128,8.180
155.000,219.669,8.267
155.500,220.153,8.410
156.000,220.658,8.557
156.500,221.175,8.639
157.000,221.661,8.765
157.500,222.178,8.918
158.000,222.647,9.108
158.500,223.154,9.236
159.000,223.702,9.342
159.500,224.190,9.514
160.000,224.726,9.688
160.500,225.206,9.772
161.000,225.737,9.893
161.500,226.246,9.974
162.000,226.700,10.157
162.500,227.211,10.275
163.000,227.747,10.398
163.500,228.221,10.537
164.000,228.737,10.663
164.500,229.233,10.828
165.000,229.749,10.960
165.500,230.236,11.149
166.000,230.738,11.325
166.500,231.248,11.417
167.000,231.732,11.570
167.500,232.245,11.739
168.000,232.758,11.891
168.500,233.257,12.004
169.000,233.744,12.090
169.500,234.248,12.226
170.000,234.731,12.361
170.500,235.254,12.522
171.000,235.744,12.607
171.500,236.255,12.732
172.000,236.758,12.850
172.500,237.289,12.953
173.000,237.766,13.077
173.500,238.284,13.253
174.000,238.765,13.384
174.500,239.281,13.501
175.000,239.788,13.621
175.500,240.280,13.734
176.000,240.791,13.857
176.500,241.316,13.954
177.000,241.790,14.044
177.500,242.291,14.169
178.000,242.807,14.315
178.500,243.312,14.364
179.000,243.803,14.514
179.500,244.323,14.605
180.000,244.786,14.596
180.500,245.352,14.704
181.000,245.852,14.778
181.500,246.310,14.826
182.000,246.846,14.895
182.500,247.317,14.982
183.000,247.840,15.041
183.500,248.320,15.175
184.000,248.844,15.269
184.500,249.322,15.319
185.000,249.841,15.422
185.500,250.316,15.483
186.000,250.837,15.533
186.500,251.360,15.579
187.000,251.845,15.670
187.500,252.349,15.710
188.000,252.856,15.812
188.500,253.358,15.828
189.000,253.882,15.875
189.500,254.384,15.917
190.000,254.841,15.962
190.500,255.345,15.954
