Time (s),Temperature (C),HRR (W/g)
0,74.757,-0.700
0.5,74.766,-1.006
1,74.771,-1.475
1.5,74.766,-2.048
2,74.823,-2.727
2.5,74.814,-3.305
3,74.861,-3.736
3.5,74.904,-3.922
4,74.936,-4.017
4.5,75.015,-3.974
5,75.05,-3.913
5.5,75.085,-3.808
6,75.195,-3.596
6.5,75.238,-3.446
7,75.312,-3.134
7.5,75.465,-2.682
8,75.53,-2.194
8.5,75.62,-1.457
9,75.733,-0.715
9.5,75.853,0.026
10,75.969,0.691
10.5,76.094,1.305
11,76.227,1.758
11.5,76.359,2.045
12,76.531,2.356
12.5,76.68,2.583
13,76.828,2.637
13.5,77.048,2.724
14,77.219,2.786
14.5,77.464,2.755
15,77.658,2.736
15.5,77.889,2.692
16,78.201,2.617
16.5,78.461,2.510
17,78.727,2.405
17.5,79.054,2.375
18,79.384,2.271
18.5,79.69,2.135
19,80.083,2.040
19.5,80.397,1.964
20,80.758,1.916
20.5,81.146,1.854
21,81.527,1.744
21.5,81.893,1.752
22,82.322,1.714
22.5,82.733,1.624
23,83.169,1.499
23.5,83.584,1.474
24,83.993,1.388
24.5,84.445,1.366
25,84.916,1.281
25.5,85.349,1.290
26,85.823,1.280
26.5,86.306,1.217
27,86.733,1.150
27.5,87.221,1.112
28,87.697,1.066
28.5,88.159,1.001
29,88.617,0.979
29.5,89.13,0.933
30,89.652,0.862
30.5,90.136,0.822
31,90.643,0.765
31.5,91.175,0.741
32,91.683,0.689
32.5,92.156,0.653
33,92.689,0.617
33.5,93.207,0.615
34,93.723,0.590
34.5,94.26,0.565
35,94.749,0.595
35.5,95.317,0.590
36,95.827,0.570
36.5,96.373,0.555
37,96.903,0.547
37.5,97.43,0.506
38,97.96,0.477
38.5,98.505,0.434
39,99.038,0.429
39.5,99.55,0.410
40,100.106,0.410
40.5,100.643,0.399
41,101.189,0.396
41.5,101.737,0.361
42,102.264,0.319
42.5,102.801,0.291
43,103.37,0.295
43.5,103.899,0.244
44,104.45,0.301
44.5,104.983,0.243
45,105.538,0.274
45.5,106.089,0.243
46,106.635,0.279
46.5,107.156,0.254
47,107.743,0.223
47.5,108.267,0.263
48,108.781,0.319
48.5,109.37,0.206
49,109.906,0.236
49.5,110.441,0.214
50,110.991,0.168
50.5,111.528,0.188
51,112.083,0.169
51.5,112.59,0.205
52,113.14,0.140
52.5,113.713,0.153
53,114.245,0.109
53.5,114.797,0.127
54,115.353,0.082
54.5,115.875,0.100
55,116.439,0.069
