File Name:	PS-FAA_N2_60K_20251209.txt	Version: 8.4.0.5						
Date:	09 Dec 2025							
Operator:	De Lannoye							
Test ID:	PS-FAA_N2_60K_20251209							
Sample ID:	PS-FAA							
Sample Mass (mg):	3.5540							
Sample Cup Mass (mg):	173.3800							
End Total Mass (mg):								
Heating Rate (C/s):	1.0000							
Combuster Temperature (C):	900.0							
N2 Flow Rate (cc/min):	80.0							
O2 Flow Rate (cc/min):	20.0							
Calibration File:	Coeff_60K_20250923.txt							
T Correction Coefficients:	-0.805800000	0.008400000	0.000000000					
Time Shift (s):	15.0							
Pre-Test Comments:	First test of the day. 							
Post-Test Comments:								
Baseline Flow:	99.958							
Baseline O2:	19.861							
Instrument ID:								
@								
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	Total Flow (cc/min)	Oxygen (%) (P)	HRR (W/g)	Heating Rate (C/s)	Combustor Temp (C)
0.000	75.282	80.017	19.995	99.958	19.794	-8.882	0.017	900.759
0.500	75.302	80.018	19.994	99.949	19.778	-9.252	0.047	900.788
1.000	75.289	80.017	19.994	99.943	19.765	-10.425	0.007	900.790
1.500	75.305	80.019	19.993	99.970	19.756	-12.320	0.003	900.788
2.000	75.300	80.019	19.994	100.049	19.747	-14.265	0.011	900.771
2.500	75.324	80.021	19.995	100.170	19.739	-16.077	0.019	900.826
3.000	75.385	80.020	19.994	100.322	19.732	-17.123	0.085	900.810
3.500	75.397	80.020	19.994	100.486	19.728	-17.673	0.073	900.846
4.000	75.415	80.016	19.995	100.630	19.725	-17.597	0.030	900.827
4.500	75.484	80.021	19.995	100.729	19.722	-16.953	0.087	900.833
5.000	75.524	80.018	19.995	100.792	19.720	-16.314	0.108	900.884
5.500	75.582	80.019	19.995	100.834	19.720	-15.753	0.098	900.855
6.000	75.655	80.018	19.994	100.861	19.719	-15.013	0.131	900.858
6.500	75.734	80.020	19.993	100.880	19.717	-14.257	0.151	900.882
7.000	75.822	80.020	19.995	100.893	19.714	-13.364	0.167	900.879
7.500	75.899	80.019	19.993	100.901	19.709	-12.362	0.165	900.892
8.000	75.982	80.020	19.994	100.903	19.698	-10.786	0.160	900.917
8.500	76.101	80.020	19.994	100.904	19.680	-8.637	0.203	900.911
9.000	76.202	80.020	19.994	100.904	19.659	-6.190	0.220	900.944
9.500	76.313	80.018	19.994	100.903	19.635	-3.607	0.212	900.934
10.000	76.422	80.021	19.995	100.904	19.612	-0.965	0.220	900.927
10.500	76.523	80.020	19.993	100.903	19.592	1.398	0.210	900.957
11.000	76.690	80.022	19.994	100.904	19.576	3.313	0.268	900.905
11.500	76.759	80.021	19.995	100.905	19.564	4.925	0.235	900.971
12.000	76.899	80.021	19.994	100.924	19.556	6.095	0.209	901.010
12.500	77.029	80.018	19.995	100.994	19.552	6.952	0.271	900.981
13.000	77.258	80.020	19.995	101.124	19.551	7.445	0.359	900.973
13.500	77.410	80.019	19.995	101.299	19.553	7.689	0.381	901.002
14.000	77.621	80.020	19.994	101.501	19.554	8.051	0.363	900.987
14.500	77.804	80.020	19.995	101.688	19.557	8.133	0.393	901.041
15.000	78.057	80.018	19.996	101.821	19.563	8.085	0.436	901.009
15.500	78.335	80.020	19.993	101.888	19.571	7.754	0.532	901.049
16.000	78.570	80.019	19.994	101.907	19.575	7.683	0.512	900.996
16.500	78.875	80.016	19.994	101.892	19.582	7.443	0.539	901.048
17.000	79.132	80.019	19.993	101.865	19.588	7.293	0.562	901.066
17.500	79.434	80.020	19.993	101.828	19.593	7.181	0.559	901.049
18.000	79.748	80.020	19.994	101.793	19.599	6.956	0.616	901.052
18.500	80.069	80.019	19.994	101.752	19.607	6.647	0.636	901.060
19.000	80.430	80.021	19.994	101.711	19.613	6.496	0.682	901.078
19.500	80.753	80.021	19.993	101.675	19.620	6.171	0.683	901.061
20.000	81.108	80.020	19.995	101.642	19.626	5.861	0.677	901.076
20.500	81.486	80.022	19.995	101.605	19.632	5.632	0.734	901.128
21.000	81.875	80.021	19.996	101.570	19.636	5.505	0.767	901.095
21.500	82.272	80.020	19.995	101.535	19.642	5.207	0.786	901.127
22.000	82.688	80.019	19.995	101.499	19.649	4.779	0.813	901.116
22.500	83.065	80.020	19.995	101.463	19.652	4.677	0.792	901.099
23.000	83.499	80.018	19.995	101.428	19.657	4.486	0.811	901.144
23.500	83.918	80.021	19.994	101.394	19.664	4.067	0.853	901.126
24.000	84.357	80.020	19.995	101.361	19.666	4.004	0.859	901.149
24.500	84.804	80.024	19.993	101.331	19.671	3.685	0.887	901.167
25.000	85.267	80.022	19.994	101.303	19.676	3.394	0.910	901.192
25.500	85.702	80.021	19.993	101.279	19.680	3.274	0.898	901.195
26.000	86.171	80.019	19.994	101.253	19.683	3.064	0.904	901.243
26.500	86.613	80.017	19.994	101.225	19.687	2.866	0.910	901.223
27.000	87.111	80.019	19.994	101.198	19.692	2.548	0.940	901.175
27.500	87.612	80.021	19.993	101.172	19.694	2.559	1.000	901.257
28.000	88.109	80.021	19.994	101.151	19.697	2.367	0.999	901.265
28.500	88.575	80.015	19.994	101.132	19.701	2.131	0.963	901.242
29.000	89.060	80.018	19.995	101.113	19.705	1.921	0.950	901.244
29.500	89.565	80.020	19.993	101.089	19.708	1.742	0.990	901.240
30.000	90.058	80.018	19.993	101.066	19.709	1.619	0.999	901.270
30.500	90.566	80.020	19.992	101.042	19.711	1.358	1.001	901.269
31.000	91.123	80.016	19.994	101.020	19.713	1.228	1.064	901.267
31.500	91.587	80.019	19.993	101.000	19.717	0.939	1.020	901.294
32.000	92.131	80.018	19.994	100.983	19.719	0.785	1.007	901.305
32.500	92.601	80.019	19.995	100.971	19.723	0.442	1.015	901.326
33.000	93.152	80.019	19.993	100.952	19.723	0.558	1.022	901.319
33.500	93.687	80.020	19.995	100.936	19.727	0.439	1.086	901.342
34.000	94.210	80.020	19.995	100.923	19.728	0.383	1.057	901.353
34.500	94.742	80.019	19.993	100.913	19.730	0.320	1.055	901.333
35.000	95.255	80.018	19.994	100.899	19.733	0.191	1.044	901.349
35.500	95.791	80.019	19.994	100.890	19.735	0.112	1.049	901.374
36.000	96.318	80.020	19.992	100.878	19.738	-0.046	1.063	901.381
36.500	96.848	80.020	19.994	100.869	19.738	0.070	1.056	901.392
37.000	97.391	80.018	19.993	100.862	19.741	-0.002	1.073	901.376
37.500	97.943	80.016	19.995	100.851	19.742	0.021	1.095	901.399
38.000	98.465	80.015	19.995	100.842	19.745	-0.192	1.074	901.411
38.500	99.026	80.018	19.994	100.836	19.746	-0.197	1.083	901.384
39.000	99.551	80.018	19.994	100.828	19.747	-0.241	1.088	901.400
39.500	100.113	80.019	19.994	100.818	19.748	-0.334	1.088	901.408
