Time (s),Temperature (K),Mass (mg),Heat Flow Rate (W/g)
0,303,4.846,-0.0003
17.448,303.5,4.8462,0.0197
29.71,304,4.8459,0.0467
35.049,304.5,4.8462,0.0710
39.33,305,4.8451,0.0927
43.05,305.5,4.8447,0.1125
46.418,306,4.8461,0.1306
49.54,306.5,4.8469,0.1472
52.485,307,4.8471,0.1621
55.298,307.5,4.8459,0.1762
58.008,308,4.8467,0.1889
60.642,308.5,4.8468,0.2003
63.214,309,4.8466,0.2107
65.738,309.5,4.846,0.2202
68.227,310,4.8458,0.2286
70.691,310.5,4.8465,0.2362
73.136,311,4.8461,0.2431
75.567,311.5,4.8458,0.2494
77.992,312,4.8451,0.2547
80.417,312.5,4.8459,0.2592
82.841,313,4.8477,0.2629
85.269,313.5,4.8484,0.2661
87.706,314,4.8483,0.2689
90.151,314.5,4.8484,0.2711
92.609,315,4.8488,0.2728
95.081,315.5,4.8482,0.2739
97.568,316,4.8468,0.2748
100.07,316.5,4.846,0.2754
102.59,317,4.845,0.2757
105.13,317.5,4.8445,0.2759
107.69,318,4.8446,0.2758
110.26,318.5,4.8449,0.2753
112.85,319,4.8448,0.2749
115.46,319.5,4.8446,0.2740
118.08,320,4.8448,0.2735
120.72,320.5,4.8456,0.2728
123.37,321,4.846,0.2723
126.02,321.5,4.8471,0.2718
128.69,322,4.8465,0.2713
131.37,322.5,4.8461,0.2710
134.05,323,4.8465,0.2708
136.74,323.5,4.8463,0.2705
139.44,324,4.8461,0.2705
142.14,324.5,4.8452,0.2704
144.85,325,4.8447,0.2704
147.56,325.5,4.8455,0.2708
150.27,326,4.846,0.2710
152.99,326.5,4.8459,0.2713
155.7,327,4.845,0.2718
158.42,327.5,4.8446,0.2723
161.13,328,4.8456,0.2730
163.85,328.5,4.8453,0.2737
166.57,329,4.8447,0.2744
169.29,329.5,4.8445,0.2752
172.01,330,4.8451,0.2760
174.73,330.5,4.8449,0.2767
177.46,331,4.8456,0.2773
180.18,331.5,4.8454,0.2783
182.91,332,4.8457,0.2790
185.64,332.5,4.8451,0.2798
188.37,333,4.8448,0.2806
191.1,333.5,4.8447,0.2816
193.84,334,4.8438,0.2822
196.57,334.5,4.8443,0.2829
199.32,335,4.8456,0.2837
202.06,335.5,4.846,0.2844
204.81,336,4.8459,0.2852
207.56,336.5,4.8459,0.2856
210.32,337,4.846,0.2862
213.09,337.5,4.846,0.2869
215.85,338,4.845,0.2875
218.63,338.5,4.8446,0.2882
221.4,339,4.8444,0.2889
224.19,339.5,4.8436,0.2894
226.98,340,4.8443,0.2899
229.78,340.5,4.844,0.2904
232.58,341,4.8446,0.2912
235.39,341.5,4.8448,0.2917
238.21,342,4.8447,0.2924
241.03,342.5,4.8447,0.2930
243.85,343,4.8437,0.2935
246.69,343.5,4.8425,0.2941
249.53,344,4.8429,0.2946
252.37,344.5,4.8433,0.2953
255.23,345,4.844,0.2958
258.08,345.5,4.8434,0.2964
260.95,346,4.843,0.2971
263.82,346.5,4.843,0.2979
266.69,347,4.843,0.2985
269.57,347.5,4.843,0.2988
272.46,348,4.8431,0.2995
275.35,348.5,4.8423,0.3001
278.25,349,4.8417,0.3008
281.15,349.5,4.8416,0.3014
284.05,350,4.8407,0.3018
286.96,350.5,4.8394,0.3023
289.88,351,4.8399,0.3030
292.79,351.5,4.8415,0.3031
295.72,352,4.8423,0.3034
298.65,352.5,4.8413,0.3040
301.58,353,4.8409,0.3043
304.52,353.5,4.8409,0.3048
307.45,354,4.8409,0.3049
310.4,354.5,4.8409,0.3052
313.34,355,4.8401,0.3057
316.29,355.5,4.8396,0.3061
319.24,356,4.8395,0.3063
322.19,356.5,4.8386,0.3064
325.14,357,4.8382,0.3068
328.1,357.5,4.8382,0.3072
331.05,358,4.8372,0.3073
334.01,358.5,4.8368,0.3075
336.97,359,4.8359,0.3078
339.94,359.5,4.8355,0.3078
342.9,360,4.8346,0.3078
345.87,360.5,4.8351,0.3077
348.84,361,4.8355,0.3075
351.81,361.5,4.8346,0.3073
354.78,362,4.8353,0.3071
357.75,362.5,4.8365,0.3069
360.73,363,4.8369,0.3064
363.7,363.5,4.8364,0.3061
366.68,364,4.8357,0.3058
369.65,364.5,4.836,0.3054
372.63,365,4.8357,0.3049
375.61,365.5,4.8355,0.3043
378.59,366,4.8347,0.3040
381.57,366.5,4.8333,0.3034
384.55,367,4.8318,0.3029
387.54,367.5,4.832,0.3023
390.52,368,4.8327,0.3016
393.51,368.5,4.8328,0.3009
396.49,369,4.8328,0.3001
399.48,369.5,4.8328,0.2994
402.47,370,4.8328,0.2986
405.46,370.5,4.8328,0.2977
408.45,371,4.8333,0.2970
411.44,371.5,4.8332,0.2962
414.43,372,4.8329,0.2952
417.41,372.5,4.8328,0.2945
420.4,373,4.8328,0.2937
423.39,373.5,4.8322,0.2929
426.38,374,4.8316,0.2921
429.37,374.5,4.8324,0.2912
432.36,375,4.8323,0.2906
435.35,375.5,4.8319,0.2897
438.34,376,4.8325,0.2888
441.34,376.5,4.8319,0.2880
444.33,377,4.831,0.2875
447.33,377.5,4.8308,0.2866
450.32,378,4.8318,0.2859
453.32,378.5,4.8312,0.2850
456.32,379,4.8308,0.2842
459.31,379.5,4.8308,0.2834
462.31,380,4.8301,0.2825
465.3,380.5,4.8296,0.2818
468.3,381,4.8304,0.2808
471.3,381.5,4.8303,0.2801
474.3,382,4.8301,0.2792
477.3,382.5,4.8301,0.2785
480.31,383,4.8302,0.2782
483.31,383.5,4.8306,0.2777
486.31,384,4.8308,0.2769
489.32,384.5,4.8299,0.2767
492.32,385,4.8295,0.2764
495.33,385.5,4.8295,0.2758
498.33,386,4.8303,0.2756
501.33,386.5,4.8299,0.2753
504.34,387,4.8295,0.2750
507.34,387.5,4.8295,0.2745
510.34,388,4.8285,0.2742
513.34,388.5,4.8288,0.2743
