wavenumber (cm-1),reflectivity (-)
3997.99839,0.27109
3996.06978,0.27143
3994.14118,0.27177
3992.21257,0.27208
3990.28397,0.27242
3988.35536,0.27269
3986.42676,0.27293
3984.49815,0.27339
3982.56955,0.27398
3980.64094,0.27435
3978.71234,0.27451
3976.78373,0.27471
3974.85513,0.27511
3972.92652,0.27562
3970.99792,0.27609
3969.06931,0.27645
3967.14071,0.27682
3965.2121,0.27745
3963.28349,0.27823
3961.35489,0.27896
3959.42628,0.27964
3957.49768,0.28034
3955.56907,0.28105
3953.64047,0.28167
3951.71186,0.28217
3949.78326,0.28269
3947.85465,0.28346
3945.92605,0.28427
3943.99744,0.28485
3942.06884,0.28554
3940.14023,0.28648
3938.21163,0.28738
3936.28302,0.28808
3934.35442,0.28851
3932.42581,0.28893
3930.49721,0.28976
3928.5686,0.29069
3926.64,0.29126
3924.71139,0.29178
3922.78279,0.29256
3920.85418,0.29333
3918.92558,0.29392
3916.99697,0.29459
3915.06837,0.2955
3913.13976,0.29649
3911.21116,0.29732
3909.28255,0.29782
3907.35395,0.29777
3905.42534,0.29728
3903.49674,0.29706
3901.56813,0.29766
3899.63953,0.29878
3897.71092,0.29995
3895.78232,0.30081
3893.85371,0.30124
3891.92511,0.30173
3889.9965,0.3027
3888.0679,0.30337
3886.13929,0.30347
3884.21069,0.30364
3882.28208,0.30392
3880.35348,0.30442
3878.42487,0.30543
3876.49627,0.3061
3874.56766,0.30606
3872.63905,0.30563
3870.71045,0.30539
3868.78184,0.30622
3866.85324,0.30758
3864.92463,0.30864
3862.99603,0.30973
3861.06742,0.31088
3859.13882,0.31167
3857.21021,0.31187
3855.28161,0.31131
3853.353,0.31077
3851.4244,0.31231
3849.49579,0.31439
3847.56719,0.31555
3845.63858,0.3158
3843.70998,0.3155
3841.78137,0.31495
3839.85277,0.31448
3837.92416,0.31479
3835.99556,0.3159
3834.06695,0.31683
3832.13835,0.31738
3830.20974,0.31767
3828.28114,0.31762
3826.35253,0.31733
3824.42393,0.31701
3822.49532,0.31628
3820.56672,0.31534
3818.63811,0.31514
3816.70951,0.31539
3814.7809,0.31606
