Time (s),Temperature (K),HRR (W/g)
102.278,439,-1.7483
102.768,439.5,-1.5193
103.245,440,-1.5305
103.714,440.5,-1.6604
104.201,441,-1.6213
104.716,441.5,-1.5370
105.205,442,-1.3476
105.685,442.5,-1.0531
106.176,443,-1.0286
106.668,443.5,-1.0862
107.170,444,-1.0847
107.645,444.5,-1.0245
108.133,445,-1.0591
108.642,445.5,-1.0735
109.130,446,-1.0621
109.614,446.5,-0.9730
110.126,447,-1.0236
110.626,447.5,-1.1182
111.089,448,-0.9473
111.602,448.5,-0.8432
112.100,449,-1.0067
112.571,449.5,-1.0001
113.043,450,-0.8640
113.530,450.5,-0.5833
114.033,451,-0.3390
114.550,451.5,-0.1555
115.036,452,-0.2303
115.475,452.5,-0.0012
115.986,453,0.0113
116.494,453.5,-0.0751
116.988,454,-0.1287
117.463,454.5,-0.3043
117.960,455,-0.3934
118.450,455.5,-0.4645
118.928,456,-0.6010
119.434,456.5,-0.2789
119.925,457,-0.0696
120.429,457.5,-0.1315
120.915,458,0.0472
121.427,458.5,0.1894
121.891,459,-0.0486
122.402,459.5,-0.2305
122.871,460,-0.0782
123.339,460.5,0.1952
123.833,461,0.4635
124.334,461.5,0.2497
124.827,462,0.3155
125.314,462.5,0.6387
125.805,463,0.6018
126.299,463.5,0.3769
126.779,464,0.2825
127.270,464.5,0.2172
127.773,465,0.3282
128.261,465.5,0.2426
128.743,466,0.0155
129.240,466.5,0.0239
129.733,467,-0.0336
130.232,467.5,-0.1915
130.726,468,-0.2101
131.192,468.5,-0.1101
131.686,469,0.1853
132.182,469.5,0.4932
132.663,470,0.6019
133.141,470.5,0.9567
133.641,471,1.2327
134.158,471.5,1.6737
134.628,472,1.5379
135.137,472.5,1.1966
135.626,473,1.2121
136.105,473.5,0.9238
136.588,474,0.7810
137.118,474.5,0.7229
137.607,475,0.6685
138.111,475.5,0.4510
138.580,476,0.4579
139.073,476.5,0.3929
139.551,477,0.4274
140.075,477.5,0.4304
140.550,478,0.5412
141.050,478.5,0.5219
141.544,479,0.5029
142.023,479.5,0.6305
142.498,480,0.6313
143.005,480.5,0.7641
143.500,481,0.7872
143.979,481.5,0.8906
144.459,482,0.9861
144.981,482.5,0.7691
145.449,483,0.7169
145.944,483.5,0.9114
146.441,484,1.1276
146.953,484.5,0.8359
147.447,485,0.8076
147.932,485.5,1.1101
148.467,486,1.2084
148.932,486.5,1.2394
149.428,487,0.9380
149.924,487.5,1.0437
150.418,488,1.3124
150.922,488.5,1.4860
151.414,489,1.4080
151.914,489.5,1.3900
152.404,490,1.4995
152.905,490.5,1.6823
153.413,491,1.8464
153.886,491.5,1.9048
154.376,492,2.0944
154.913,492.5,2.0704
155.396,493,2.1140
155.881,493.5,2.2509
156.378,494,2.3446
156.880,494.5,2.4113
157.362,495,2.3386
157.846,495.5,2.2440
158.341,496,2.3008
158.831,496.5,2.2429
159.352,497,2.1265
159.848,497.5,2.3510
160.338,498,2.2399
160.818,498.5,2.0948
161.328,499,2.0788
161.827,499.5,2.1819
162.323,500,2.3721
162.824,500.5,2.3318
163.325,501,2.2753
163.815,501.5,2.3697
164.318,502,2.5237
164.818,502.5,2.6447
165.286,503,2.7940
165.767,503.5,2.8278
166.280,504,2.7835
166.781,504.5,2.7054
167.259,505,2.7740
167.770,505.5,2.9122
168.277,506,2.9762
168.758,506.5,3.1456
169.266,507,3.1822
169.772,507.5,3.0301
170.262,508,3.1333
170.754,508.5,3.1484
171.259,509,2.9264
171.767,509.5,2.8528
172.263,510,2.7582
172.756,510.5,2.8033
173.250,511,3.1340
173.740,511.5,3.2479
174.239,512,3.2736
174.749,512.5,3.4911
175.227,513,3.6388
175.698,513.5,3.7524
176.235,514,3.7681
176.761,514.5,3.7449
177.234,515,3.7537
177.713,515.5,3.7110
178.208,516,3.5729
178.704,516.5,3.4844
179.193,517,3.6676
179.681,517.5,3.7712
