time,Temp,TGA
[s],[K],[mg]
469.9,457,3.9139
471.3,457.5,3.9139
472.7,458,3.9128
474.1,458.5,3.9125
475.5,459,3.9108
476.9,459.5,3.9086
478.3,460,3.9086
479.7,460.5,3.9077
481.1,461,3.9072
482.5,461.5,3.9058
483.9,462,3.9056
485.3,462.5,3.9046
486.7,463,3.9031
488.1,463.5,3.9022
489.5,464,3.9018
490.9,464.5,3.9004
492.3,465,3.8995
493.7,465.5,3.8991
495.1,466,3.8975
496.5,466.5,3.8956
497.9,467,3.8939
499.3,467.5,3.8933
500.7,468,3.8924
502.1,468.5,3.892
503.5,469,3.8909
504.9,469.5,3.8908
506.3,470,3.8889
507.7,470.5,3.8868
509.1,471,3.8855
510.5,471.5,3.8846
511.9,472,3.883
513.3,472.5,3.883
514.7,473,3.8818
516.1,473.5,3.8816
517.5,474,3.8805
518.9,474.5,3.8798
520.3,475,3.8798
521.7,475.5,3.8784
523.1,476,3.8779
524.5,476.5,3.8757
525.9,477,3.8741
527.3,477.5,3.8743
528.7,478,3.8729
530.1,478.5,3.8718
531.5,479,3.8713
532.9,479.5,3.8702
534.3,480,3.8686
535.7,480.5,3.8679
537.1,481,3.8664
538.5,481.5,3.8654
539.9,482,3.8651
541.3,482.5,3.864
542.7,483,3.8635
544.1,483.5,3.8621
545.5,484,3.8618
546.9,484.5,3.8598
548.3,485,3.8596
549.7,485.5,3.8582
551.1,486,3.8583
552.5,486.5,3.8569
553.9,487,3.8568
555.3,487.5,3.8555
556.7,488,3.8539
558.1,488.5,3.8529
559.5,489,3.8526
560.8,489.5,3.8511
562.3,490,3.8507
563.7,490.5,3.8497
565.1,491,3.8489
566.4,491.5,3.8483
567.8,492,3.8483
569.2,492.5,3.847
570.6,493,3.8466
572,493.5,3.8457
573.4,494,3.8442
574.8,494.5,3.8434
576.2,495,3.842
577.6,495.5,3.8406
579,496,3.8392
580.4,496.5,3.8386
581.8,497,3.8369
583.2,497.5,3.8366
584.6,498,3.8366
586,498.5,3.8352
587.4,499,3.8349
588.8,499.5,3.8339
590.2,500,3.8335
591.6,500.5,3.8324
593,501,3.831
594.4,501.5,3.8311
595.8,502,3.8301
597.2,502.5,3.8298
598.6,503,3.8288
600,503.5,3.8285
601.4,504,3.8278
602.8,504.5,3.8272
604.2,505,3.8265
605.6,505.5,3.8252
607,506,3.8252
608.4,506.5,3.8246
609.8,507,3.8239
611.2,507.5,3.8239
612.6,508,3.8232
614,508.5,3.8232
615.4,509,3.8221
616.8,509.5,3.8219
618.1,510,3.8219
619.5,510.5,3.8219
620.9,511,3.8219
622.3,511.5,3.8219
623.7,512,3.8219
625.1,512.5,3.8219
626.5,513,3.8219
627.9,513.5,3.8214
629.3,514,3.8206
630.7,514.5,3.8206
632.1,515,3.8206
633.5,515.5,3.8204
634.9,516,3.8193
636.3,516.5,3.8188
637.7,517,3.8183
639.1,517.5,3.8183
640.5,518,3.8183
641.9,518.5,3.8183
643.3,519,3.8183
644.7,519.5,3.8183
646.1,520,3.8183
647.5,520.5,3.8182
648.9,521,3.8173
650.3,521.5,3.817
651.6,522,3.817
653,522.5,3.817
654.4,523,3.817
655.8,523.5,3.8156
657.2,524,3.8156
658.6,524.5,3.8156
660,525,3.8156
661.4,525.5,3.8156
662.8,526,3.8156
664.2,526.5,3.8156
665.6,527,3.8156
667,527.5,3.8156
668.4,528,3.8156
669.8,528.5,3.8153
671.2,529,3.815
672.6,529.5,3.814
673.9,530,3.814
675.3,530.5,3.814
676.7,531,3.814
678.1,531.5,3.814
679.5,532,3.8119
680.9,532.5,3.8114
682.3,533,3.8114
683.7,533.5,3.8114
685.1,534,3.8114
686.5,534.5,3.8114
687.9,535,3.8114
689.3,535.5,3.8114
690.7,536,3.8114
692.1,536.5,3.8113
693.5,537,3.8106
694.9,537.5,3.8101
696.3,538,3.8091
697.7,538.5,3.8087
699.1,539,3.8087
700.4,539.5,3.8087
701.9,540,3.8087
703.3,540.5,3.8087
704.7,541,3.8074
706.1,541.5,3.8061
707.5,542,3.8061
708.8,542.5,3.8061
710.2,543,3.8061
711.6,543.5,3.8061
713,544,3.8047
714.4,544.5,3.8048
715.8,545,3.8048
717.2,545.5,3.8048
718.6,546,3.8044
720,546.5,3.8034
721.4,547,3.8032
722.8,547.5,3.802
724.2,548,3.802
725.6,548.5,3.802
727,549,3.8014
728.4,549.5,3.8007
729.8,550,3.8005
731.2,550.5,3.7994
732.6,551,3.7994
734,551.5,3.7995
735.4,552,3.7981
736.8,552.5,3.7981
738.2,553,3.7981
739.6,553.5,3.7967
741,554,3.7968
742.4,554.5,3.7955
743.8,555,3.7956
745.2,555.5,3.7945
