Temp,time,TGA,DSC,Sensitivity,Heating Rate,Heat Capacity
[K],[s],[mg],[uV/mg],[mW/uV],[K/s],[J/g/K]
321.9,0.0,3.9505,9.63E-04,2.36,0.005,0.46
322.0,20.2,3.9488,9.76E-03,1.33,0.008,1.64
322.1,25.2,3.9488,1.75E-02,2.86,0.024,2.07
322.2,28.5,3.9495,2.21E-02,2.27,0.034,1.46
322.3,31.0,3.9494,3.03E-02,2.06,0.043,1.47
322.4,33.2,3.9499,3.53E-02,2.13,0.050,1.51
322.5,35.0,3.9492,4.18E-02,2.12,0.057,1.56
322.6,36.7,3.9487,4.66E-02,2.01,0.063,1.49
322.7,38.2,3.9480,5.48E-02,1.99,0.069,1.59
322.8,39.6,3.9474,5.96E-02,1.93,0.074,1.55
322.9,40.9,3.9471,6.75E-02,1.83,0.079,1.58
323.0,42.1,3.9482,7.24E-02,1.79,0.084,1.55
323.1,43.3,3.9490,7.94E-02,1.76,0.088,1.59
323.2,44.4,3.9501,8.30E-02,1.74,0.092,1.57
323.3,45.5,3.9502,8.60E-02,1.71,0.096,1.53
323.4,46.5,3.9502,9.15E-02,1.68,0.101,1.52
323.5,47.4,3.9501,9.65E-02,1.64,0.106,1.50
323.6,48.4,3.9504,0.1011,1.64,0.108,1.53
323.7,49.3,3.9503,0.10697,1.63,0.111,1.57
323.8,50.2,3.9498,0.11175,1.59,0.117,1.51
323.9,51.0,3.9490,0.11767,1.57,0.122,1.51
324.0,51.8,3.9492,0.1208,1.53,0.123,1.50
324.1,52.6,3.9486,0.12539,1.50,0.124,1.52
324.2,53.4,3.9481,0.13139,1.49,0.126,1.55
324.3,54.2,3.9485,0.13252,1.49,0.128,1.54
324.4,55.0,3.9482,0.1401,1.49,0.131,1.59
324.5,55.7,3.9486,0.1427,1.46,0.134,1.55
324.6,56.5,3.9483,0.14627,1.45,0.138,1.54
324.7,57.2,3.9483,0.15225,1.44,0.137,1.59
324.8,57.9,3.9480,0.15652,1.43,0.140,1.60
324.9,58.6,3.9480,0.15947,1.41,0.147,1.53
325.0,59.3,3.9477,0.1615,1.41,0.151,1.50
325.1,59.9,3.9475,0.16526,1.40,0.154,1.50
325.2,60.6,3.9474,0.1719,1.40,0.156,1.54
325.3,61.2,3.9472,0.17342,1.38,0.159,1.50
325.4,61.8,3.9478,0.17696,1.37,0.162,1.50
325.5,62.4,3.9480,0.18232,1.36,0.163,1.51
325.6,63.1,3.9488,0.18496,1.34,0.163,1.51
325.7,63.7,3.9488,0.19071,1.33,0.166,1.54
325.8,64.3,3.9489,0.19314,1.33,0.169,1.53
325.9,64.9,3.9488,0.19501,1.33,0.170,1.53
326.0,65.4,3.9488,0.20089,1.32,0.171,1.55
326.1,66.0,3.9486,0.20314,1.31,0.174,1.53
326.2,66.6,3.9488,0.20594,1.29,0.175,1.52
326.3,67.2,3.9491,0.2088,1.29,0.177,1.52
326.4,67.7,3.9498,0.21329,1.29,0.180,1.53
326.5,68.3,3.9497,0.21661,1.27,0.182,1.51
326.6,68.8,3.9505,0.22009,1.26,0.184,1.51
326.7,69.4,3.9505,0.22269,1.27,0.186,1.52
326.8,69.9,3.9501,0.22393,1.27,0.189,1.50
326.9,70.4,3.9501,0.22747,1.26,0.190,1.51
327.0,70.9,3.9497,0.23209,1.24,0.191,1.51
327.1,71.5,3.9493,0.2332,1.24,0.194,1.48
327.2,72.0,3.9496,0.23473,1.24,0.195,1.50
327.3,72.5,3.9488,0.23892,1.24,0.195,1.52
327.4,73.0,3.9490,0.24299,1.22,0.197,1.51
327.5,73.5,3.9490,0.24708,1.22,0.201,1.51
327.6,74.0,3.9490,0.25039,1.22,0.202,1.51
327.7,74.5,3.9496,0.2518,1.21,0.203,1.50
327.8,75.0,3.9494,0.2531,1.20,0.204,1.50
327.9,75.5,3.9491,0.25609,1.21,0.206,1.50
328.0,76.0,3.9497,0.25845,1.21,0.208,1.50
328.1,76.4,3.9494,0.26208,1.20,0.208,1.51
