Temp,time,TGA,DSC
[K],[s],[mg],[mW/mg]
323.4,0.0,3.9820,5.67E-03
323.5,31.6,3.9819,1.29E-02
323.6,41.6,3.9817,1.77E-02
323.7,48.6,3.9814,2.43E-02
323.8,54.2,3.9805,2.81E-02
323.9,59.1,3.9806,2.98E-02
324.0,63.5,3.9818,3.42E-02
324.1,67.6,3.9815,3.92E-02
324.2,71.4,3.9799,4.04E-02
324.3,75.0,3.9815,4.41E-02
324.4,78.4,3.9812,4.53E-02
324.5,81.7,3.9806,4.73E-02
324.6,84.9,3.9802,5.07E-02
324.7,87.9,3.9805,5.34E-02
324.8,90.9,3.9818,5.65E-02
324.9,93.8,3.9817,5.66E-02
325.0,96.7,3.9818,5.95E-02
325.1,99.5,3.9812,6.06E-02
325.2,102.2,3.9814,6.21E-02
325.3,104.9,3.9806,6.35E-02
325.4,107.6,3.9820,6.44E-02
325.5,110.2,3.9818,6.49E-02
325.6,112.7,3.9831,6.65E-02
325.7,115.3,3.9819,6.56E-02
325.8,117.8,3.9820,6.58E-02
325.9,120.3,3.9805,6.75E-02
326.0,122.8,3.9806,6.77E-02
326.1,125.2,3.9805,7.00E-02
326.2,127.7,3.9818,7.16E-02
326.3,130.1,3.9819,7.32E-02
326.4,132.5,3.9819,7.05E-02
326.5,134.9,3.9832,7.32E-02
326.6,137.2,3.9832,7.25E-02
326.7,139.6,3.9832,7.41E-02
326.8,142.0,3.9819,7.53E-02
326.9,144.3,3.9826,7.39E-02
327.0,146.7,3.9825,7.27E-02
327.1,149.0,3.9812,7.51E-02
327.2,151.3,3.9819,7.59E-02
327.3,153.7,3.9819,7.69E-02
327.4,156.0,3.9832,7.80E-02
327.5,158.3,3.9832,7.55E-02
327.6,160.6,3.9831,7.57E-02
327.7,162.9,3.9820,7.58E-02
327.8,165.2,3.9819,7.51E-02
327.9,167.5,3.9819,7.70E-02
328.0,169.7,3.9818,7.81E-02
328.1,172.0,3.9832,7.48E-02
328.2,174.3,3.9832,7.78E-02
328.3,176.6,3.9832,7.44E-02
328.4,178.9,3.9832,7.59E-02
328.5,181.1,3.9812,7.57E-02
328.6,183.3,3.9812,7.56E-02
328.7,185.6,3.9812,7.64E-02
328.8,187.8,3.9812,7.76E-02
328.9,190.1,3.9812,7.79E-02
329.0,192.3,3.9812,7.68E-02
329.1,194.5,3.9812,7.69E-02
329.2,196.7,3.9813,7.66E-02
329.3,199.0,3.9812,7.73E-02
329.4,201.2,3.9812,7.75E-02
329.5,203.4,3.9811,7.65E-02
329.6,205.6,3.9825,7.64E-02
329.7,207.8,3.9825,7.80E-02
329.8,210.0,3.9825,7.78E-02
329.9,212.2,3.9825,7.81E-02
330.0,214.3,3.9825,7.92E-02
330.1,216.5,3.9819,7.96E-02
330.2,218.7,3.9812,7.85E-02
330.3,220.8,3.9812,7.75E-02
330.4,223.0,3.9812,8.06E-02
330.5,225.2,3.9812,7.92E-02
