Temp,time,TGA,DSC,Sensitivity,Heating Rate,Heat Capacity
[K],[s],[mg],[uV/mg],[mW/uV],[K/s],[J/g/K]
332.3,93.7,3.9574,0.34101,1.082,0.251,1.47
332.4,94.1,3.9571,0.34285,1.082,0.253,1.47
332.5,94.5,3.9567,0.34591,1.076,0.255,1.46
332.6,94.9,3.9570,0.34758,1.072,0.255,1.46
332.7,95.3,3.9576,0.34702,1.074,0.256,1.46
332.8,95.7,3.9571,0.34835,1.071,0.258,1.45
332.9,96.1,3.9568,0.35084,1.058,0.258,1.44
333.0,96.5,3.9578,0.35274,1.047,0.258,1.43
333.1,96.9,3.9579,0.35506,1.043,0.259,1.43
333.2,97.3,3.9573,0.35749,1.043,0.260,1.44
333.3,97.6,3.9571,0.35924,1.049,0.261,1.45
333.4,98.0,3.9579,0.36074,1.063,0.262,1.46
333.5,98.4,3.9585,0.36237,1.069,0.262,1.48
333.6,98.8,3.9577,0.36412,1.062,0.263,1.47
333.7,99.2,3.9575,0.36562,1.058,0.264,1.46
333.8,99.5,3.9585,0.36677,1.059,0.266,1.46
333.9,99.9,3.9584,0.36787,1.056,0.268,1.45
334.0,100.3,3.9579,0.36889,1.054,0.268,1.45
334.1,100.7,3.9580,0.37016,1.057,0.268,1.46
334.2,101.0,3.9582,0.37285,1.062,0.269,1.47
334.3,101.4,3.9582,0.37577,1.059,0.269,1.48
334.4,101.8,3.9576,0.37708,1.052,0.269,1.47
334.5,102.1,3.9573,0.37866,1.053,0.271,1.47
334.6,102.5,3.9576,0.38094,1.056,0.272,1.48
334.7,102.9,3.9577,0.3817,1.051,0.272,1.47
334.8,103.3,3.9576,0.38247,1.044,0.272,1.47
334.9,103.6,3.9573,0.38499,1.043,0.272,1.48
335.0,104.0,3.9571,0.3866,1.043,0.273,1.48
335.1,104.4,3.9569,0.38708,1.042,0.274,1.47
335.2,104.7,3.9567,0.38875,1.041,0.275,1.47
335.3,105.1,3.9567,0.39056,1.040,0.276,1.47
335.4,105.4,3.9571,0.39146,1.041,0.277,1.47
335.5,105.8,3.9568,0.39305,1.039,0.278,1.47
335.6,106.2,3.9563,0.39538,1.036,0.278,1.47
335.7,106.5,3.9569,0.3972,1.038,0.276,1.49
335.8,106.9,3.9573,0.39863,1.040,0.275,1.51
335.9,107.2,3.9568,0.39989,1.035,0.276,1.50
336.0,107.6,3.9564,0.40035,1.029,0.278,1.48
336.1,108.0,3.9567,0.40054,1.027,0.278,1.48
336.2,108.3,3.9572,0.4017,1.027,0.278,1.48
336.3,108.7,3.9572,0.40354,1.025,0.279,1.48
336.4,109.0,3.9566,0.40525,1.023,0.279,1.48
336.5,109.4,3.9566,0.40613,1.027,0.280,1.49
336.6,109.8,3.9574,0.40678,1.027,0.281,1.49
336.7,110.1,3.9575,0.40854,1.018,0.283,1.47
336.8,110.5,3.9569,0.4113,1.014,0.282,1.48
336.9,110.8,3.9560,0.414,1.015,0.281,1.49
337.0,111.2,3.9559,0.41486,1.014,0.281,1.50
337.1,111.5,3.9567,0.4145,1.011,0.282,1.49
337.2,111.9,3.9572,0.4155,1.011,0.283,1.48
