time,Temp,Heat Flow Rate
[s],[K],[mW/mg]
31.6,323.5,1.29E-02
63.5,324,3.42E-02
81.7,324.5,4.73E-02
96.7,325,5.95E-02
110.2,325.5,6.49E-02
122.8,326,6.77E-02
134.9,326.5,7.32E-02
146.7,327,7.27E-02
158.3,327.5,7.55E-02
169.7,328,7.81E-02
181.1,328.5,7.57E-02
192.3,329,7.68E-02
203.4,329.5,7.65E-02
214.3,330,7.92E-02
225.2,330.5,7.92E-02
236,331,8.06E-02
246.8,331.5,7.97E-02
257.5,332,8.03E-02
268.2,332.5,8.18E-02
278.7,333,8.25E-02
289.2,333.5,8.54E-02
299.6,334,8.55E-02
309.9,334.5,8.91E-02
320.3,335,8.52E-02
330.6,335.5,8.56E-02
341,336,8.68E-02
351.4,336.5,8.68E-02
361.7,337,8.77E-02
371.9,337.5,8.67E-02
382.2,338,8.92E-02
392.4,338.5,8.93E-02
402.7,339,8.90E-02
413,339.5,8.92E-02
423.2,340,8.90E-02
433.4,340.5,8.92E-02
443.7,341,8.68E-02
453.9,341.5,9.01E-02
464,342,9.13E-02
474.2,342.5,8.83E-02
484.2,343,9.15E-02
494.3,343.5,9.05E-02
504.4,344,9.37E-02
514.5,344.5,9.43E-02
524.5,345,9.61E-02
534.6,345.5,9.49E-02
544.6,346,9.73E-02
554.7,346.5,9.34E-02
564.8,347,9.42E-02
574.8,347.5,9.18E-02
585,348,9.46E-02
595.1,348.5,9.27E-02
605.1,349,9.40E-02
615.2,349.5,9.22E-02
625.3,350,9.05E-02
635.3,350.5,9.26E-02
645.4,351,9.28E-02
655.4,351.5,9.11E-02
665.5,352,9.19E-02
675.5,352.5,9.07E-02
685.6,353,9.13E-02
695.7,353.5,9.38E-02
705.7,354,9.57E-02
715.8,354.5,9.30E-02
725.9,355,9.21E-02
736,355.5,9.40E-02
746.2,356,9.16E-02
756.4,356.5,9.21E-02
766.6,357,9.26E-02
776.7,357.5,9.22E-02
786.8,358,9.20E-02
796.8,358.5,9.26E-02
806.8,359,9.50E-02
816.7,359.5,9.42E-02
826.7,360,9.62E-02
836.6,360.5,9.65E-02
846.5,361,9.74E-02
856.5,361.5,9.71E-02
866.6,362,9.57E-02
876.7,362.5,9.40E-02
886.8,363,9.49E-02
896.8,363.5,9.43E-02
906.8,364,9.52E-02
916.8,364.5,9.61E-02
926.8,365,9.33E-02
936.9,365.5,9.61E-02
946.9,366,9.50E-02
956.9,366.5,9.56E-02
966.9,367,9.56E-02
976.9,367.5,9.60E-02
986.8,368,9.70E-02
996.8,368.5,9.79E-02
1006.7,369,0.10033
1016.7,369.5,9.99E-02
1026.6,370,9.73E-02
1036.6,370.5,9.65E-02
1046.6,371,9.77E-02
1056.5,371.5,9.77E-02
1066.4,372,9.75E-02
1076.3,372.5,9.70E-02
1086.2,373,9.86E-02
1096,373.5,9.96E-02
1105.9,374,9.86E-02
1115.8,374.5,9.86E-02
1125.7,375,0.10093
1135.7,375.5,9.86E-02
1145.6,376,0.10078
1155.5,376.5,0.10343
1165.5,377,0.10098
1175.4,377.5,9.88E-02
1185.4,378,9.82E-02
1195.4,378.5,9.84E-02
1205.4,379,9.95E-02
1215.4,379.5,9.87E-02
1225.3,380,0.10224
1235.2,380.5,0.10412
1245,381,0.10062
1254.9,381.5,0.10337
1264.7,382,0.10555
1274.6,382.5,0.10564
1284.4,383,0.1059
1294.2,383.5,0.10737
1304.1,384,0.10577
1314,384.5,0.10787
1323.9,385,0.10807
1333.8,385.5,0.10606
1343.7,386,0.10721
1353.6,386.5,0.10743
1363.6,387,0.10759
1373.5,387.5,0.10797
1383.4,388,0.10953
1393.3,388.5,0.11052
1403.3,389,0.10885
1413.2,389.5,0.10841
1423.1,390,0.10924
1433,390.5,0.10965
1442.9,391,0.11186
1452.8,391.5,0.11361
1462.7,392,0.11357
1472.6,392.5,0.1148
1482.6,393,0.11445
1492.5,393.5,0.11285
1502.5,394,0.11445
1512.5,394.5,0.11364
1522.6,395,0.1163
1532.6,395.5,0.11672
1542.6,396,0.11588
1552.6,396.5,0.11967
1562.5,397,0.11932
1572.5,397.5,0.11772
1582.4,398,0.11979
1592.3,398.5,0.12142
1602.2,399,0.1249
1612,399.5,0.12437
1621.9,400,0.12439
1631.7,400.5,0.12888
1641.5,401,0.12897
1651.3,401.5,0.12915
1661.1,402,0.12884
1670.9,402.5,0.12715
1680.7,403,0.12599
1690.5,403.5,0.12793
1700.3,404,0.12879
1710.1,404.5,0.12847
1720,405,0.13052
1729.9,405.5,0.13036
1739.8,406,0.12946
1749.7,406.5,0.13303
1759.5,407,0.13397
1769.4,407.5,0.13131
1779.2,408,0.13063
1789.1,408.5,0.12883
1798.9,409,0.1299
1808.8,409.5,0.13174
