Temp,time ,TGA,DSC,Sensitivity,Heating Rate,Heat Capacity,Heat Capacity,Heat Capacity
[K],[s],[mg],[uV/mg],[mW/uV],[K/s],[J/g/K],[J/g/K],[J/g/K]
322.1,0.0,3.9773,6.10E-03,2.861,0.005,3.22,0.46,-2.211
322.2,18.4,3.9779,1.32E-02,2.269,0.008,3.70,1.64,0.521
322.3,24.7,3.9785,2.06E-02,2.059,0.021,2.07,2.07,0.588
322.4,28.2,3.9778,2.90E-02,2.129,0.033,1.85,1.46,0.969
322.5,30.7,3.9790,3.77E-02,2.123,0.042,1.92,1.47,1.009
322.6,33.0,3.9791,4.44E-02,2.008,0.049,1.83,1.51,0.951
322.7,34.8,3.9792,4.80E-02,1.988,0.055,1.72,1.56,1.107
322.8,36.6,3.9783,5.78E-02,1.927,0.062,1.80,1.49,1.203
322.9,38.1,3.9784,6.11E-02,1.834,0.069,1.61,1.59,1.190
323.0,39.4,3.9784,6.43E-02,1.793,0.075,1.53,1.55,1.172
323.1,40.7,3.9777,7.07E-02,1.764,0.079,1.59,1.58,1.263
323.2,42.0,3.9777,7.68E-02,1.736,0.083,1.60,1.55,1.288
323.3,43.2,3.9780,8.16E-02,1.715,0.087,1.62,1.59,1.313
323.4,44.3,3.9784,8.78E-02,1.680,0.091,1.63,1.57,1.325
323.5,45.4,3.9783,9.04E-02,1.642,0.095,1.57,1.53,1.321
323.6,46.4,3.9777,9.70E-02,1.639,0.098,1.62,1.52,1.307
323.7,47.4,3.9773,0.10241,1.627,0.104,1.61,1.50,1.360
323.8,48.3,3.9779,0.1061,1.586,0.108,1.56,1.53,1.313
323.9,49.3,3.9784,0.11151,1.568,0.112,1.56,1.57,1.333
324.0,50.1,3.9773,0.11464,1.528,0.115,1.52,1.51,1.360
324.1,51.0,3.9762,0.11972,1.505,0.118,1.53,1.51,1.387
324.2,51.8,3.9772,0.12433,1.494,0.119,1.56,1.50,1.376
324.3,52.7,3.9771,0.12709,1.490,0.123,1.54,1.52,1.399
324.4,53.5,3.9770,0.13212,1.485,0.128,1.54,1.55,1.411
324.5,54.2,3.9773,0.13917,1.460,0.131,1.55,1.54,1.415
324.6,55.0,3.9773,0.14152,1.452,0.133,1.55,1.59,1.409
