time ,Temp,TGA
[s],[K],[mg]
30.7,322.5,3.979
39.4,323,3.9784
45.4,323.5,3.9783
50.1,324,3.9773
54.2,324.5,3.9773
57.9,325,3.9785
61.2,325.5,3.9782
64.3,326,3.9778
67.1,326.5,3.9773
69.9,327,3.9772
72.5,327.5,3.9771
75,328,3.9767
77.4,328.5,3.977
79.7,329,3.9772
81.9,329.5,3.9787
84.1,330,3.9789
86.3,330.5,3.9779
88.4,331,3.9787
90.5,331.5,3.9789
92.5,332,3.9777
94.5,332.5,3.9773
96.4,333,3.9782
98.3,333.5,3.9786
100.2,334,3.9781
102.1,334.5,3.9778
104,335,3.9782
105.8,335.5,3.9785
107.6,336,3.9783
109.4,336.5,3.978
111.2,337,3.9776
113,337.5,3.9771
114.7,338,3.9776
116.5,338.5,3.978
118.2,339,3.9771
119.9,339.5,3.977
121.6,340,3.978
123.3,340.5,3.979
125,341,3.9791
126.7,341.5,3.9785
128.4,342,3.9772
130,342.5,3.9781
131.7,343,3.9772
133.4,343.5,3.9771
135,344,3.9762
136.7,344.5,3.9756
138.3,345,3.977
139.9,345.5,3.9775
141.6,346,3.9772
143.2,346.5,3.978
144.9,347,3.9785
146.5,347.5,3.9774
148.1,348,3.9775
149.7,348.5,3.9786
151.3,349,3.9778
152.9,349.5,3.9785
154.6,350,3.9773
156.2,350.5,3.9772
157.8,351,3.9771
159.4,351.5,3.9774
161,352,3.9784
162.6,352.5,3.9771
164.2,353,3.9783
165.8,353.5,3.9782
167.3,354,3.9771
168.9,354.5,3.977
170.5,355,3.9768
172.1,355.5,3.9763
173.7,356,3.9768
175.3,356.5,3.977
176.9,357,3.9771
178.4,357.5,3.977
180,358,3.977
181.6,358.5,3.977
183.1,359,3.977
184.7,359.5,3.977
186.2,360,3.9762
187.8,360.5,3.977
189.4,361,3.977
190.9,361.5,3.9769
192.5,362,3.9783
194,362.5,3.9768
195.6,363,3.9783
197.1,363.5,3.9769
198.7,364,3.977
200.2,364.5,3.9766
201.7,365,3.9757
203.3,365.5,3.977
204.8,366,3.9763
206.4,366.5,3.9757
207.9,367,3.9756
209.4,367.5,3.9763
211,368,3.9757
212.5,368.5,3.9756
214,369,3.9756
215.6,369.5,3.9764
217.1,370,3.9765
218.6,370.5,3.9757
220.1,371,3.9754
221.6,371.5,3.9757
223.2,372,3.9756
