time,Temp,Heat Flow Rate
[s],[K],[mW/mg]
27.7,322.5,1.68E-02
35,323,4.42E-02
39.9,323.5,7.03E-02
43.9,324,9.61E-02
47.3,324.5,0.11872
50.3,325,0.14049
53,325.5,0.16202
55.5,326,0.18149
57.8,326.5,0.20154
60,327,0.21827
62,327.5,0.23629
64,328,0.25227
65.9,328.5,0.26828
67.7,329,0.28325
69.4,329.5,0.29402
71.1,330,0.31313
72.8,330.5,0.32657
74.4,331,0.34003
76,331.5,0.35124
77.5,332,0.36539
79,332.5,0.3761
80.5,333,0.3892
81.9,333.5,0.39993
83.3,334,0.41022
84.7,334.5,0.42014
86.1,335,0.42987
87.5,335.5,0.4406
88.8,336,0.44917
90.1,336.5,0.45951
91.4,337,0.46887
92.7,337.5,0.47665
94,338,0.48637
95.2,338.5,0.49528
96.5,339,0.50282
97.8,339.5,0.51101
99,340,0.51877
100.2,340.5,0.52636
101.4,341,0.53421
102.6,341.5,0.54136
103.8,342,0.54875
105,342.5,0.55737
106.2,343,0.56308
107.3,343.5,0.57067
108.5,344,0.5745
109.7,344.5,0.58327
110.8,345,0.58855
112,345.5,0.5956
113.1,346,0.60069
114.3,346.5,0.60689
115.4,347,0.615
116.5,347.5,0.61982
117.6,348,0.62525
118.8,348.5,0.63155
119.9,349,0.63655
121,349.5,0.64276
122.1,350,0.64878
123.2,350.5,0.65332
124.3,351,0.65929
125.4,351.5,0.66431
126.5,352,0.66911
127.6,352.5,0.67568
128.7,353,0.68115
129.7,353.5,0.6846
130.8,354,0.69028
131.9,354.5,0.69728
133,355,0.70209
134.1,355.5,0.70658
135.1,356,0.708
136.2,356.5,0.71305
137.3,357,0.71703
138.3,357.5,0.72147
139.4,358,0.72378
140.5,358.5,0.72755
141.5,359,0.72937
142.6,359.5,0.72983
143.6,360,0.73262
144.7,360.5,0.73197
145.7,361,0.73217
146.8,361.5,0.73394
147.8,362,0.73333
148.8,362.5,0.73385
149.9,363,0.73435
150.9,363.5,0.73344
152,364,0.73234
153,364.5,0.73424
154,365,0.73298
155.1,365.5,0.73272
156.1,366,0.73572
157.1,366.5,0.73437
158.1,367,0.73471
159.2,367.5,0.73538
160.2,368,0.73509
161.2,368.5,0.73683
162.3,369,0.73727
163.3,369.5,0.73846
164.3,370,0.73964
165.3,370.5,0.74118
166.3,371,0.74334
167.4,371.5,0.74331
168.4,372,0.74537
169.4,372.5,0.74853
170.4,373,0.74864
171.4,373.5,0.75292
172.5,374,0.75364
173.5,374.5,0.75384
174.5,375,0.75703
175.5,375.5,0.76008
176.5,376,0.75955
177.5,376.5,0.76291
178.5,377,0.76813
179.6,377.5,0.76986
180.6,378,0.7722
181.6,378.5,0.77369
182.6,379,0.77325
183.6,379.5,0.77715
184.6,380,0.78148
185.6,380.5,0.78148
186.6,381,0.78333
187.6,381.5,0.7886
188.7,382,0.78884
189.7,382.5,0.79123
190.7,383,0.79399
191.7,383.5,0.79821
192.7,384,0.8
193.7,384.5,0.80442
194.7,385,0.80603
195.7,385.5,0.80732
196.7,386,0.80894
197.7,386.5,0.81278
198.7,387,0.81669
199.7,387.5,0.81979
200.8,388,0.82324
201.8,388.5,0.82687
202.8,389,0.83282
203.8,389.5,0.83451
204.8,390,0.83783
205.8,390.5,0.8428
206.8,391,0.84575
207.8,391.5,0.85011
208.8,392,0.85548
209.8,392.5,0.85904
210.8,393,0.86175
211.8,393.5,0.86705
212.8,394,0.87235
213.8,394.5,0.8766
214.8,395,0.88098
215.8,395.5,0.887
216.8,396,0.89354
217.8,396.5,0.90101
218.8,397,0.90403
219.8,397.5,0.90903
220.8,398,0.91554
221.7,398.5,0.92235
222.7,399,0.92544
223.7,399.5,0.9313
224.7,400,0.9374
225.7,400.5,0.94157
226.7,401,0.9479
227.7,401.5,0.95364
228.7,402,0.95724
229.7,402.5,0.96234
230.7,403,0.969
231.6,403.5,0.9738
232.6,404,0.97875
233.6,404.5,0.98281
234.6,405,0.98766
235.6,405.5,0.99238
236.6,406,0.99659
237.6,406.5,0.99992
238.5,407,1.00493
239.5,407.5,1.00888
240.5,408,1.0097
241.5,408.5,1.01419
242.4,409,1.01879
243.4,409.5,1.02356
244.4,410,1.02512
245.4,410.5,1.02869
246.3,411,1.03339
247.3,411.5,1.03561
248.3,412,1.03799
249.3,412.5,1.04215
250.2,413,1.0467
251.2,413.5,1.04663
252.2,414,1.04927
253.2,414.5,1.04967
254.1,415,1.05251
255.1,415.5,1.05843
256.1,416,1.05786
257,416.5,1.05979
258,417,1.06617
259,417.5,1.06512
259.9,418,1.06719
260.9,418.5,1.07137
261.9,419,1.07236
262.8,419.5,1.07327
263.8,420,1.07823
264.8,420.5,1.07816
265.7,421,1.08348
266.7,421.5,1.08434
267.6,422,1.08659
268.6,422.5,1.08777
269.6,423,1.09104
270.5,423.5,1.09049
271.5,424,1.09416
272.4,424.5,1.09738
273.4,425,1.09933
274.4,425.5,1.10186
275.3,426,1.10303
276.3,426.5,1.10373
