Temp,time,TGA,DSC
[K],[s],[mg],[mW/mg]
322.8,0.0,3.9785,-3.57E-03
322.9,21.6,3.9774,2.02E-03
323.0,28.4,3.9791,6.87E-03
323.1,33.0,3.9790,1.28E-02
323.2,36.8,3.9789,1.92E-02
323.3,39.9,3.9780,2.45E-02
323.4,42.7,3.9787,3.14E-02
323.5,45.1,3.9793,3.71E-02
323.6,47.2,3.9794,4.04E-02
323.7,49.1,3.9791,4.46E-02
323.8,50.9,3.9789,4.73E-02
323.9,52.6,3.9790,5.35E-02
324.0,54.2,3.9785,5.73E-02
324.1,55.7,3.9792,6.10E-02
324.2,57.2,3.9794,6.44E-02
324.3,58.6,3.9793,6.78E-02
324.4,59.9,3.9798,7.13E-02
324.5,61.2,3.9805,7.56E-02
324.6,62.5,3.9804,7.74E-02
324.7,63.8,3.9802,8.28E-02
324.8,65.0,3.9801,8.66E-02
324.9,66.2,3.9805,8.61E-02
325.0,67.3,3.9813,9.24E-02
325.1,68.4,3.9810,9.55E-02
325.2,69.6,3.9813,9.84E-02
325.3,70.6,3.9804,0.10128
325.4,71.7,3.9795,0.10469
325.5,72.8,3.9804,0.10651
325.6,73.8,3.9792,0.10937
325.7,74.8,3.9792,0.11065
325.8,75.9,3.9796,0.11333
325.9,76.9,3.9787,0.11795
326.0,77.9,3.9797,0.11758
326.1,78.9,3.9790,0.1192
326.2,79.9,3.9799,0.12494
326.3,80.8,3.9787,0.12592
326.4,81.8,3.9793,0.1289
326.5,82.7,3.9783,0.13048
326.6,83.7,3.9786,0.13305
326.7,84.6,3.9787,0.1354
326.8,85.5,3.9793,0.1373
326.9,86.4,3.9792,0.13804
327.0,87.3,3.9798,0.14272
327.1,88.2,3.9788,0.14276
327.2,89.1,3.9800,0.14585
327.3,89.9,3.9789,0.14586
327.4,90.8,3.9801,0.15051
327.5,91.6,3.9802,0.14939
327.6,92.5,3.9804,0.15241
327.7,93.3,3.9804,0.15202
327.8,94.1,3.9803,0.15446
327.9,95.0,3.9807,0.15659
328.0,95.8,3.9801,0.15837
328.1,96.6,3.9793,0.15788
328.2,97.4,3.9802,0.15962
328.3,98.2,3.9792,0.16195
328.4,99.0,3.9788,0.16365
328.5,99.8,3.9783,0.16506
328.6,100.6,3.9794,0.16696
328.7,101.4,3.9798,0.16918
328.8,102.2,3.9804,0.16941
328.9,103.0,3.9803,0.17127
329.0,103.7,3.9797,0.17209
329.1,104.5,3.9798,0.17328
329.2,105.3,3.9800,0.17367
329.3,106.0,3.9797,0.17672
329.4,106.8,3.9794,0.17751
329.5,107.6,3.9783,0.17797
329.6,108.3,3.9785,0.17923
329.7,109.1,3.9779,0.17917
329.8,109.8,3.9781,0.18205
329.9,110.6,3.9785,0.18119
330.0,111.3,3.9781,0.1838
330.1,112.0,3.9783,0.18277
330.2,112.8,3.9785,0.18523
330.3,113.5,3.9784,0.18487
330.4,114.2,3.9782,0.18898
330.5,115.0,3.9785,0.18952
330.6,115.7,3.9785,0.18964
330.7,116.4,3.9781,0.1913
330.8,117.1,3.9782,0.19223
330.9,117.9,3.9785,0.19361
331.0,118.6,3.9784,0.19437
