time,Temp,TGA
[s],[K],[mg]
0,323,3.9537
40.3,323.5,3.9525
50.9,324,3.9521
58.7,324.5,3.9527
65.2,325,3.9518
70.9,325.5,3.9502
76.1,326,3.9519
81,326.5,3.9525
85.6,327,3.9526
90,327.5,3.9522
94.2,328,3.9524
98.3,328.5,3.9529
102.2,329,3.9524
106.1,329.5,3.9527
109.9,330,3.9539
113.6,330.5,3.9524
117.3,331,3.9537
120.9,331.5,3.9531
124.5,332,3.9525
128,332.5,3.9518
131.5,333,3.9508
134.9,333.5,3.9508
138.3,334,3.9504
141.8,334.5,3.951
145.1,335,3.9505
148.5,335.5,3.951
151.8,336,3.951
155.1,336.5,3.9508
158.5,337,3.9514
161.8,337.5,3.9499
165.1,338,3.9505
168.4,338.5,3.9498
171.7,339,3.9497
175,339.5,3.9511
178.2,340,3.9497
181.5,340.5,3.951
184.7,341,3.9524
188,341.5,3.9513
191.2,342,3.9522
194.4,342.5,3.951
197.7,343,3.9511
200.9,343.5,3.9511
204.1,344,3.9514
207.3,344.5,3.9511
210.4,345,3.951
213.6,345.5,3.9501
216.8,346,3.951
220,346.5,3.9493
223.1,347,3.9499
226.3,347.5,3.9495
229.4,348,3.9509
232.6,348.5,3.9499
235.7,349,3.9503
238.9,349.5,3.9495
242,350,3.9488
245.1,350.5,3.9496
248.3,351,3.9495
251.4,351.5,3.9495
254.5,352,3.9495
257.6,352.5,3.9482
260.7,353,3.9489
263.8,353.5,3.9495
266.9,354,3.9482
270,354.5,3.9478
273,355,3.9482
276.1,355.5,3.9482
279.2,356,3.9495
282.3,356.5,3.9487
285.3,357,3.9482
288.4,357.5,3.9492
291.4,358,3.9488
294.5,358.5,3.9482
297.5,359,3.9482
300.6,359.5,3.9482
303.6,360,3.9469
306.6,360.5,3.9482
309.6,361,3.9482
312.7,361.5,3.9486
315.7,362,3.9495
318.7,362.5,3.9482
321.7,363,3.9482
324.7,363.5,3.9482
327.7,364,3.9494
330.7,364.5,3.9482
333.7,365,3.9482
336.7,365.5,3.9494
339.7,366,3.9482
342.7,366.5,3.9482
345.7,367,3.9482
348.7,367.5,3.9469
351.7,368,3.9479
354.7,368.5,3.9479
357.6,369,3.9466
360.6,369.5,3.9469
363.6,370,3.9482
366.6,370.5,3.9482
369.6,371,3.9469
372.6,371.5,3.9469
375.6,372,3.9469
378.5,372.5,3.9469
381.5,373,3.9469
384.5,373.5,3.9459
387.4,374,3.9459
390.4,374.5,3.9455
393.3,375,3.946
396.3,375.5,3.9455
399.3,376,3.9455
402.2,376.5,3.9467
405.2,377,3.9456
408.1,377.5,3.9456
411.1,378,3.9456
414,378.5,3.9442
417,379,3.9442
419.9,379.5,3.9456
422.9,380,3.9442
425.8,380.5,3.9455
428.8,381,3.9452
431.7,381.5,3.9443
434.7,382,3.9455
437.6,382.5,3.9455
440.5,383,3.9443
443.5,383.5,3.9456
446.4,384,3.9452
449.4,384.5,3.9442
452.3,385,3.9455
455.3,385.5,3.9455
458.2,386,3.9456
461.1,386.5,3.9442
464.1,387,3.9442
467,387.5,3.9442
469.9,388,3.9443
472.9,388.5,3.9456
475.8,389,3.9442
478.7,389.5,3.9442
481.7,390,3.9442
484.6,390.5,3.9442
487.6,391,3.9442
490.5,391.5,3.9432
493.4,392,3.9429
496.4,392.5,3.9442
499.3,393,3.9429
502.2,393.5,3.9429
505.1,394,3.9429
508.1,394.5,3.9429
511,395,3.9442
513.9,395.5,3.9442
516.8,396,3.9442
519.7,396.5,3.9428
522.7,397,3.9429
525.6,397.5,3.9439
528.5,398,3.9429
531.4,398.5,3.9429
534.3,399,3.9429
537.3,399.5,3.9429
540.2,400,3.943
543.1,400.5,3.9416
546,401,3.9429
549,401.5,3.9429
551.9,402,3.9418
554.8,402.5,3.9406
557.7,403,3.9406
560.6,403.5,3.9406
563.5,404,3.9406
566.4,404.5,3.9416
569.3,405,3.9416
572.3,405.5,3.9408
575.2,406,3.9406
578.1,406.5,3.9406
581,407,3.942
583.9,407.5,3.9419
586.8,408,3.9403
589.7,408.5,3.939
592.6,409,3.9391
595.5,409.5,3.9403
598.4,410,3.9389
601.3,410.5,3.939
604.2,411,3.939
607.1,411.5,3.939
610,412,3.9383
612.9,412.5,3.9383
615.8,413,3.937
618.7,413.5,3.937
621.6,414,3.937
624.5,414.5,3.937
627.4,415,3.937
630.3,415.5,3.937
633.2,416,3.9364
636.1,416.5,3.937
638.9,417,3.937
641.8,417.5,3.937
644.7,418,3.9371
647.6,418.5,3.936
650.5,419,3.936
653.4,419.5,3.936
656.3,420,3.9357
659.2,420.5,3.9354
662,421,3.9354
664.9,421.5,3.9354
667.8,422,3.9354
670.7,422.5,3.9344
673.6,423,3.934
676.4,423.5,3.934
679.3,424,3.9335
682.2,424.5,3.9327
685.1,425,3.9327
688,425.5,3.9327
690.9,426,3.9328
693.8,426.5,3.932
696.7,427,3.9317
699.6,427.5,3.9317
702.4,428,3.9317
705.3,428.5,3.9317
708.2,429,3.9314
711.1,429.5,3.9304
714,430,3.9304
716.9,430.5,3.9291
719.8,431,3.9291
722.7,431.5,3.9289
725.6,432,3.9291
728.5,432.5,3.9291
731.3,433,3.9278
734.2,433.5,3.9278
737.1,434,3.9278
740,434.5,3.9278
742.9,435,3.9278
745.8,435.5,3.9278
748.7,436,3.9275
751.5,436.5,3.9275
754.4,437,3.9256
757.3,437.5,3.9251
760.2,438,3.9252
763.1,438.5,3.925
766,439,3.9238
768.8,439.5,3.9225
771.7,440,3.9225
774.6,440.5,3.9212
777.5,441,3.9199
780.4,441.5,3.9199
783.2,442,3.9198
786.1,442.5,3.9209
789,443,3.9196
791.9,443.5,3.9196
794.8,444,3.9184
797.6,444.5,3.9169
800.5,445,3.9169
803.4,445.5,3.9156
806.3,446,3.9156
809.2,446.5,3.9156
812,447,3.9143
814.9,447.5,3.9143
817.8,448,3.913
820.7,448.5,3.9128
823.6,449,3.9117
826.5,449.5,3.9113
829.3,450,3.9103
832.2,450.5,3.91
835.1,451,3.9082
838,451.5,3.9077
840.8,452,3.9068
843.7,452.5,3.9051
846.6,453,3.9038
849.5,453.5,3.903
852.4,454,3.9024
855.2,454.5,3.9012
858.1,455,3.8998
861,455.5,3.8998
863.9,456,3.8982
866.7,456.5,3.8969
869.6,457,3.8955
872.5,457.5,3.8945
875.4,458,3.8932
878.2,458.5,3.8918
881.1,459,3.8911
884,459.5,3.8911
886.8,460,3.8891
889.7,460.5,3.8873
892.6,461,3.8865
895.5,461.5,3.8852
898.4,462,3.8839
901.3,462.5,3.8824
904.1,463,3.8812
907,463.5,3.8801
909.9,464,3.8794
912.8,464.5,3.8778
915.7,465,3.8765
918.6,465.5,3.8751
921.4,466,3.8739
924.3,466.5,3.8728
927.2,467,3.8712
930.1,467.5,3.8699
932.9,468,3.8686
935.8,468.5,3.8686
938.7,469,3.8672
941.6,469.5,3.8661
944.4,470,3.8659
947.3,470.5,3.8646
950.2,471,3.8638
953.1,471.5,3.8633
956,472,3.8619
