Temp,time,TGA,DSC
[K],[s],[mg],[mW/mg]
323,0,3.9002,-2.16E-03
323.1,24.8,3.8998,3.83E-03
323.2,30.5,3.8991,1.03E-02
323.3,34.6,3.8982,1.76E-02
323.4,37.9,3.898,2.33E-02
323.5,40.7,3.8984,2.67E-02
323.6,43.1,3.8983,3.34E-02
323.7,45.4,3.8992,3.78E-02
323.8,47.5,3.8999,4.36E-02
323.9,49.4,3.8988,4.83E-02
324,51.2,3.8978,5.20E-02
324.1,52.9,3.8974,5.67E-02
324.2,54.5,3.8976,6.08E-02
324.3,56.1,3.8978,6.31E-02
324.4,57.5,3.8976,6.79E-02
324.5,59,3.8967,7.10E-02
324.6,60.3,3.8966,7.56E-02
324.7,61.7,3.8981,7.75E-02
324.8,62.9,3.8981,8.04E-02
324.9,64.2,3.8981,8.22E-02
325,65.4,3.8976,8.73E-02
325.1,66.6,3.8983,8.92E-02
325.2,67.8,3.9005,9.07E-02
325.3,68.9,3.9003,9.45E-02
325.4,70.1,3.8999,9.90E-02
325.5,71.1,3.8989,0.10022
325.6,72.2,3.8981,0.10471
325.7,73.3,3.8973,0.10698
325.8,74.3,3.8973,0.10865
325.9,75.4,3.8969,0.1125
326,76.4,3.8973,0.11565
326.1,77.4,3.8967,0.11819
326.2,78.4,3.8969,0.11968
326.3,79.3,3.8961,0.12147
326.4,80.3,3.8964,0.12477
326.5,81.2,3.8966,0.12635
326.6,82.2,3.8961,0.12681
326.7,83.1,3.8972,0.12917
326.8,84,3.8957,0.13318
326.9,84.9,3.8972,0.13385
327,85.8,3.8969,0.13626
327.1,86.7,3.8971,0.13964
327.2,87.6,3.8974,0.13843
327.3,88.5,3.8963,0.14079
327.4,89.3,3.8972,0.14318
327.5,90.2,3.896,0.14577
327.6,91,3.8971,0.14765
327.7,91.9,3.8968,0.14913
327.8,92.7,3.8975,0.15151
327.9,93.6,3.8965,0.15154
328,94.4,3.8972,0.15476
328.1,95.2,3.8959,0.15613
328.2,96,3.8956,0.15694
328.3,96.9,3.8964,0.15864
328.4,97.7,3.8955,0.15996
328.5,98.5,3.8956,0.16037
328.6,99.3,3.8965,0.16181
328.7,100.1,3.8957,0.16156
328.8,100.8,3.8964,0.16656
328.9,101.6,3.8962,0.16732
329,102.4,3.8958,0.16735
329.1,103.2,3.8962,0.17011
329.2,104,3.895,0.17124
329.3,104.7,3.8954,0.17236
329.4,105.5,3.895,0.17265
329.5,106.2,3.8949,0.17463
329.6,107,3.8949,0.1751
329.7,107.8,3.8939,0.1784
329.8,108.5,3.8944,0.17727
329.9,109.3,3.8949,0.17968
330,110,3.895,0.18024
330.1,110.8,3.8947,0.18113
330.2,111.5,3.8949,0.18257
330.3,112.2,3.8949,0.18214
330.4,113,3.8949,0.18515
330.5,113.7,3.8949,0.1862
330.6,114.5,3.8948,0.18589
330.7,115.2,3.8955,0.18707
330.8,115.9,3.8953,0.18651
330.9,116.6,3.895,0.18873
331,117.3,3.8962,0.18869
331.1,118.1,3.8959,0.18942
331.2,118.8,3.8952,0.19335
331.3,119.5,3.896,0.19404
331.4,120.2,3.8969,0.19225
331.5,120.9,3.8967,0.19395
331.6,121.6,3.8958,0.1933
