Temp,time,TGA,DSC
[K],[s],[mg],[mW/mg]
323,0,3.9537,8.92E-04
323.1,23.9,3.9549,6.42E-03
323.2,30,3.9551,1.21E-02
323.3,34.1,3.9537,1.91E-02
323.4,37.5,3.9537,2.53E-02
323.5,40.3,3.9525,3.07E-02
323.6,42.8,3.953,3.24E-02
323.7,45.1,3.9525,3.81E-02
323.8,47.2,3.9519,4.31E-02
323.9,49.1,3.9521,4.65E-02
324,50.9,3.9521,5.22E-02
324.1,52.6,3.9518,5.53E-02
324.2,54.2,3.9512,5.88E-02
324.3,55.8,3.9517,6.24E-02
324.4,57.3,3.9524,6.48E-02
324.5,58.7,3.9527,6.84E-02
324.6,60.1,3.953,7.38E-02
324.7,61.4,3.9529,7.71E-02
324.8,62.7,3.9537,7.76E-02
324.9,64,3.9534,7.94E-02
325,65.2,3.9518,8.46E-02
325.1,66.4,3.9521,8.50E-02
325.2,67.5,3.951,8.93E-02
325.3,68.7,3.9516,9.34E-02
325.4,69.8,3.9508,9.62E-02
325.5,70.9,3.9502,9.83E-02
325.6,72,3.9513,9.97E-02
325.7,73,3.9512,0.1043
325.8,74.1,3.9517,0.10243
325.9,75.1,3.9524,0.10638
326,76.1,3.9519,0.1112
326.1,77.1,3.9526,0.11198
326.2,78.1,3.9533,0.11446
326.3,79.1,3.9526,0.11719
326.4,80,3.9528,0.11872
326.5,81,3.9525,0.12055
326.6,81.9,3.9526,0.12198
326.7,82.9,3.9526,0.12345
326.8,83.8,3.9527,0.12608
326.9,84.7,3.953,0.12645
327,85.6,3.9526,0.13042
327.1,86.5,3.9524,0.13238
327.2,87.4,3.9522,0.13373
327.3,88.3,3.9523,0.13457
327.4,89.2,3.9516,0.13701
327.5,90,3.9522,0.13652
327.6,90.9,3.9514,0.13841
327.7,91.7,3.952,0.14187
327.8,92.6,3.9514,0.14414
327.9,93.4,3.9523,0.14492
328,94.2,3.9524,0.14714
328.1,95.1,3.9534,0.14763
328.2,95.9,3.9528,0.15036
328.3,96.7,3.9535,0.15009
328.4,97.5,3.9537,0.15385
328.5,98.3,3.9529,0.15383
328.6,99.1,3.9541,0.15648
328.7,99.9,3.9526,0.15477
328.8,100.7,3.9531,0.15883
328.9,101.5,3.9534,0.15805
329,102.2,3.9524,0.15916
329.1,103,3.9533,0.16065
329.2,103.8,3.9537,0.16399
329.3,104.6,3.9526,0.16217
329.4,105.3,3.9527,0.16514
329.5,106.1,3.9527,0.16619
329.6,106.9,3.9527,0.16707
329.7,107.6,3.9526,0.16877
329.8,108.4,3.9533,0.16961
329.9,109.1,3.954,0.17134
330,109.9,3.9539,0.17113
330.1,110.6,3.953,0.1728
330.2,111.4,3.9535,0.17355
330.3,112.1,3.954,0.17558
330.4,112.9,3.9528,0.17617
330.5,113.6,3.9524,0.17686
330.6,114.4,3.9529,0.17813
330.7,115.1,3.9526,0.18029
330.8,115.8,3.9525,0.17915
330.9,116.6,3.9527,0.1807
331,117.3,3.9537,0.18311
331.1,118,3.9528,0.18194
331.2,118.7,3.9526,0.18262
331.3,119.5,3.953,0.18315
331.4,120.2,3.9541,0.18297
331.5,120.9,3.9531,0.18339
331.6,121.6,3.9524,0.18486
331.7,122.3,3.9535,0.18522
331.8,123,3.9532,0.18724
331.9,123.7,3.9524,0.18932
332,124.5,3.9525,0.19043
332.1,125.2,3.9522,0.19065
332.2,125.9,3.9512,0.18922
332.3,126.6,3.9517,0.18987
332.4,127.3,3.9525,0.19269
332.5,128,3.9518,0.19222
