time,Temp,TGA
[s],[K],[mg]
27.7,322.5,4.0646
35,323,4.0641
39.9,323.5,4.0632
43.9,324,4.0644
47.3,324.5,4.0631
50.3,325,4.0629
53,325.5,4.0623
55.5,326,4.0628
57.8,326.5,4.0623
60,327,4.0624
62,327.5,4.0637
64,328,4.064
65.9,328.5,4.0642
67.7,329,4.0639
69.4,329.5,4.0621
71.1,330,4.0613
72.8,330.5,4.0624
74.4,331,4.0634
76,331.5,4.0627
77.5,332,4.0626
79,332.5,4.0629
80.5,333,4.0629
81.9,333.5,4.0624
83.3,334,4.0623
84.7,334.5,4.0624
86.1,335,4.0626
87.5,335.5,4.0627
88.8,336,4.0626
90.1,336.5,4.0621
91.4,337,4.0617
92.7,337.5,4.0616
94,338,4.0612
95.2,338.5,4.061
96.5,339,4.0617
97.8,339.5,4.0617
99,340,4.0612
100.2,340.5,4.0612
101.4,341,4.0618
102.6,341.5,4.0626
103.8,342,4.0626
105,342.5,4.0625
106.2,343,4.0627
107.3,343.5,4.0624
108.5,344,4.0627
109.7,344.5,4.0625
110.8,345,4.0621
112,345.5,4.062
113.1,346,4.0626
114.3,346.5,4.0629
115.4,347,4.0629
116.5,347.5,4.0639
117.6,348,4.0635
118.8,348.5,4.063
119.9,349,4.0633
121,349.5,4.0639
122.1,350,4.0639
123.2,350.5,4.0632
124.3,351,4.0633
125.4,351.5,4.0623
126.5,352,4.0614
127.6,352.5,4.0623
128.7,353,4.0628
129.7,353.5,4.0626
130.8,354,4.0642
131.9,354.5,4.0638
133,355,4.0644
134.1,355.5,4.0639
135.1,356,4.0644
136.2,356.5,4.064
137.3,357,4.0637
138.3,357.5,4.0644
139.4,358,4.0631
140.5,358.5,4.0641
141.5,359,4.0641
142.6,359.5,4.0632
143.6,360,4.0642
144.7,360.5,4.0629
145.7,361,4.0629
146.8,361.5,4.0625
147.8,362,4.0627
148.8,362.5,4.0629
149.9,363,4.0629
150.9,363.5,4.0639
152,364,4.0631
153,364.5,4.0629
154,365,4.0639
155.1,365.5,4.0627
156.1,366,4.0627
157.1,366.5,4.0614
158.1,367,4.0615
159.2,367.5,4.06
160.2,368,4.0608
161.2,368.5,4.0605
162.3,369,4.0597
163.3,369.5,4.0609
164.3,370,4.06
165.3,370.5,4.0599
166.3,371,4.0611
167.4,371.5,4.0613
168.4,372,4.0612
169.4,372.5,4.0622
170.4,373,4.0622
171.4,373.5,4.0612
172.5,374,4.0613
173.5,374.5,4.0613
174.5,375,4.0613
175.5,375.5,4.0621
176.5,376,4.0625
177.5,376.5,4.0618
178.5,377,4.0625
179.6,377.5,4.0625
180.6,378,4.0625
181.6,378.5,4.0624
182.6,379,4.0612
183.6,379.5,4.0625
184.6,380,4.0625
185.6,380.5,4.0625
186.6,381,4.0614
187.6,381.5,4.0611
188.7,382,4.0612
189.7,382.5,4.0612
190.7,383,4.0613
191.7,383.5,4.0612
192.7,384,4.0612
193.7,384.5,4.0612
194.7,385,4.0613
195.7,385.5,4.0601
196.7,386,4.0608
197.7,386.5,4.0608
198.7,387,4.0608
199.7,387.5,4.0608
200.8,388,4.0611
201.8,388.5,4.06
202.8,389,4.0598
203.8,389.5,4.0598
204.8,390,4.0598
205.8,390.5,4.0598
206.8,391,4.0599
207.8,391.5,4.0587
208.8,392,4.0585
209.8,392.5,4.0598
210.8,393,4.0596
211.8,393.5,4.0585
212.8,394,4.0585
213.8,394.5,4.0585
214.8,395,4.0585
215.8,395.5,4.0584
216.8,396,4.0597
217.8,396.5,4.0598
218.8,397,4.0598
219.8,397.5,4.0598
220.8,398,4.0598
221.7,398.5,4.0599
222.7,399,4.059
223.7,399.5,4.0585
224.7,400,4.0585
225.7,400.5,4.0585
226.7,401,4.0585
227.7,401.5,4.0585
228.7,402,4.0585
229.7,402.5,4.0584
230.7,403,4.0598
231.6,403.5,4.0598
232.6,404,4.0598
233.6,404.5,4.0598
234.6,405,4.0598
235.6,405.5,4.0598
236.6,406,4.0598
237.6,406.5,4.0598
238.5,407,4.0598
239.5,407.5,4.0598
240.5,408,4.0598
241.5,408.5,4.0598
242.4,409,4.0598
243.4,409.5,4.0598
244.4,410,4.0598
245.4,410.5,4.0596
246.3,411,4.0584
247.3,411.5,4.0585
248.3,412,4.0585
249.3,412.5,4.0585
250.2,413,4.0585
251.2,413.5,4.0585
