Temp,time,DSC,Heat Capacity,Heating Rate,Sensitivity
[K],[s],[uV/mg],[J/g/K],[K/s],[mW/uV]
321.9,0,1.71E-03,0.8233,0.0049,2.361
322,20.4,5.00E-03,0.8235,0.0081,1.335
322.1,24.7,7.60E-03,0.8237,0.0264,2.861
322.2,28,1.17E-02,0.8239,0.0322,2.269
322.3,30.9,1.57E-02,0.824,0.0392,2.059
322.4,33.1,1.92E-02,0.8242,0.0496,2.129
322.5,34.9,2.21E-02,0.8244,0.0569,2.123
322.6,36.6,2.58E-02,0.8246,0.0628,2.008
322.7,38.1,2.83E-02,0.8248,0.0682,1.988
322.8,39.5,3.15E-02,0.825,0.0736,1.927
322.9,40.8,3.52E-02,0.8252,0.0782,1.834
323,42.1,3.80E-02,0.8253,0.0826,1.793
323.1,43.2,4.08E-02,0.8255,0.0872,1.764
323.2,44.4,4.37E-02,0.8257,0.0919,1.736
323.3,45.4,4.63E-02,0.8259,0.0961,1.715
323.4,46.4,4.90E-02,0.8261,0.0996,1.68
323.5,47.4,5.19E-02,0.8263,0.1031,1.642
323.6,48.4,5.41E-02,0.8265,0.1073,1.639
323.7,49.3,5.68E-02,0.8266,0.1118,1.627
323.8,50.2,5.98E-02,0.8268,0.1147,1.586
323.9,51,6.20E-02,0.827,0.1176,1.568
324,51.9,6.47E-02,0.8272,0.1195,1.528
324.1,52.7,6.73E-02,0.8274,0.1224,1.505
324.2,53.5,6.94E-02,0.8276,0.1253,1.494
324.3,54.3,7.19E-02,0.8278,0.1294,1.49
324.4,55.1,7.40E-02,0.8279,0.1327,1.485
324.5,55.8,7.66E-02,0.8281,0.135,1.46
324.6,56.5,7.91E-02,0.8283,0.1387,1.452
324.7,57.3,8.12E-02,0.8285,0.1409,1.438
324.8,58,8.31E-02,0.8287,0.1433,1.429
324.9,58.6,8.60E-02,0.8289,0.1465,1.412
325,59.3,8.78E-02,0.829,0.1489,1.406
325.1,60,9.00E-02,0.8292,0.1517,1.398
325.2,60.6,9.18E-02,0.8294,0.155,1.4
325.3,61.3,9.44E-02,0.8296,0.157,1.38
325.4,61.9,9.65E-02,0.8298,0.1594,1.371
325.5,62.5,9.84E-02,0.83,0.1608,1.356
325.6,63.2,0.10051,0.8301,0.162,1.338
325.7,63.8,0.10256,0.8303,0.1648,1.334
325.8,64.4,0.10481,0.8305,0.1683,1.333
325.9,65,0.10663,0.8307,0.1706,1.329
326,65.5,0.10838,0.8309,0.1721,1.319
326.1,66.1,0.11029,0.8311,0.1735,1.308
326.2,66.7,0.11205,0.8312,0.1745,1.295
326.3,67.3,0.11409,0.8314,0.1766,1.287
326.4,67.8,0.11599,0.8316,0.1797,1.288
326.5,68.4,0.11776,0.8318,0.1805,1.275
326.6,68.9,0.11937,0.832,0.1815,1.265
326.7,69.5,0.12124,0.8322,0.1847,1.268
326.8,70,0.1232,0.8323,0.1874,1.266
326.9,70.6,0.12462,0.8325,0.1883,1.258
327,71.1,0.12601,0.8327,0.1879,1.242
327.1,71.6,0.12792,0.8329,0.1897,1.235
327.2,72.1,0.12987,0.8331,0.1938,1.243
327.3,72.6,0.13161,0.8332,0.1958,1.24
327.4,73.2,0.13356,0.8334,0.1961,1.224
327.5,73.7,0.1349,0.8336,0.1981,1.224
327.6,74.2,0.13632,0.8338,0.1997,1.222
327.7,74.7,0.13808,0.834,0.1998,1.207
327.8,75.2,0.13985,0.8342,0.202,1.205
327.9,75.7,0.14135,0.8343,0.205,1.21
328,76.1,0.14256,0.8345,0.2068,1.21
328.1,76.6,0.14414,0.8347,0.2076,1.202
328.2,77.1,0.14581,0.8349,0.2086,1.194
328.3,77.6,0.14735,0.8351,0.212,1.202
328.4,78.1,0.14877,0.8352,0.2152,1.208
328.5,78.5,0.15011,0.8354,0.2153,1.198
328.6,79,0.15148,0.8356,0.2157,1.19
328.7,79.4,0.15288,0.8358,0.2186,1.195
328.8,79.9,0.15424,0.836,0.2209,1.197
328.9,80.3,0.15553,0.8361,0.22,1.183
329,80.8,0.15672,0.8363,0.2192,1.169
329.1,81.3,0.15805,0.8365,0.2219,1.175
329.2,81.7,0.15956,0.8367,0.2258,1.184
329.3,82.1,0.16114,0.8369,0.226,1.174
329.4,82.6,0.16281,0.837,0.224,1.152
329.5,83,0.16412,0.8372,0.2249,1.147
329.6,83.5,0.1652,0.8374,0.2285,1.158
329.7,83.9,0.16654,0.8376,0.2297,1.155
329.8,84.3,0.16777,0.8378,0.2283,1.14
329.9,84.8,0.16886,0.8379,0.2278,1.131
330,85.2,0.17008,0.8381,0.2297,1.132
330.1,85.7,0.17159,0.8383,0.2321,1.134
330.2,86.1,0.17294,0.8385,0.2323,1.126
330.3,86.5,0.1741,0.8387,0.2316,1.116
330.4,87,0.17528,0.8388,0.2333,1.116
330.5,87.4,0.17648,0.839,0.2367,1.126
330.6,87.8,0.1779,0.8392,0.2384,1.125
330.7,88.2,0.17927,0.8394,0.2371,1.11
330.8,88.6,0.18017,0.8396,0.2374,1.106
330.9,89.1,0.18131,0.8397,0.241,1.116
331,89.5,0.18268,0.8399,0.243,1.117
331.1,89.9,0.18378,0.8401,0.2419,1.106
331.2,90.3,0.18471,0.8403,0.2426,1.104
331.3,90.7,0.18578,0.8404,0.248,1.122
331.4,91.1,0.18704,0.8406,0.2525,1.135
331.5,91.5,0.18802,0.8408,0.2531,1.132
331.6,91.9,0.18882,0.841,0.2523,1.124
331.7,92.3,0.18979,0.8412,0.2489,1.103
331.8,92.7,0.19104,0.8413,0.2464,1.085
331.9,93.1,0.1923,0.8415,0.2497,1.093
332,93.5,0.19332,0.8417,0.2529,1.101
332.1,93.9,0.19422,0.8419,0.2521,1.093
332.2,94.3,0.19522,0.842,0.2514,1.084
332.3,94.7,0.19635,0.8422,0.2523,1.082
332.4,95.1,0.19729,0.8424,0.2535,1.082
332.5,95.5,0.19827,0.8426,0.2533,1.076
332.6,95.9,0.19956,0.8427,0.2539,1.072
332.7,96.3,0.2008,0.8429,0.2558,1.074
332.8,96.7,0.20181,0.8431,0.2564,1.071
332.9,97,0.20258,0.8433,0.2543,1.058
333,97.4,0.20306,0.8435,0.252,1.047
333.1,97.8,0.20385,0.8436,0.2521,1.043
333.2,98.2,0.20534,0.8438,0.2539,1.043
