time,Temp,Heat Flow Rate
[s],[K],[mW/mg]
0,323,-2.16E-03
40.7,323.5,2.67E-02
51.2,324,5.20E-02
59,324.5,7.10E-02
65.4,325,8.73E-02
71.1,325.5,0.10022
76.4,326,0.11565
81.2,326.5,0.12635
85.8,327,0.13626
90.2,327.5,0.14577
94.4,328,0.15476
98.5,328.5,0.16037
102.4,329,0.16735
106.2,329.5,0.17463
110,330,0.18024
113.7,330.5,0.1862
117.3,331,0.18869
120.9,331.5,0.19395
124.4,332,0.19906
127.9,332.5,0.19873
131.4,333,0.20271
134.9,333.5,0.20535
138.4,334,0.20919
141.8,334.5,0.21049
145.2,335,0.21451
148.6,335.5,0.21642
151.9,336,0.21734
155.2,336.5,0.22229
158.6,337,0.22054
161.9,337.5,0.22437
165.2,338,0.22745
168.4,338.5,0.22592
171.7,339,0.23007
174.9,339.5,0.23004
178.2,340,0.23171
181.4,340.5,0.23372
184.6,341,0.2349
187.8,341.5,0.23777
191,342,0.23703
194.3,342.5,0.23901
197.5,343,0.24107
200.8,343.5,0.24121
204,344,0.24236
207.2,344.5,0.24461
210.4,345,0.24633
213.6,345.5,0.24658
216.7,346,0.24873
219.9,346.5,0.25067
223.1,347,0.25097
226.3,347.5,0.2559
229.4,348,0.25461
232.6,348.5,0.2577
235.7,349,0.25751
238.8,349.5,0.26083
242,350,0.26223
245.1,350.5,0.26364
248.2,351,0.26457
251.3,351.5,0.26573
254.4,352,0.26555
257.6,352.5,0.26545
260.7,353,0.26424
263.9,353.5,0.26598
267,354,0.26536
270.1,354.5,0.26791
273.1,355,0.26534
276.2,355.5,0.26487
279.3,356,0.26647
282.4,356.5,0.26403
285.5,357,0.266
288.5,357.5,0.26507
291.6,358,0.26597
294.6,358.5,0.26465
297.7,359,0.26361
300.7,359.5,0.26387
303.8,360,0.2635
306.9,360.5,0.26436
309.9,361,0.26388
313,361.5,0.26477
316,362,0.2628
319,362.5,0.26455
322,363,0.26711
325,363.5,0.26496
328.1,364,0.26721
331.1,364.5,0.26627
334.1,365,0.26719
337.1,365.5,0.2672
340.1,366,0.26641
343.1,366.5,0.26835
346.1,367,0.26853
349.1,367.5,0.27151
352.1,368,0.27426
355.1,368.5,0.27312
358.1,369,0.27557
361,369.5,0.27448
364,370,0.27579
