Time (s),Mass (g),HRR (kW/m2)
0,0.00,0.64
1,0.00,0.00
2,-0.01,0.34
3,-0.05,0.00
4,-0.06,0.00
5,-0.07,0.00
6,-0.08,1.10
7,-0.09,1.79
8,-0.11,0.68
9,-0.13,0.11
10,-0.14,1.28
11,-0.15,0.64
12,-0.17,0.67
13,-0.19,0.00
14,-0.20,0.58
15,-0.22,0.31
16,-0.24,1.69
17,-0.25,1.68
18,-0.27,6.09
19,-0.28,11.71
20,-0.30,22.76
21,-0.33,34.90
22,-0.36,55.56
23,-0.39,76.21
24,-0.45,100.39
25,-0.54,118.85
26,-0.64,135.93
27,-0.75,152.34
28,-0.87,156.87
29,-0.99,162.15
30,-1.12,168.25
31,-1.24,175.54
32,-1.54,180.43
33,-1.64,181.74
34,-1.72,184.59
35,-1.81,181.24
36,-1.88,179.17
37,-2.18,183.17
38,-2.27,181.55
39,-2.36,186.75
40,-2.44,182.61
41,-2.52,179.49
42,-2.79,177.22
43,-2.88,172.36
44,-2.96,170.98
45,-3.04,164.53
46,-3.10,166.89
47,-3.21,161.09
48,-3.32,157.49
49,-3.43,159.46
50,-3.53,154.10
51,-3.65,148.20
52,-3.74,146.36
53,-3.85,143.99
54,-3.95,136.36
55,-4.03,138.85
56,-4.13,138.68
57,-4.22,138.46
58,-4.32,136.13
59,-4.42,137.26
60,-4.51,133.35
61,-4.60,133.99
62,-4.69,131.23
63,-4.79,131.53
64,-4.90,130.97
65,-4.99,129.34
66,-5.07,126.91
67,-5.16,129.23
68,-5.25,124.32
69,-5.34,124.91
70,-5.43,120.88
71,-5.52,118.94
72,-5.60,115.73
73,-5.68,113.80
74,-5.77,112.75
75,-5.85,114.50
76,-5.93,118.34
77,-6.01,120.88
78,-6.09,119.81
79,-6.17,116.62
80,-6.25,116.57
81,-6.33,118.02
82,-6.43,116.96
83,-6.51,115.96
84,-6.60,114.52
85,-6.68,117.67
86,-6.77,118.97
87,-6.85,114.65
88,-6.93,112.65
89,-7.01,115.29
90,-7.09,110.44
91,-7.17,108.05
92,-7.25,107.45
93,-7.33,103.46
94,-7.40,103.29
95,-7.47,101.85
96,-7.55,101.23
97,-7.64,101.59
98,-7.72,100.17
99,-7.78,96.94
100,-7.85,98.21
101,-7.92,96.24
102,-7.99,93.49
103,-8.07,95.71
104,-8.13,94.08
105,-8.20,91.87
106,-8.26,90.52
107,-8.34,91.91
108,-8.41,91.67
109,-8.47,90.07
110,-8.53,90.08
111,-8.60,91.91
112,-8.67,89.87
113,-8.73,87.59
114,-8.79,87.05
115,-8.87,89.51
116,-8.93,87.49
117,-9.00,86.27
118,-9.06,88.54
119,-9.13,87.96
120,-9.18,84.92
121,-9.24,81.83
122,-9.31,83.54
123,-9.37,84.08
124,-9.44,82.35
125,-9.50,80.35
126,-9.56,79.67
127,-9.62,78.32
128,-9.68,79.71
129,-9.73,82.06
130,-9.80,81.22
131,-9.86,80.40
132,-9.92,79.48
133,-9.98,80.40
134,-10.04,78.53
135,-10.10,76.69
136,-10.16,75.47
137,-10.22,77.53
138,-10.27,76.13
139,-10.33,76.19
140,-10.39,74.88
141,-10.44,74.66
142,-10.50,76.15
143,-10.55,74.94
144,-10.60,77.28
145,-10.66,77.73
146,-10.71,77.86
147,-10.77,75.86
148,-10.83,76.04
149,-10.89,77.28
150,-10.94,75.07
151,-11.00,74.15
152,-11.05,73.81
153,-11.10,74.23
154,-11.16,73.18
155,-11.21,72.59
156,-11.27,73.97
157,-11.32,74.56
158,-11.37,75.32
159,-11.44,74.96
160,-11.49,77.44
161,-11.54,75.79
162,-11.59,75.98
163,-11.65,74.92
164,-11.69,73.11
165,-11.75,74.43
166,-11.81,74.11
167,-11.86,74.46
168,-11.92,74.29
169,-11.97,74.36
170,-12.03,75.71
171,-12.08,74.50
172,-12.13,75.22
173,-12.20,73.10
174,-12.25,73.41
175,-12.31,73.61
176,-12.36,74.06
177,-12.41,73.88
178,-12.46,75.64
179,-12.52,73.40
180,-12.58,74.21
181,-12.63,72.50
182,-12.69,72.97
183,-12.74,72.15
184,-12.81,71.26
185,-12.85,73.62
186,-12.90,70.99
187,-12.95,72.64
188,-13.01,72.30
189,-13.06,73.66
190,-13.12,72.68
191,-13.17,71.91
192,-13.22,72.67
193,-13.28,70.95
194,-13.33,71.35
195,-13.39,71.87
196,-13.44,71.66
197,-13.49,70.28
198,-13.54,71.94
199,-13.59,72.13
200,-13.64,73.84
201,-13.70,72.82
202,-13.75,74.47
203,-13.80,71.51
204,-13.86,71.58
205,-13.91,71.72
206,-13.96,71.09
207,-14.01,70.86
208,-14.06,70.64
209,-14.11,70.43
210,-14.17,72.83
211,-14.22,73.23
212,-14.28,72.87
213,-14.33,71.83
214,-14.39,72.32
215,-14.44,69.78
216,-14.49,71.11
217,-14.55,70.85
218,-14.60,71.18
219,-14.65,71.86
220,-14.70,74.72
221,-14.75,73.65
222,-14.80,73.44
223,-14.86,72.64
224,-14.92,73.46
225,-14.97,70.64
226,-15.01,68.44
227,-15.07,71.13
228,-15.13,68.38
229,-15.18,71.16
230,-15.23,69.46
231,-15.28,72.98
232,-15.33,72.95
233,-15.38,70.99
