Time (s),Temperature (C),HRR (W/g)
0,74.824,-0.449
0.5,74.827,-0.169
1,74.828,-0.325
1.5,74.856,-1.257
2,74.904,-2.702
2.5,74.915,-4.831
3,74.958,-6.69
3.5,74.979,-8.623
4,75.082,-10.533
4.501,75.119,-11.843
5,75.186,-12.194
5.5,75.253,-12.313
6,75.337,-11.785
6.5,75.456,-10.475
7,75.562,-8.244
7.5,75.638,-5.351
8,75.778,-1.963
8.5,75.885,1.073
9,75.997,2.802
9.501,76.145,4.514
10.001,76.286,5.845
10.499,76.416,6.579
10.999,76.572,7.325
11.499,76.711,7.309
12,76.907,7.426
12.501,77.061,7.391
13,77.279,6.846
13.5,77.471,6.748
14,77.731,6.604
14.5,77.978,6.337
15,78.257,6.237
15.5,78.553,6.088
16,78.829,6.072
16.5,79.233,5.803
17,79.529,5.446
17.501,79.844,5.553
18.001,80.218,5.474
18.5,80.569,5.444
19,80.988,4.644
19.5,81.324,4.36
20,81.736,4.08
20.501,82.153,3.868
21,82.554,3.684
21.5,82.964,3.648
22,83.389,3.661
22.5,83.841,3.247
23,84.314,3.485
23.5,84.727,2.799
24,85.198,2.741
24.5,85.643,2.479
25.001,86.113,2.383
25.5,86.588,2.416
26,87.068,2.338
26.5,87.508,2.086
27,88.005,2.085
27.5,88.49,1.895
28,88.979,1.676
28.5,89.484,1.17
29,89.973,1.052
29.5,90.493,1.336
30,90.945,1.504
30.501,91.489,1.586
31.001,91.98,1.741
31.5,92.494,2.093
32,93.01,1.699
32.501,93.499,1.682
33,93.996,1.179
33.5,94.518,0.953
34,95.003,1.068
34.501,95.565,0.829
35.001,96.036,0.674
35.5,96.59,0.954
36,97.115,1.166
36.5,97.642,1.149
37,98.151,1.201
37.5,98.705,1.289
38.001,99.204,1.052
38.501,99.766,0.962
39.001,100.258,0.799
39.5,100.814,0.498
40,101.312,0.437
40.5,101.853,0.569
41,102.359,0.748
41.5,102.869,0.507
42,103.428,0.37
42.5,103.981,0.368
43,104.477,0.699
43.501,105.012,0.429
44,105.553,0.482
44.5,106.078,0.406
45,106.61,0.711
45.5,107.153,0.817
46,107.685,0.874
46.5,108.28,0.828
47,108.771,0.926
47.501,109.32,0.792
48,109.835,0.926
48.5,110.364,0.657
49,110.885,0.93
49.501,111.46,0.703
50.001,111.972,0.119
50.501,112.501,0.012
51,113.026,-0.048
51.5,113.544,-0.087
52,114.086,-0.172
52.5,114.628,-0.156
53,115.155,0.189
53.501,115.726,0.262
54,116.258,0.366
54.5,116.806,0.325
55,117.344,0.531
55.501,117.87,0.296
56.001,118.377,0.078
56.501,118.927,-0.045
57.001,119.445,0.045
57.501,119.981,0.176
58.001,120.49,0.688
58.501,121.044,0.708
59,121.589,0.769
59.5,122.111,0.623
60.001,122.648,0.143
60.501,123.189,-0.016
61.001,123.716,-0.303
61.501,124.24,-0.328
62.001,124.787,-0.3
62.501,125.299,0.025
63.001,125.856,0.359
63.501,126.357,-0.073
64.001,126.91,0.219
64.5,127.407,0.639
65,127.952,0.525
65.501,128.481,0.652
66.001,129.014,0.471
66.5,129.538,0.615
67,130.107,0.653
67.501,130.625,0.852
68.001,131.143,0.598
68.501,131.678,0.762
69,132.176,0.984
69.501,132.735,0.594
70.001,133.236,0.263
70.5,133.766,0.545
71,134.303,0.38
71.5,134.844,0.71
72.001,135.352,0.683
72.501,135.879,0.548
73.001,136.392,0.601
73.501,136.929,0.441
74.001,137.448,0.271
74.501,137.977,0.674
75.001,138.494,0.34
75.5,139.005,0.551
76.001,139.543,0.444
76.501,140.085,0.525
77.001,140.603,0.645
77.501,141.11,0.341
78.001,141.619,0.468
78.501,142.178,0.525
79,142.699,0.603
79.501,143.218,0.633
80.001,143.74,0.347
80.501,144.24,0.625
81.001,144.775,0.615
81.5,145.293,0.68
82.001,145.804,0.919
82.501,146.29,1.048
83.001,146.81,1.128
83.501,147.362,1.402
84.001,147.848,1.673
84.502,148.376,1.513
85.001,148.881,1.379
85.5,149.413,1.281
86.001,149.914,0.829
86.502,150.424,0.903
87.002,150.952,0.72
