Time (s),Temperature (C),HRR (W/g)
0,74.805,0.433
0.5,74.798,0.827
0.999,74.8,0.721
1.5,74.814,-0.419
2,74.831,-1.415
2.5,74.865,-3.214
3,74.859,-4.998
3.499,74.965,-6.876
4,74.996,-8.409
4.5,75.082,-9.373
5,75.121,-9.921
5.5,75.181,-9.761
6,75.276,-9.32
6.5,75.35,-8.358
7,75.462,-6.272
7.5,75.57,-3.807
8,75.681,-1.264
8.5,75.788,1.432
8.999,75.901,3.125
9.5,76.032,4.927
10,76.177,6.049
10.5,76.291,6.974
11,76.471,7.095
11.5,76.623,7.246
12,76.761,7.155
12.5,76.944,7.353
13,77.165,7.321
13.5,77.319,7.246
14,77.58,7.066
14.499,77.873,6.88
15,78.127,6.512
15.5,78.397,6.106
15.999,78.719,5.621
16.5,79.023,5.437
17,79.368,4.784
17.5,79.719,4.586
18,80.054,4.55
18.5,80.419,4.528
19,80.809,4.288
19.5,81.198,4.532
20,81.578,4.429
20.5,81.995,4.656
21,82.413,4.301
21.5,82.807,4.039
22,83.243,3.983
22.501,83.674,3.394
23,84.142,2.814
23.5,84.579,2.42
24,85.029,2.254
24.5,85.487,2.281
25,85.936,2.146
25.5,86.416,2.134
26,86.886,2.01
26.5,87.379,2.701
27,87.85,1.991
27.5,88.334,2.012
28,88.812,1.984
28.5,89.273,1.963
29,89.794,1.839
29.5,90.294,1.708
30,90.783,1.779
30.5,91.273,1.798
31,91.791,1.628
31.5,92.295,1.346
32,92.799,1.463
32.5,93.288,1.369
33.001,93.823,1.545
33.5,94.31,1.427
34,94.842,1.424
34.5,95.356,1.11
35,95.885,1.203
35.5,96.388,1.303
36,96.905,1.748
36.501,97.425,1.323
37,97.953,1.159
37.5,98.485,1.176
38,98.983,1.238
38.501,99.513,1.172
39.001,100.067,1.126
39.5,100.557,0.884
40,101.109,1.023
40.5,101.608,0.919
41,102.148,0.865
41.5,102.684,0.953
42,103.204,1.251
42.5,103.697,0.952
43,104.265,0.625
43.5,104.781,0.563
44,105.302,0.699
44.5,105.844,0.686
45,106.395,0.578
