Time,Temperature,HRR
0.000,74.824,-0.786
5.923,75.324,-12.204
8.215,75.824,-0.994
10.147,76.324,5.724
11.788,76.824,7.041
13.117,77.324,6.488
14.188,77.824,6.169
15.113,78.324,5.869
15.991,78.824,5.739
16.654,79.324,5.360
17.469,79.824,5.214
18.152,80.324,5.133
18.804,80.824,4.626
19.500,81.324,4.029
20.106,81.824,3.705
20.714,82.324,3.460
21.329,82.824,3.331
21.924,83.324,3.330
22.481,83.824,2.934
23.012,84.324,3.140
23.603,84.824,2.460
24.142,85.324,2.340
24.693,85.824,2.116
25.223,86.324,2.072
25.746,86.824,2.052
26.291,87.324,1.866
26.818,87.824,1.761
27.329,88.324,1.636
27.842,88.824,1.422
28.342,89.324,1.007
28.848,89.824,0.765
29.338,90.324,0.922
29.866,90.824,1.137
30.349,91.324,1.240
30.842,91.824,1.371
31.335,92.324,1.657
31.820,92.824,1.521
32.322,93.324,1.369
32.827,93.824,1.035
33.314,94.324,0.719
33.815,94.824,0.708
34.286,95.324,0.614
34.776,95.824,0.427
35.260,96.324,0.503
35.723,96.824,0.733
36.198,97.324,0.844
36.679,97.824,0.853
37.156,98.324,0.914
37.619,98.824,0.919
38.108,99.324,0.720
38.560,99.824,0.630
39.060,100.324,0.451
39.510,100.824,0.185
40.011,101.324,0.129
40.473,101.824,0.251
40.965,102.324,0.425
41.456,102.824,0.219
41.907,103.324,0.086
42.358,103.824,0.060
42.846,104.324,0.289
43.325,104.824,0.216
43.789,105.324,0.152
44.258,105.824,0.136
44.731,106.324,0.241
45.197,106.824,0.447
45.661,107.324,0.530
46.117,107.824,0.559
46.545,108.324,0.533
47.048,108.824,0.609
47.505,109.324,0.490
47.989,109.824,0.620
48.462,110.324,0.375
48.941,110.824,0.596
49.383,111.324,0.455
49.856,111.824,-0.013
50.334,112.324,-0.252
50.808,112.824,-0.325
51.288,113.324,-0.370
51.758,113.824,-0.430
52.220,114.324,-0.463
52.686,114.824,-0.325
53.148,115.324,-0.087
53.593,115.824,-0.016
54.060,116.324,0.065
54.517,116.824,0.036
54.981,117.324,0.228
55.457,117.824,0.022
55.949,118.324,-0.193
56.407,118.824,-0.316
56.884,119.324,-0.269
57.355,119.824,-0.155
57.838,120.324,0.229
58.302,120.824,0.408
58.757,121.324,0.448
59.225,121.824,0.413
59.699,122.324,0.142
60.164,122.824,-0.198
60.629,123.324,-0.379
61.104,123.824,-0.597
61.578,124.324,-0.612
62.037,124.824,-0.564
62.523,125.324,-0.247
62.972,125.824,0.053
63.468,126.324,-0.331
63.923,126.824,-0.112
