Time,Temperature,HRR
0.000,74.827,-0.190
5.867,75.327,-7.328
8.335,75.827,-0.842
10.150,76.327,2.777
11.815,76.827,3.857
13.103,77.327,3.628
14.222,77.827,3.316
15.132,78.327,3.632
15.954,78.827,3.394
16.714,79.327,3.105
17.453,79.827,3.300
18.143,80.327,3.014
18.824,80.827,2.820
19.514,81.327,2.934
20.110,81.827,2.477
20.730,82.327,1.684
21.332,82.827,1.498
21.936,83.327,1.697
22.511,83.827,1.208
23.070,84.327,0.910
23.599,84.827,0.699
24.142,85.327,0.819
24.659,85.827,0.506
25.216,86.327,0.440
25.751,86.827,0.662
26.287,87.327,1.044
26.819,87.827,1.432
27.331,88.327,1.602
27.843,88.827,1.949
28.352,89.327,2.038
28.867,89.827,1.910
29.392,90.327,1.609
29.883,90.827,1.395
30.393,91.327,1.077
30.877,91.827,0.516
31.398,92.327,0.003
31.881,92.827,-0.239
32.365,93.327,-0.657
32.851,93.827,-0.997
33.334,94.327,-0.506
33.840,94.827,0.338
34.332,95.327,0.722
34.805,95.827,0.887
35.293,96.327,1.145
35.768,96.827,1.013
36.244,97.327,0.632
36.724,97.827,0.389
37.191,98.327,0.315
37.666,98.827,0.345
38.154,99.327,0.263
38.644,99.827,0.206
39.140,100.327,0.235
39.602,100.827,0.137
40.056,101.327,0.015
40.578,101.827,-0.051
41.041,102.327,0.067
41.510,102.827,0.187
41.971,103.327,0.067
42.433,103.827,0.028
42.924,104.327,0.106
43.391,104.827,0.175
43.852,105.327,0.242
44.310,105.827,0.091
44.785,106.327,0.032
45.246,106.827,0.198
45.699,107.327,0.369
46.171,107.827,0.446
46.654,108.327,0.467
47.136,108.827,0.449
47.591,109.327,0.549
48.067,109.827,0.623
48.517,110.327,0.324
49.004,110.827,0.211
49.468,111.327,0.324
49.952,111.827,0.172
50.426,112.327,-0.145
50.886,112.827,-0.271
51.358,113.327,-0.412
51.826,113.827,-0.510
52.293,114.327,-0.579
52.763,114.827,-0.513
53.222,115.327,-0.328
53.672,115.827,-0.146
54.131,116.327,-0.040
54.592,116.827,-0.066
55.072,117.327,-0.078
55.547,117.827,0.123
56.010,118.327,0.189
56.480,118.827,0.044
56.944,119.327,0.065
57.448,119.827,0.088
57.891,120.327,0.097
58.366,120.827,0.027
58.839,121.327,-0.100
59.303,121.827,-0.171
59.772,122.327,-0.127
60.247,122.827,-0.085
60.709,123.327,-0.171
61.161,123.827,-0.264
61.627,124.327,-0.194
62.110,124.827,-0.078
62.593,125.327,0.015
63.070,125.827,0.079
63.561,126.327,0.256
63.998,126.827,0.233
64.465,127.327,0.019
64.938,127.827,0.309
65.397,128.327,0.361
65.878,128.827,0.069
66.347,129.327,-0.013
66.826,129.827,0.127
67.305,130.327,0.263
67.784,130.827,0.238
68.252,131.327,0.118
68.718,131.827,0.059
69.197,132.327,0.164
69.677,132.827,0.314
70.161,133.327,0.287
70.637,133.827,0.129
71.103,134.327,-0.025
71.583,134.827,0.112
72.057,135.327,0.080
72.532,135.827,0.020
72.993,136.327,0.013
73.470,136.827,-0.344
73.940,137.327,-0.195
74.438,137.827,-0.044
74.920,138.327,-0.168
75.385,138.827,-0.378
75.863,139.327,-0.524
76.346,139.827,-0.474
76.815,140.327,-0.463
77.286,140.827,-0.406
77.769,141.327,-0.205
78.248,141.827,-0.005
78.728,142.327,0.172
79.207,142.827,0.322
79.680,143.327,0.313
80.169,143.827,0.241
80.667,144.327,0.177
81.147,144.827,-0.061
81.605,145.327,-0.319
82.100,145.827,-0.778
82.573,146.327,-0.825
83.066,146.827,-0.969
83.548,147.327,-1.028
84.023,147.827,-0.896
84.508,148.327,-0.708
84.999,148.827,-0.374
85.473,149.327,-0.078
85.944,149.827,0.151
86.423,150.327,-0.038
86.908,150.827,-0.050
87.382,151.327,0.140
87.852,151.827,0.036
88.345,152.327,-0.101
88.837,152.827,-0.120
89.331,153.327,-0.045
89.820,153.827,-0.095
90.307,154.327,-0.017
90.827,154.827,0.034
91.311,155.327,0.088
91.796,155.827,0.147
92.269,156.327,0.190
92.749,156.827,0.123
93.242,157.327,-0.045
93.724,157.827,-0.047
94.205,158.327,-0.010
94.684,158.827,-0.103
95.181,159.327,-0.168
95.673,159.827,-0.253
96.141,160.327,-0.180
96.616,160.827,-0.026
97.138,161.327,-0.155
97.634,161.827,0.103
98.103,162.327,0.334
98.570,162.827,0.601
99.075,163.327,0.658
99.551,163.827,0.814
100.037,164.327,0.563
100.517,164.827,0.787
101.036,165.327,0.158
101.507,165.827,0.170
102.042,166.327,-0.019
102.512,166.827,-0.358
103.006,167.327,-0.041
103.466,167.827,-0.129
103.968,168.327,-0.171
104.442,168.827,-0.415
104.942,169.327,-0.260
105.433,169.827,0.022
105.938,170.327,0.071
106.434,170.827,0.014
106.917,171.327,0.122
107.375,171.827,0.360
107.857,172.327,0.487
108.374,172.827,0.344
108.884,173.327,0.115
109.364,173.827,-0.191
109.851,174.327,-0.192
110.339,174.827,-0.414
110.831,175.327,-0.585
111.305,175.827,-0.482
111.787,176.327,-0.130
112.295,176.827,0.279
112.782,177.327,0.487
113.248,177.827,0.428
113.740,178.327,0.285
114.238,178.827,0.244
114.725,179.327,0.232
115.218,179.827,0.058
115.716,180.327,-0.072
116.211,180.827,0.081
116.684,181.327,0.268
117.175,181.827,0.484
117.666,182.327,0.420
118.163,182.827,0.284
118.671,183.327,-0.001
119.145,183.827,-0.204
119.630,184.327,-0.224
120.140,184.827,-0.327
120.605,185.327,-0.172
121.113,185.827,0.160
121.604,186.327,0.350
122.101,186.827,0.744
122.588,187.327,0.758
123.073,187.827,0.599
123.560,188.327,0.701
124.032,188.827,0.727
124.547,189.327,0.666
125.067,189.827,0.489
125.531,190.327,0.357
126.045,190.827,0.568
126.534,191.327,1.012
127.024,191.827,0.623
127.472,192.327,0.455
127.973,192.827,0.631
128.509,193.327,0.827
128.973,193.827,0.669
129.451,194.327,0.249
129.979,194.827,0.190
130.455,195.327,0.238
130.948,195.827,0.012
131.452,196.327,0.154
131.942,196.827,0.384
132.426,197.327,0.776
132.920,197.827,0.980
133.413,198.327,0.954
133.869,198.827,0.799
134.378,199.327,0.697
134.866,199.827,0.755
135.368,200.327,0.766
135.871,200.827,0.897
136.360,201.327,1.051
136.846,201.827,1.118
137.329,202.327,1.067
137.832,202.827,1.076
138.324,203.327,1.185
138.796,203.827,0.973
139.311,204.327,0.674
139.812,204.827,0.589
140.290,205.327,0.541
140.783,205.827,0.575
141.271,206.327,0.559
141.753,206.827,0.605
142.257,207.327,1.018
142.752,207.827,1.368
143.250,208.327,1.451
143.753,208.827,1.485
144.238,209.327,1.520
144.729,209.827,1.557
145.217,210.327,1.452
145.698,210.827,1.306
146.195,211.327,1.237
146.706,211.827,1.232
147.204,212.327,1.357
147.699,212.827,1.401
148.206,213.327,1.419
148.705,213.827,1.263
149.199,214.327,1.089
149.684,214.827,1.126
150.162,215.327,1.295
150.669,215.827,1.469
151.177,216.327,1.561
151.629,216.827,1.717
152.141,217.327,1.901
152.642,217.827,2.043
153.121,218.327,1.832
153.626,218.827,1.612
154.135,219.327,1.504
154.609,219.827,1.367
155.118,220.327,1.254
155.625,220.827,1.119
156.138,221.327,1.279
156.599,221.827,1.643
157.062,222.327,1.956
157.596,222.827,2.357
158.081,223.327,2.699
158.574,223.827,2.667
159.067,224.327,2.998
159.562,224.827,3.386
160.070,225.327,2.839
160.540,225.827,2.298
161.055,226.327,1.875
161.539,226.827,1.405
162.059,227.327,0.952
162.552,227.827,0.523
163.057,228.327,1.121
163.550,228.827,1.722
164.010,229.327,1.783
164.515,229.827,2.295
165.037,230.327,2.404
165.542,230.827,2.711
166.046,231.327,2.661
166.529,231.827,2.243
167.014,232.327,2.282
167.529,232.827,2.185
168.012,233.327,2.136
168.559,233.827,2.219
169.040,234.327,2.399
169.544,234.827,2.766
170.008,235.327,2.851
170.522,235.827,2.981
170.978,236.327,2.892
171.502,236.827,2.521
171.973,237.327,2.488
172.518,237.827,2.083
172.993,238.327,1.748
173.505,238.827,1.713
173.981,239.327,1.829
174.465,239.827,2.170
174.956,240.327,2.346
175.448,240.827,2.569
175.956,241.327,3.031
176.460,241.827,3.171
176.948,242.327,2.850
177.441,242.827,2.651
177.944,243.327,2.995
178.456,243.827,3.557
178.945,244.327,3.542
179.455,244.827,3.398
179.945,245.327,3.556
180.478,245.827,3.645
180.952,246.327,3.920
181.409,246.827,3.398
181.935,247.327,2.954
182.419,247.827,2.994
182.907,248.327,3.413
183.423,248.827,3.752
183.910,249.327,3.576
184.411,249.827,3.677
184.893,250.327,4.115
185.389,250.827,4.561
185.908,251.327,4.592
186.399,251.827,4.338
186.902,252.327,4.266
