Time (s),Temperature (C),HRR (W/g)
0,75.078,-1.316
0.499,75.052,-1.036
0.999,75.044,-0.844
1.5,75.044,-1.342
2.001,75.035,-2.527
2.501,75.032,-3.931
3,75.022,-5.678
3.5,75.057,-7.416
4,75.034,-8.428
4.499,75.083,-9.168
5,75.087,-9.493
5.5,75.112,-9.133
6,75.121,-8.829
6.499,75.146,-7.987
6.999,75.194,-6.228
7.5,75.247,-4.001
8,75.285,-2.269
8.5,75.302,-0.12
8.999,75.34,1.22
9.5,75.406,2.795
10,75.431,3.296
10.5,75.46,3.859
10.999,75.539,4.28
11.499,75.592,4.622
12,75.62,4.403
12.5,75.717,4.269
13,75.834,4.188
13.5,75.902,4.011
14,76.006,3.295
14.499,76.124,2.75
14.999,76.28,3.091
15.5,76.421,3.185
16,76.562,2.93
16.5,76.706,3.22
17,76.914,3.301
17.5,77.086,3.148
17.999,77.261,2.887
18.499,77.43,2.997
18.999,77.602,2.709
19.5,77.78,2.315
20,78.003,2.24
20.5,78.226,1.789
21,78.44,2.111
21.5,78.668,1.848
22.001,78.896,1.515
22.501,79.128,1.193
23,79.35,1.04
23.5,79.545,1.127
24,79.813,1.042
24.5,80.039,1.576
24.999,80.274,1.525
25.499,80.513,1.707
26,80.743,1.576
26.5,80.987,1.416
27,81.246,0.908
27.5,81.543,0.743
28.001,81.764,0.741
28.5,81.994,0.556
29,82.256,0.451
29.5,82.496,0.561
30,82.744,0.633
30.5,83.022,0.788
31,83.262,0.731
31.501,83.533,0.555
32,83.771,0.703
32.5,84.026,0.529
33,84.337,0.343
33.501,84.583,0.09
34.001,84.852,-0.281
34.501,85.098,-0.314
35.001,85.369,-0.414
35.501,85.606,-0.378
36.001,85.885,-0.069
36.5,86.128,0.396
37.001,86.405,0.827
37.501,86.677,0.905
38,86.953,1.105
38.5,87.211,1.209
39,87.477,0.747
39.501,87.728,0.523
40,87.994,0.491
40.5,88.267,0.424
41,88.516,0.381
41.501,88.787,0.195
42.001,89.077,0.185
42.501,89.335,0.07
43.001,89.609,-0.043
43.5,89.823,-0.638
44,90.116,-0.774
44.501,90.384,-0.792
45.001,90.658,-0.854
45.501,90.939,-0.479
46.001,91.195,-0.19
46.501,91.436,-0.098
47.001,91.774,0.067
47.5,92.017,0.092
48,92.241,0.047
48.5,92.538,-0.117
49,92.8,-0.226
49.501,93.059,-0.209
50.001,93.314,0.082
50.501,93.614,-0.028
51.001,93.839,0.151
51.501,94.105,0.04
52.001,94.383,0.461
52.501,94.648,0.427
53,94.891,0.268
53.501,95.185,0.103
54.001,95.465,-0.023
54.5,95.728,-0.103
55.001,96.008,-0.282
55.501,96.234,-0.504
56.001,96.501,-0.365
56.5,96.769,0.053
57,97.014,0.081
57.5,97.281,-0.373
58.001,97.558,-0.029
58.501,97.83,0.048
59.001,98.075,-0.022
59.501,98.369,-0.257
60.001,98.611,-0.265
60.5,98.923,0.063
61.001,99.181,0.36
61.501,99.456,0.081
62,99.689,0.079
62.5,99.949,0.093
63.001,100.196,-0.2
63.501,100.476,-0.121
64.001,100.719,-0.339
64.501,101.009,-0.541
65.001,101.28,-0.645
65.501,101.54,-0.903
66.001,101.775,-0.689
66.501,102.038,-0.933
67.001,102.335,-0.943
67.5,102.614,-0.491
68.001,102.876,-0.603
68.501,103.113,-0.204
69,103.402,-0.339
69.501,103.665,-0.186
70,103.913,0.133
70.501,104.198,0.016
71.001,104.467,0.048
71.501,104.701,0.158
72.001,104.962,0.499
72.501,105.21,0.302
73.001,105.474,0.125
73.501,105.752,0.324
74,106.015,0.161
74.501,106.29,-0.191
75.001,106.547,-0.333
75.501,106.77,-0.169
76.001,107.032,-0.457
76.5,107.288,-0.543
77,107.599,-0.573
77.5,107.869,-0.545
78.001,108.101,-0.766
78.501,108.365,-0.85
79.001,108.633,-0.292
79.501,108.884,-0.156
80.001,109.146,-0.081
80.501,109.453,0.111
81.001,109.662,0.352
81.501,109.939,0.149
82.001,110.174,0.346
82.501,110.485,-0.073
83.001,110.715,-0.126
83.5,110.971,-0.102
84,111.238,-0.548
84.501,111.502,-0.286
85.001,111.771,-0.486
85.501,112.002,-1.002
86.001,112.266,-0.815
86.501,112.542,-0.728
87.001,112.772,-0.32
87.501,113.07,-0.509
88.001,113.298,-0.512
88.501,113.594,-0.342
89,113.849,-0.397
89.5,114.124,-0.271
90.001,114.373,0.028
90.502,114.62,0.169
91.002,114.89,-0.039
91.501,115.176,-0.086
92.001,115.393,-0.317
92.501,115.669,-0.256
93.001,115.92,-0.102
93.501,116.187,-0.339
94.001,116.447,-0.127
94.501,116.7,-0.023
95.001,116.993,0.053
95.501,117.222,0.166
96.001,117.476,0.368
96.501,117.746,0.501
97.001,117.995,0.459
97.501,118.229,0.209
98.001,118.498,-0.18
98.501,118.762,-0.327
99.001,119.039,-0.216
99.501,119.307,-0.322
100.001,119.523,-0.524
100.501,119.822,-0.161
101.001,120.051,-0.088
101.501,120.319,0.034
102.001,120.6,-0.101
102.502,120.83,0.409
103.002,121.069,0.464
103.501,121.355,0.277
104.001,121.624,0.26
104.501,121.885,0.356
105.001,122.151,-0.169
105.501,122.421,-0.424
106.001,122.641,-0.366
106.501,122.904,0.173
107.001,123.171,0.231
107.501,123.437,-0.239
108.001,123.705,0.14
108.501,123.929,0.24
109.001,124.18,0.037
109.501,124.465,-0.243
110.001,124.706,-0.495
110.501,124.945,0.105
111.001,125.235,0.052
111.501,125.497,-0.158
112.001,125.745,-0.192
112.501,126.014,0.1
113.002,126.251,0.088
113.502,126.479,-0.161
114.001,126.755,-0.218
114.501,126.999,-0.363
115.001,127.261,-0.235
115.501,127.523,-0.303
116.001,127.761,-0.344
116.501,128.044,-0.227
117.001,128.276,0.101
117.502,128.54,0.406
118.001,128.806,0.395
118.501,129.096,0.28
119.001,129.347,0.188
119.501,129.63,0.246
