Time,Temperature,HRR
2.063,74.866,-2.828
7.038,75.366,-9.176
9.318,75.866,2.648
11.249,76.366,6.365
12.717,76.866,7.062
13.942,77.366,6.747
14.910,77.866,6.543
15.812,78.366,5.704
16.592,78.866,5.177
17.370,79.366,4.713
18.114,79.866,4.546
18.781,80.366,4.317
19.410,80.866,3.993
20.057,81.366,3.891
20.691,81.866,3.766
21.289,82.366,3.608
21.895,82.866,3.337
22.464,83.366,2.953
23.023,83.866,2.440
23.583,84.366,2.211
24.127,84.866,1.930
24.703,85.366,1.879
25.234,85.866,1.654
25.764,86.366,1.329
26.289,86.866,1.311
26.808,87.366,1.303
27.330,87.866,1.502
27.838,88.366,1.683
28.347,88.866,1.388
28.867,89.366,1.177
29.376,89.866,0.969
29.876,90.366,0.625
30.378,90.866,0.322
30.894,91.366,0.344
31.353,91.866,0.304
31.876,92.366,0.538
32.365,92.866,0.698
32.843,93.366,0.734
33.340,93.866,0.795
33.835,94.366,0.691
34.314,94.866,0.589
34.774,95.366,0.324
35.236,95.866,0.173
35.722,96.366,0.290
36.218,96.866,0.521
36.705,97.366,0.670
37.180,97.866,0.557
37.640,98.366,0.462
38.106,98.866,0.430
38.593,99.366,0.432
39.069,99.866,-0.232
39.545,100.366,-0.358
40.023,100.866,-0.434
40.472,101.366,-0.437
40.957,101.866,-0.443
41.427,102.366,-0.090
41.908,102.866,0.150
42.403,103.366,0.251
42.866,103.866,0.299
43.313,104.366,0.124
43.775,104.866,0.094
44.245,105.366,0.365
44.721,105.866,0.460
45.201,106.366,0.269
45.665,106.866,0.180
46.126,107.366,0.139
46.580,107.866,0.139
47.079,108.366,-0.171
47.552,108.866,-0.248
48.020,109.366,-0.179
48.461,109.866,-0.135
48.941,110.366,0.027
49.401,110.866,-0.163
49.861,111.366,-0.345
50.326,111.866,-0.270
50.782,112.366,-0.197
51.251,112.866,-0.165
51.731,113.366,-0.144
52.201,113.866,-0.142
52.661,114.366,-0.068
53.114,114.866,0.119
53.581,115.366,0.389
54.055,115.866,0.534
54.494,116.366,0.376
55.007,116.866,0.258
55.478,117.366,0.252
55.935,117.866,0.386
56.378,118.366,0.009
56.890,118.866,-0.385
57.354,119.366,-0.198
57.815,119.866,-0.131
58.287,120.366,-0.298
58.747,120.866,-0.486
59.201,121.366,-0.497
59.669,121.866,-0.352
60.144,122.366,-0.312
60.600,122.866,-0.355
61.079,123.366,-0.273
61.572,123.866,-0.369
62.034,124.366,-0.338
62.512,124.866,-0.000
62.987,125.366,-0.001
63.436,125.866,0.204
63.918,126.366,0.126
64.380,126.866,0.254
64.861,127.366,0.333
65.335,127.866,0.579
65.800,128.366,0.531
66.266,128.866,0.512
66.734,129.366,0.405
67.209,129.866,0.087
67.682,130.366,-0.052
68.150,130.866,-0.046
68.639,131.366,-0.011
69.112,131.866,0.059
69.592,132.366,0.025
70.025,132.866,-0.112
70.528,133.366,0.221
70.997,133.866,0.318
71.457,134.366,0.430
71.943,134.866,0.256
72.443,135.366,0.245
72.901,135.866,0.566
73.334,136.366,0.660
73.820,136.866,0.657
74.310,137.366,0.755
74.782,137.866,0.803
75.285,138.366,0.812
75.764,138.866,0.749
76.222,139.366,0.711
76.712,139.866,0.631
77.216,140.366,0.419
77.692,140.866,0.430
78.152,141.366,0.477
78.627,141.866,0.317
79.087,142.366,0.372
79.562,142.866,0.780
80.047,143.366,0.904
80.556,143.866,0.821
81.011,144.366,1.009
81.502,144.866,1.184
81.970,145.366,0.758
82.476,145.866,0.961
82.955,146.366,0.544
83.423,146.866,0.549
83.898,147.366,0.746
84.395,147.866,0.762
84.884,148.366,0.767
85.352,148.866,0.900
85.822,149.366,0.979
86.303,149.866,1.161
86.778,150.366,1.348
87.254,150.866,1.500
87.750,151.366,1.489
88.238,151.866,1.411
88.707,152.366,1.374
89.193,152.866,1.308
89.709,153.366,1.154
90.213,153.866,1.158
90.697,154.366,1.548
91.171,154.866,1.689
91.629,155.366,1.894
92.131,155.866,1.952
92.632,156.366,2.003
93.088,156.866,1.964
93.579,157.366,1.859
94.072,157.866,1.695
94.549,158.366,1.821
95.050,158.866,1.837
95.541,159.366,1.830
96.045,159.866,1.728
96.523,160.366,1.825
96.989,160.866,1.957
97.478,161.366,1.852
97.966,161.866,1.887
98.454,162.366,1.815
98.936,162.866,1.944
99.426,163.366,2.068
99.917,163.866,2.246
100.423,164.366,2.360
100.888,164.866,2.435
101.367,165.366,2.542
101.854,165.866,2.915
102.371,166.366,2.879
102.858,166.866,3.150
103.328,167.366,3.257
103.837,167.866,3.464
104.313,168.366,3.497
104.800,168.866,3.368
105.298,169.366,3.345
105.791,169.866,3.502
106.285,170.366,3.418
106.767,170.866,3.171
107.252,171.366,2.908
107.743,171.866,2.701
108.227,172.366,2.646
108.705,172.866,2.752
109.186,173.366,3.032
109.684,173.866,3.160
110.166,174.366,3.238
110.650,174.866,3.661
111.132,175.366,3.905
111.632,175.866,4.018
112.127,176.366,4.056
112.620,176.866,4.069
113.114,177.366,3.882
113.599,177.866,4.090
114.079,178.366,4.302
114.590,178.866,4.409
115.073,179.366,4.497
115.518,179.866,4.424
116.037,180.366,4.237
116.530,180.866,4.436
117.048,181.366,4.126
117.521,181.866,4.188
117.980,182.366,4.056
118.475,182.866,4.162
118.995,183.366,4.117
119.468,183.866,4.109
119.971,184.366,4.117
120.474,184.866,4.000
120.940,185.366,4.363
121.440,185.866,4.686
121.932,186.366,4.874
122.428,186.866,4.740
122.928,187.366,4.748
123.416,187.866,4.862
123.907,188.366,5.008
124.400,188.866,4.992
124.878,189.366,4.851
125.353,189.866,4.851
125.850,190.366,4.926
126.343,190.866,5.231
126.831,191.366,5.180
127.323,191.866,5.099
127.808,192.366,5.093
128.299,192.866,5.142
128.788,193.366,5.089
129.282,193.866,5.032
129.768,194.366,5.084
130.250,194.866,5.111
130.761,195.366,5.061
131.269,195.866,5.101
131.758,196.366,5.119
132.235,196.866,5.150
132.721,197.366,5.333
133.222,197.866,5.533
133.707,198.366,5.665
134.200,198.866,5.606
134.684,199.366,5.395
135.173,199.866,5.262
135.665,200.366,5.142
136.176,200.866,5.022
136.647,201.366,5.001
137.121,201.866,5.064
137.617,202.366,5.035
138.132,202.866,5.086
138.621,203.366,5.228
139.109,203.866,5.647
139.611,204.366,5.875
140.100,204.866,5.810
140.609,205.366,5.504
141.088,205.866,5.372
141.581,206.366,5.046
142.077,206.866,5.075
142.585,207.366,5.014
143.076,207.866,5.067
143.564,208.366,5.390
144.070,208.866,5.696
144.534,209.366,5.487
145.012,209.866,5.951
145.529,210.366,6.244
146.028,210.866,6.137
146.508,211.366,6.189
147.017,211.866,6.018
147.510,212.366,5.934
148.023,212.866,5.806
148.489,213.366,5.626
148.989,213.866,5.640
149.498,214.366,5.590
149.984,214.866,6.138
150.475,215.366,6.413
150.953,215.866,6.276
151.441,216.366,6.602
151.935,216.866,6.571
152.434,217.366,6.874
152.938,217.866,6.889
153.423,218.366,6.743
153.935,218.866,6.581
154.428,219.366,6.644
154.913,219.866,6.759
155.424,220.366,6.751
155.905,220.866,6.850
156.411,221.366,7.537
156.889,221.866,7.885
157.388,222.366,8.070
157.894,222.866,7.774
158.377,223.366,7.679
158.886,223.866,7.807
159.386,224.366,7.603
159.881,224.866,7.552
160.355,225.366,7.510
160.850,225.866,7.394
161.337,226.366,7.759
161.846,226.866,8.044
162.352,227.366,7.991
162.855,227.866,7.937
163.329,228.366,8.347
163.819,228.866,8.620
164.324,229.366,8.588
164.806,229.866,8.854
165.315,230.366,9.099
165.817,230.866,9.271
166.306,231.366,9.258
166.802,231.866,9.264
167.294,232.366,9.360
167.801,232.866,9.461
168.310,233.366,9.293
168.800,233.866,9.264
169.298,234.366,9.529
169.778,234.866,9.749
170.261,235.366,9.867
170.784,235.866,9.978
171.295,236.366,10.345
171.785,236.866,10.440
172.279,237.366,10.396
172.778,237.866,10.462
173.265,238.366,10.448
173.758,238.866,10.408
174.258,239.366,10.613
174.762,239.866,10.749
175.261,240.366,10.929
175.761,240.866,11.373
176.253,241.366,11.592
176.734,241.866,11.473
177.220,242.366,11.343
177.731,242.866,11.381
178.244,243.366,11.391
178.737,243.866,11.296
179.224,244.366,11.144
