Time,Mass,HRR
[s],[g],[kW/m2]
330,43.658,501
331,43.492,500.6
332,43.327,499.2
333,43.16,499.5
334,42.993,499.3
335,42.827,499.5
336,42.659,499.9
337,42.491,498.3
338,42.323,500
339,42.154,497.7
340,41.986,501.9
341,41.816,506.5
342,41.647,509.4
343,41.477,512.5
344,41.306,516.8
345,41.135,516.4
346,40.964,514.9
347,40.793,516.3
348,40.621,516.6
349,40.448,518.9
350,40.276,519.8
351,40.102,524
352,39.929,523.2
353,39.755,524.3
354,39.581,526.1
355,39.406,524.9
356,39.23,523.1
357,39.055,524
358,38.879,523.9
359,38.702,524.1
360,38.525,522.6
361,38.348,524.4
362,38.17,524.3
363,37.992,521.7
364,37.814,521.3
365,37.635,523.6
366,37.456,522.4
367,37.276,525.2
368,37.095,524.8
369,36.915,524.3
370,36.734,519.9
371,36.553,517.8
372,36.371,517.4
373,36.189,518.6
374,36.006,520.2
375,35.824,520.8
376,35.641,522.2
377,35.457,525
378,35.273,532.4
379,35.089,536.6
380,34.905,543.8
381,34.72,547.5
382,34.535,549.4
383,34.349,549.2
384,34.163,548.1
385,33.978,545.1
386,33.791,549.9
387,33.605,554.9
388,33.418,553.3
389,33.232,552.4
390,33.044,559.3
391,32.857,563.5
392,32.67,562.4
393,32.482,564.1
394,32.294,565.3
395,32.107,569
396,31.919,574.5
397,31.73,576.7
398,31.543,578.5
399,31.355,583.8
400,31.167,587.2
401,30.979,587.8
402,30.791,590.6
403,30.603,593.2
404,30.415,595.6
405,30.227,595.6
406,30.039,598.1
407,29.852,595.1
408,29.664,595
409,29.477,600.8
410,29.29,601.4
411,29.104,602.4
412,28.917,606.3
413,28.731,610.7
414,28.545,611
415,28.36,616.8
416,28.175,624.5
417,27.99,639.1
418,27.806,650.1
419,27.621,660
420,27.438,676.7
421,27.255,687.4
422,27.073,696
423,26.891,704.7
424,26.709,707
425,26.528,705.2
426,26.348,699.4
427,26.168,694.2
428,25.989,679.4
429,25.811,664.5
430,25.633,654.3
431,25.456,639.8
432,25.279,631.4
433,25.104,618.1
434,24.928,606.7
435,24.754,596
436,24.581,586.8
437,24.408,584.2
438,24.236,576.8
439,24.065,573.6
440,23.894,572.4
441,23.725,570.8
442,23.556,569.1
443,23.388,568.1
444,23.221,564.9
445,23.055,561.1
446,22.89,558.1
447,22.726,557.3
448,22.562,557.3
449,22.399,556
450,22.238,555.9
451,22.077,552.7
452,21.918,547
453,21.759,544.5
454,21.601,542.6
455,21.444,536.5
456,21.288,535.1
457,21.134,529.9
458,20.98,526.1
459,20.827,525.9
460,20.675,525
461,20.524,525.1
462,20.375,524
463,20.226,524.8
464,20.078,525.1
465,19.932,524.9
466,19.786,521.8
467,19.641,524.3
468,19.498,519.1
469,19.355,519.2
470,19.214,518.3
471,19.074,517.4
472,18.935,514.1
473,18.797,509
474,18.659,506
475,18.524,505.1
476,18.389,500.9
477,18.255,499.9
478,18.122,496.7
479,17.991,491.3
480,17.861,484.5
481,17.732,479.3
482,17.603,478.3
483,17.476,476.3
484,17.351,473.2
485,17.226,473.4
486,17.102,470.9
487,16.98,465.3
488,16.858,462.6
489,16.738,456.8
