Time (s),Temperature (K),Reversing Heat Flow (Normalized) W/g,Non-Reversing Heat Flow (Normalized) W/g,Total Heat Flow (Normalized) W/g
792.6,297.1,0.064,0.08,0.144
804,297.6,0.064,0.087,0.151
816,298.1,0.063,0.094,0.157
828,298.6,0.062,0.099,0.162
840.6,299.1,0.062,0.1,0.163
852,299.6,0.062,0.099,0.161
863.4,300.1,0.062,0.098,0.16
874.8,300.6,0.062,0.097,0.159
885,301.1,0.062,0.097,0.159
895.8,301.6,0.062,0.098,0.16
906,302.1,0.062,0.099,0.162
916.8,302.6,0.062,0.101,0.163
927,303.1,0.062,0.103,0.165
937.2,303.6,0.062,0.105,0.167
946.8,304.1,0.062,0.107,0.169
957,304.6,0.062,0.109,0.171
967.2,305.1,0.062,0.111,0.173
977.4,305.6,0.062,0.113,0.176
987.6,306.1,0.062,0.116,0.178
997.8,306.6,0.062,0.118,0.18
1007.4,307.1,0.062,0.12,0.182
1017.6,307.6,0.062,0.122,0.184
1027.8,308.1,0.062,0.124,0.186
1037.4,308.6,0.062,0.126,0.188
1047.6,309.1,0.062,0.128,0.189
1057.8,309.6,0.062,0.129,0.191
1067.4,310.1,0.061,0.131,0.193
1077.6,310.6,0.061,0.133,0.194
1087.8,311.1,0.061,0.134,0.196
1098,311.6,0.061,0.136,0.197
1107.6,312.1,0.061,0.137,0.198
1117.8,312.6,0.061,0.138,0.199
1128,313.1,0.061,0.139,0.2
1137.6,313.6,0.061,0.14,0.201
1147.8,314.1,0.061,0.141,0.201
1158,314.6,0.061,0.141,0.202
1167.6,315.1,0.06,0.142,0.202
1177.8,315.6,0.06,0.142,0.203
1188,316.1,0.06,0.142,0.203
1197.6,316.6,0.06,0.142,0.203
1207.8,317.1,0.06,0.142,0.202
1218,317.6,0.06,0.142,0.202
1227.6,318.1,0.06,0.142,0.202
1237.8,318.6,0.06,0.141,0.201
1248,319.1,0.06,0.141,0.201
1257.6,319.6,0.06,0.14,0.2
1267.8,320.1,0.059,0.139,0.199
1278,320.6,0.059,0.138,0.198
1287.6,321.1,0.059,0.137,0.196
1297.8,321.6,0.059,0.136,0.195
1308,322.1,0.059,0.135,0.194
1317.6,322.6,0.059,0.133,0.192
1327.8,323.1,0.059,0.132,0.191
1337.4,323.6,0.059,0.13,0.189
1347.6,324.1,0.059,0.128,0.187
1357.8,324.6,0.059,0.126,0.185
1367.4,325.1,0.059,0.125,0.183
1377.6,325.6,0.059,0.123,0.181
1387.8,326.1,0.059,0.121,0.179
1397.4,326.6,0.059,0.119,0.177
1407.6,327.1,0.059,0.116,0.175
1417.8,327.6,0.059,0.114,0.173
1427.4,328.1,0.059,0.112,0.17
1437.6,328.6,0.058,0.11,0.168
1447.8,329.1,0.058,0.107,0.166
1457.4,329.6,0.058,0.105,0.163
1467.6,330.1,0.058,0.103,0.161
1477.8,330.6,0.058,0.1,0.159
1487.4,331.1,0.058,0.098,0.156
1497.6,331.6,0.058,0.095,0.154
1507.8,332.1,0.058,0.093,0.151
1517.4,332.6,0.058,0.09,0.149
1527.6,333.1,0.058,0.088,0.146
1537.2,333.6,0.058,0.086,0.144
1547.4,334.1,0.058,0.083,0.141
1557.6,334.6,0.058,0.081,0.139
