Time (s),Mass (g),HRR (kW/m2)
0,85.16,0.00
1,85.16,-0.40
2,85.16,-1.16
3,85.16,-1.49
4,85.16,-1.87
5,85.16,-0.84
6,85.16,3.53
7,85.16,12.92
8,85.16,25.94
9,85.16,40.70
10,85.16,55.14
11,85.16,68.87
12,85.16,81.70
13,85.16,93.31
14,85.16,103.66
15,85.16,112.56
16,85.16,120.39
17,85.16,127.30
18,85.16,132.83
19,85.16,137.52
20,85.16,141.48
21,85.16,145.03
22,85.16,148.16
23,85.16,150.79
24,85.16,152.75
25,85.062,154.04
26,84.865,155.08
27,84.373,156.26
28,84.865,157.40
29,84.373,158.22
30,84.373,158.50
31,84.963,158.44
32,83.684,158.05
33,83.782,157.74
34,83.684,157.72
35,83.782,157.63
36,83.881,157.60
37,83.979,157.20
38,84.077,157.03
39,82.503,156.72
40,83.782,156.31
41,82.995,155.72
42,82.306,154.90
43,83.192,153.80
44,82.896,152.34
45,82.700,150.94
46,82.109,149.60
47,82.798,148.30
48,82.798,146.93
49,83.290,145.75
50,81.814,145.13
51,81.420,144.83
52,81.912,144.70
53,81.617,144.52
54,81.617,144.18
55,81.322,143.67
56,81.715,142.87
57,82.109,142.00
58,82.208,141.40
59,81.519,140.67
60,80.338,139.88
61,81.420,138.90
62,81.027,138.05
63,80.731,137.29
64,80.042,136.36
65,80.731,135.31
66,80.830,134.25
67,79.846,133.63
68,80.436,133.21
69,80.141,132.82
70,80.042,132.26
71,80.436,131.87
72,79.255,131.58
73,80.436,131.24
74,79.846,130.85
75,79.255,130.41
76,79.944,130.11
77,79.550,129.81
78,79.944,129.27
79,79.255,128.86
80,79.846,128.34
81,78.960,128.15
82,78.960,127.60
83,78.861,127.32
84,78.468,126.88
85,78.763,126.68
86,78.566,126.30
87,78.566,125.86
88,78.566,125.31
89,78.369,125.04
90,78.665,125.08
91,77.976,125.38
92,78.566,125.36
93,78.271,125.22
94,78.763,124.93
95,77.976,124.68
96,78.172,124.61
97,77.680,124.61
98,78.172,124.83
99,77.484,124.96
100,77.385,125.08
101,77.188,125.03
102,76.991,124.89
103,76.991,124.73
104,77.877,124.67
105,77.090,124.57
106,77.385,124.42
107,76.499,124.08
108,76.007,123.73
109,76.499,123.51
110,76.991,123.50
111,76.401,123.60
112,76.204,123.67
113,76.696,123.52
114,76.204,123.31
115,75.417,122.90
116,75.220,122.57
117,76.303,122.11
118,76.007,121.47
119,75.417,120.70
120,75.909,120.04
121,75.417,119.56
122,75.023,119.15
123,74.826,118.72
124,75.614,118.29
125,74.925,117.95
126,74.433,117.52
127,75.023,117.07
128,74.728,116.63
129,74.630,116.22
130,74.137,115.77
131,74.334,115.29
132,74.236,114.81
133,74.334,114.46
134,74.236,114.02
135,74.433,113.58
136,73.449,113.26
137,74.039,112.94
138,74.925,112.69
139,74.236,112.28
140,73.744,111.99
141,73.744,111.67
142,73.842,111.41
143,73.744,111.10
144,73.547,110.84
145,73.842,110.46
146,73.153,109.96
147,73.744,109.18
148,73.055,108.41
149,73.350,107.68
150,73.350,107.30
151,72.268,106.92
152,72.760,106.65
153,72.760,106.34
154,72.858,106.17
155,72.464,106.12
156,73.055,106.09
157,72.760,105.98
158,72.563,105.63
159,72.661,105.12
160,72.071,104.57
161,72.661,104.25
162,72.268,103.91
163,71.972,103.55
164,71.677,103.20
165,71.972,102.90
166,72.071,102.76
167,71.382,102.49
168,71.775,102.33
169,71.579,102.28
170,70.890,102.15
171,71.087,102.08
172,71.775,101.86
173,71.480,101.94
174,70.890,102.01
175,70.988,102.17
176,70.004,102.33
177,71.185,102.64
178,71.185,102.92
179,70.201,103.28
180,70.594,103.55
181,70.791,103.91
182,70.890,104.28
183,70.299,104.51
184,71.087,104.78
185,69.315,104.93
186,69.610,105.30
187,69.807,105.53
188,70.299,105.78
189,70.102,105.88
190,69.906,106.14
191,70.004,106.22
192,69.709,105.97
193,69.709,105.42
194,69.217,104.91
195,69.807,104.59
196,69.610,104.34
197,68.823,104.16
198,69.807,104.04
199,69.413,104.09
200,69.413,104.00
201,69.020,103.79
202,69.315,103.17
203,67.937,102.44
204,69.217,101.83
205,68.823,101.66
206,68.232,101.80
207,68.626,101.86
208,68.921,101.84
209,68.429,101.70
210,67.445,101.73
211,68.232,101.81
212,67.740,101.86
213,68.036,101.68
214,68.036,101.48
215,67.839,101.36
216,67.937,101.13
217,67.544,100.71
218,67.445,100.45
219,68.036,100.29
220,67.248,100.23
221,67.445,99.74
222,67.544,99.34
223,67.740,98.95
224,67.150,98.79
225,66.559,98.83
226,66.953,98.76
227,66.953,98.76
228,66.264,98.68
229,66.953,98.75
230,66.953,98.77
231,65.870,98.74
232,66.166,98.58
233,66.953,98.49
234,66.067,98.51
235,65.477,98.82
236,66.166,99.05
237,66.559,99.07
238,65.969,98.97
239,66.461,98.91
240,65.378,98.96
241,65.870,99.08
242,66.559,99.07
243,65.674,99.05
244,65.575,98.78
245,65.870,98.68
246,65.575,98.66
247,64.985,98.95
248,65.575,99.12
249,64.788,99.44
250,64.788,99.60
251,66.067,99.94
252,65.477,100.25
253,65.575,100.64
254,64.788,100.88
255,64.886,100.97
256,64.197,100.95
257,63.607,100.87
258,64.886,100.87
259,64.788,100.89
260,64.690,100.91
261,64.985,101.05
262,64.394,101.28
263,64.296,101.54
264,64.591,101.37
265,64.197,100.94
266,64.690,100.58
267,64.493,100.45
268,64.591,100.22
269,63.115,99.89
270,64.197,99.52
271,63.607,99.38
272,64.001,99.28
273,63.509,99.19
274,63.213,99.06
275,63.902,98.80
276,63.607,98.49
277,63.902,98.25
278,63.312,98.02
279,64.197,97.79
280,63.410,97.46
281,63.410,97.14
282,63.705,96.79
283,63.509,96.59
284,63.410,96.62
285,62.918,96.71
286,63.607,96.61
287,63.410,96.49
288,62.721,96.48
289,63.115,96.57
290,63.016,96.66
291,62.229,96.84
292,62.524,96.86
293,61.934,96.94
294,61.934,96.79
295,62.131,96.79
296,61.835,96.59
297,63.016,96.51
298,61.934,96.38
299,62.131,96.33
300,61.934,96.15
301,61.934,95.82
302,61.934,95.51
303,61.343,95.23
304,61.835,95.10
305,61.048,95.02
306,61.737,95.10
307,61.245,95.14
308,60.753,95.27
309,60.950,95.38
310,60.654,95.61
311,60.851,95.69
312,60.654,95.76
313,60.851,95.77
314,60.261,95.71
315,60.261,95.60
316,60.162,95.52
317,60.359,95.38
318,61.048,95.20
319,60.753,95.09
320,60.162,95.35
321,60.261,95.65
322,61.048,95.81
323,59.867,95.72
324,59.277,95.59
325,60.458,95.40
326,59.966,95.36
327,60.064,95.48
328,59.966,95.74
329,59.375,95.84
330,58.981,95.73
331,60.950,95.54
332,59.473,95.38
333,59.080,95.31
334,60.162,95.19
335,58.785,94.99
336,59.178,94.79
337,59.178,94.59
338,59.178,94.60
339,58.588,94.66
340,59.080,94.80
341,58.588,94.78
342,58.588,94.66
343,58.785,94.52
344,58.883,94.27
345,58.391,93.96
346,58.292,93.58
347,58.096,93.32
348,59.080,93.10
349,57.997,93.10
350,59.080,93.09
351,58.588,93.01
352,57.800,92.71
353,57.997,92.50
354,58.588,92.59
355,57.899,92.57
356,59.080,92.33
357,58.292,91.81
358,57.899,91.45
359,57.899,91.18
360,57.800,90.96
361,57.800,90.63
362,58.096,90.47
363,57.702,90.24
364,57.407,90.15
365,57.505,89.95
366,57.210,89.88
367,57.604,89.62
368,57.997,89.35
369,57.604,89.04
370,57.308,88.97
371,56.718,88.93
372,57.111,89.07
373,56.521,89.02
374,56.915,88.93
375,57.702,88.69
376,56.619,88.66
377,57.407,88.64
378,56.915,88.69
379,56.521,88.72
380,57.111,88.72
381,56.915,88.56
382,56.127,88.18
383,56.915,87.92
384,56.324,87.81
385,56.619,87.86
386,56.816,87.95
387,56.816,88.01
388,55.537,88.09
389,56.324,88.03
390,56.127,88.10
391,56.029,88.12
392,55.438,88.17
393,56.226,87.97
394,54.553,87.80
395,55.242,87.44
396,55.242,87.19
397,54.946,87.01
398,55.242,86.98
399,55.734,86.86
400,55.635,86.44
401,55.635,86.21
402,54.651,86.04
403,55.438,86.09
404,55.734,86.04
405,54.848,85.97
406,55.045,85.94
407,54.946,85.86
408,54.750,85.99
409,55.242,86.02
410,54.750,85.97
411,55.143,85.83
412,54.454,85.90
413,54.651,86.08
414,54.651,86.31
415,55.143,86.50
416,54.553,86.59
417,53.667,86.63
418,54.651,86.56
419,54.159,86.49
420,54.257,86.55
421,54.061,86.50
422,54.454,86.38
423,54.651,86.19
424,54.750,85.94
425,54.257,85.91
426,53.962,85.75
427,53.372,85.74
428,53.569,85.69
429,53.962,85.80
430,53.372,85.81
431,53.569,85.57
432,53.273,85.24
433,53.076,85.03
434,52.978,85.13
435,53.765,85.14
436,52.486,85.01
437,52.683,84.80
438,53.076,84.63
439,53.076,84.75
440,52.880,84.87
441,53.569,84.93
442,52.978,84.91
443,53.273,84.86
444,52.683,85.05
445,53.273,85.16
446,52.683,85.11
447,52.388,84.97
448,52.289,84.80
449,52.388,84.73
450,53.076,84.44
451,52.388,84.14
452,51.797,83.84
453,52.584,83.65
454,51.994,83.40
455,52.486,83.17
456,51.502,83.00
457,51.699,82.76
458,51.699,82.58
459,51.797,82.49
460,52.092,82.61
461,51.895,82.75
462,51.797,82.97
463,52.191,82.99
464,51.010,82.76
465,51.305,82.42
466,51.895,82.29
467,50.714,82.38
468,51.108,82.38
469,51.403,82.29
470,50.714,82.23
471,51.108,82.28
472,51.600,82.37
473,51.207,82.28
474,51.010,82.29
475,51.403,82.38
476,51.305,82.59
477,50.222,82.58
478,51.699,82.52
479,51.403,82.40
480,49.829,82.33
481,50.911,82.23
482,50.518,82.08
483,50.124,81.91
484,50.714,81.64
485,50.321,81.44
486,50.714,81.39
487,50.222,81.30
488,49.730,81.23
489,49.533,81.13
490,49.730,81.16
491,49.632,81.23
492,49.337,81.26
493,49.632,81.20
494,49.730,81.18
495,49.238,81.15
496,49.927,81.19
497,49.632,81.28
498,49.632,81.40
499,49.632,81.44
500,49.533,81.51
501,49.041,81.44
502,49.730,81.35
503,49.632,80.93
504,49.730,80.57
505,49.632,80.25
506,48.549,80.12
507,49.632,79.94
508,48.549,79.69
509,49.140,79.31
510,49.238,79.01
511,48.549,78.96
512,49.238,78.93
513,48.746,78.96
514,48.549,79.03
515,49.140,79.14
516,48.648,79.03
517,48.352,78.65
518,48.451,78.14
519,48.549,77.71
520,48.746,77.42
521,47.565,77.29
522,47.860,77.05
523,47.959,76.68
524,48.549,76.26
525,47.664,75.88
526,47.762,75.71
527,47.959,75.63
528,47.959,75.61
529,47.762,75.59
530,47.860,75.55
531,47.959,75.57
532,47.270,75.52
533,47.467,75.56
534,47.762,75.54
535,47.270,75.55
536,47.664,75.56
537,47.368,75.63
538,47.270,75.70
539,47.762,75.54
540,47.664,75.42
541,46.975,75.33
542,47.073,75.27
543,47.270,75.18
544,46.975,74.98
545,47.270,74.87
546,47.073,74.69
547,46.679,74.51
548,46.876,74.43
549,46.778,74.33
550,47.073,74.33
551,46.089,74.15
552,46.778,73.66
553,46.679,73.21
554,46.483,72.84
555,46.089,72.95
556,46.089,72.97
557,45.794,73.05
558,46.089,73.06
559,46.286,73.01
560,46.286,72.81
