Time (s),Temperature (K),Reversing Heat Flow (Normalized) W/g,Non-Reversing Heat Flow (Normalized) W/g,Total Heat Flow (Normalized) W/g
794.4,296.85,0.08,0.081,0.161
806.4,297.35,0.079,0.088,0.167
818.4,297.85,0.079,0.092,0.17
831,298.35,0.078,0.092,0.171
842.4,298.85,0.078,0.091,0.169
853.8,299.35,0.078,0.09,0.168
864.6,299.85,0.078,0.089,0.168
874.8,300.35,0.078,0.09,0.168
885.6,300.85,0.079,0.091,0.169
895.8,301.35,0.079,0.092,0.171
906,301.85,0.079,0.094,0.172
916.2,302.35,0.079,0.096,0.174
926.4,302.85,0.079,0.098,0.176
936.6,303.35,0.079,0.1,0.178
946.8,303.85,0.079,0.102,0.181
957,304.35,0.079,0.104,0.183
966.6,304.85,0.079,0.106,0.185
976.8,305.35,0.079,0.108,0.187
987,305.85,0.079,0.11,0.189
997.2,306.35,0.078,0.112,0.191
1006.8,306.85,0.078,0.114,0.193
1017,307.35,0.078,0.116,0.195
1027.2,307.85,0.078,0.118,0.196
1036.8,308.35,0.078,0.12,0.198
1047,308.85,0.078,0.121,0.2
1057.2,309.35,0.078,0.123,0.201
1066.8,309.85,0.078,0.124,0.203
1077,310.35,0.078,0.126,0.204
1087.2,310.85,0.078,0.127,0.205
1096.8,311.35,0.078,0.128,0.206
1107,311.85,0.078,0.129,0.207
1117.2,312.35,0.078,0.13,0.208
1126.8,312.85,0.078,0.131,0.209
1137,313.35,0.078,0.132,0.209
1147.2,313.85,0.078,0.132,0.21
1156.8,314.35,0.078,0.133,0.21
1167,314.85,0.078,0.133,0.21
1177.2,315.35,0.078,0.133,0.21
1186.8,315.85,0.077,0.133,0.21
1197,316.35,0.077,0.133,0.21
1207.2,316.85,0.077,0.133,0.21
1216.8,317.35,0.077,0.132,0.21
1227,317.85,0.077,0.132,0.209
1237.2,318.35,0.077,0.131,0.208
1246.8,318.85,0.077,0.13,0.208
1257,319.35,0.077,0.13,0.207
1267.2,319.85,0.077,0.129,0.206
1276.8,320.35,0.077,0.128,0.205
1287,320.85,0.077,0.126,0.203
1297.2,321.35,0.077,0.125,0.202
1306.8,321.85,0.077,0.124,0.201
1317,322.35,0.077,0.122,0.199
1327.2,322.85,0.077,0.121,0.198
1336.8,323.35,0.077,0.119,0.196
1347,323.85,0.077,0.117,0.194
1357.2,324.35,0.077,0.116,0.193
1366.8,324.85,0.077,0.114,0.191
1377,325.35,0.077,0.112,0.189
1387.2,325.85,0.077,0.11,0.187
1396.8,326.35,0.077,0.108,0.185
1407,326.85,0.077,0.106,0.183
1417.2,327.35,0.077,0.104,0.181
1426.8,327.85,0.077,0.101,0.178
1437,328.35,0.077,0.099,0.176
1447.2,328.85,0.077,0.097,0.174
1456.8,329.35,0.077,0.094,0.172
1467,329.85,0.077,0.092,0.169
1477.2,330.35,0.077,0.09,0.167
1486.8,330.85,0.078,0.087,0.165
