Time (s),Temperature (K),Reversing Heat Flow (Normalized) W/g,Non-Reversing Heat Flow (Normalized) W/g,Total Heat Flow (Normalized) W/g
793.2,296.96,0.091,0.044,0.134
805.2,297.46,0.09,0.049,0.139
817.2,297.96,0.089,0.054,0.143
829.8,298.46,0.089,0.056,0.145
841.8,298.96,0.088,0.057,0.145
853.2,299.46,0.088,0.056,0.145
864,299.96,0.089,0.056,0.144
874.8,300.46,0.089,0.056,0.145
885.6,300.96,0.089,0.057,0.146
895.8,301.46,0.089,0.058,0.147
906.6,301.96,0.089,0.059,0.149
916.8,302.46,0.089,0.061,0.15
927,302.96,0.089,0.063,0.152
936.6,303.46,0.089,0.065,0.154
946.8,303.96,0.09,0.067,0.156
957,304.46,0.09,0.069,0.158
967.2,304.96,0.09,0.071,0.161
977.4,305.46,0.09,0.073,0.163
987,305.96,0.09,0.075,0.165
997.2,306.46,0.09,0.078,0.168
1007.4,306.96,0.09,0.08,0.17
1017.6,307.46,0.09,0.083,0.173
1027.2,307.96,0.09,0.085,0.175
1037.4,308.46,0.09,0.088,0.178
1047.6,308.96,0.09,0.09,0.18
1057.8,309.46,0.09,0.093,0.183
1067.4,309.96,0.09,0.095,0.185
1077.6,310.46,0.09,0.098,0.188
1087.8,310.96,0.09,0.1,0.191
1097.4,311.46,0.09,0.103,0.193
1107.6,311.96,0.09,0.105,0.196
1117.8,312.46,0.091,0.108,0.198
1127.4,312.96,0.091,0.11,0.201
1137.6,313.46,0.091,0.112,0.203
1147.8,313.96,0.091,0.115,0.206
1157.4,314.46,0.091,0.117,0.208
1167.6,314.96,0.091,0.119,0.21
1177.8,315.46,0.091,0.122,0.213
1187.4,315.96,0.091,0.124,0.215
1197.6,316.46,0.091,0.126,0.217
1207.8,316.96,0.091,0.128,0.219
1217.4,317.46,0.091,0.13,0.221
1227.6,317.96,0.091,0.132,0.223
1237.8,318.46,0.091,0.134,0.225
1247.4,318.96,0.091,0.136,0.227
1257.6,319.46,0.091,0.137,0.228
1267.8,319.96,0.091,0.139,0.23
1277.4,320.46,0.091,0.14,0.231
1287.6,320.96,0.091,0.142,0.233
1297.8,321.46,0.091,0.143,0.234
1308,321.96,0.091,0.144,0.235
1317.6,322.46,0.091,0.145,0.236
1327.8,322.96,0.091,0.146,0.237
1338,323.46,0.091,0.146,0.237
1347.6,323.96,0.091,0.147,0.238
1357.8,324.46,0.091,0.147,0.238
1368,324.96,0.091,0.148,0.239
1377.6,325.46,0.091,0.148,0.239
1387.8,325.96,0.091,0.148,0.239
1397.4,326.46,0.091,0.148,0.239
1407.6,326.96,0.091,0.148,0.239
1417.8,327.46,0.091,0.148,0.238
1427.4,327.96,0.091,0.147,0.238
1437.6,328.46,0.09,0.147,0.237
1447.8,328.96,0.09,0.146,0.237
