Time (s),Temperature (K),Mass (mg)
873,458.64,4.692
876,459.14,4.6906
879,459.64,4.6894
882,460.14,4.6883
885,460.64,4.6872
888,461.14,4.6861
891,461.64,4.6848
894,462.14,4.6838
897,462.64,4.6826
900,463.14,4.6816
903,463.64,4.6803
906,464.14,4.6793
909,464.64,4.678
912,465.14,4.6771
915,465.64,4.6757
918,466.14,4.6747
921,466.64,4.6733
924,467.14,4.6722
927,467.64,4.671
930,468.14,4.6698
933,468.64,4.6685
936,469.14,4.6671
939,469.64,4.666
942,470.14,4.6648
945,470.64,4.6635
948,471.14,4.6624
951,471.64,4.6613
954,472.14,4.6601
957,472.64,4.6586
960,473.14,4.6571
963,473.64,4.6552
966,474.14,4.6537
969,474.64,4.6525
972,475.14,4.6511
975,475.64,4.65
978,476.14,4.6486
981,476.64,4.6475
984,477.14,4.6461
987,477.64,4.6449
990,478.14,4.6435
993,478.64,4.642
996,479.14,4.6407
999,479.64,4.6392
1002,480.14,4.6377
1005,480.64,4.6363
1008,481.14,4.6349
1011,481.64,4.6334
1014,482.14,4.632
1017,482.64,4.63
1020,483.14,4.628
1023,483.64,4.6259
1026,484.14,4.6242
1029,484.64,4.6231
1032,485.14,4.6216
1035,485.64,4.6202
1038,486.14,4.6188
1041,486.64,4.6173
1044,487.14,4.6157
1047,487.64,4.6139
1050,488.14,4.612
1053,488.64,4.61
1056,489.14,4.6076
1059,489.64,4.6059
1062,490.14,4.6044
1065,490.64,4.6027
1068,491.14,4.6012
1071,491.64,4.5992
1074,492.14,4.5971
1077,492.64,4.5951
1080,493.14,4.5928
1083,493.64,4.5907
1086,494.14,4.5884
1089,494.64,4.5864
1092,495.14,4.5841
1095,495.64,4.582
1098,496.14,4.5799
1101,496.64,4.578
1104,497.14,4.5757
1107,497.64,4.5736
1110,498.14,4.5714
1113,498.64,4.5696
1116,499.14,4.5676
1119,499.64,4.565
1122,500.14,4.5623
1125,500.64,4.5596
1128,501.14,4.5568
1131,501.64,4.5542
1134,502.14,4.5516
1137,502.64,4.5491
1140,503.14,4.5466
1143,503.64,4.5441
1146,504.14,4.5414
1149,504.64,4.5388
1152,505.14,4.5359
1155,505.64,4.5331
1158,506.14,4.5304
1161,506.64,4.5276
1164,507.14,4.5246
1167,507.64,4.5212
1170,508.14,4.5183
1173,508.64,4.5154
1176,509.14,4.5122
1179,509.64,4.5091
1182,510.14,4.5056
1185,510.64,4.5018
1188,511.14,4.4986
1191,511.64,4.4955
1194,512.14,4.4921
1197,512.64,4.4886
1200,513.14,4.4851
1203,513.64,4.4817
1206,514.14,4.4782
1209,514.64,4.4748
1212,515.14,4.4712
1215,515.64,4.4674
1218,516.14,4.4637
1221,516.64,4.4598
1224,517.14,4.4557
1227,517.64,4.4516
1230,518.14,4.4475
1233,518.64,4.4434
1236,519.14,4.4394
1239,519.64,4.4349
1242,520.14,4.4306
1245,520.64,4.4264
1248,521.14,4.4217
1251,521.64,4.4175
1254,522.14,4.4131
1257,522.64,4.4085
1260,523.14,4.4041
1263,523.64,4.3991
