Time (s),Mass (g),HRR (kW/m2)
0,101.3,0
1,101.3,0
2,101.3,0
3,101.3,0
4,101.3,0
5,101.3,0
6,101.3,0
7,101.3,0
8,101.3,0
9,101.3,0
10,101.3,0
11,101.3,0
12,101.3,0
13,101.3,0
14,101.3,0
15,101.3,0
16,101.3,0
17,101.3,0
18,101.3,0
19,101.3,0
20,101.3,0
21,101.3,0
22,101.3,0
23,101.3,0
24,101.3,0
25,101.3,0.77
26,100.648,3.18
27,100.927,6.04
28,101.020,9.30
29,100.927,12.93
30,100.648,16.85
31,100.648,21.03
32,100.648,25.49
33,100.648,30.19
34,100.648,35.06
35,99.529,40.09
36,100.089,45.29
37,100.741,50.60
38,101.766,56.02
39,98.970,61.48
40,100.089,67.01
41,99.809,72.57
42,100.089,78.16
43,99.995,83.62
44,99.529,88.64
45,99.343,93.18
46,99.343,97.22
47,98.784,100.71
48,98.970,103.79
49,98.784,106.47
50,98.411,108.78
51,98.598,110.81
52,97.759,112.53
53,97.386,113.95
54,97.852,115.10
55,97.759,116.05
56,97.666,116.83
57,97.666,117.44
58,96.734,117.93
59,98.132,118.32
60,97.200,118.63
61,96.361,118.84
62,97.200,118.97
63,96.641,119.02
64,97.666,119.00
65,97.479,118.93
66,96.734,118.79
67,96.920,118.59
68,96.454,118.35
69,96.361,118.05
70,96.454,117.70
71,97.200,117.31
72,97.107,116.87
73,96.268,116.42
74,96.734,115.97
75,96.361,115.49
76,95.895,115.00
77,95.709,114.53
78,96.548,114.04
79,95.802,113.55
80,95.709,113.01
81,95.522,112.47
82,96.361,111.95
83,95.802,111.42
84,96.548,110.90
85,96.641,110.38
86,95.988,109.89
87,96.082,109.41
88,94.870,108.97
89,95.709,108.51
90,95.150,108.05
91,95.057,107.61
92,95.057,107.16
93,94.963,106.74
94,94.591,106.32
95,95.150,105.90
96,95.150,105.49
97,95.150,105.10
98,94.963,104.69
99,93.938,104.29
100,94.684,103.86
101,94.963,103.46
102,94.404,103.06
103,94.497,102.64
104,94.497,102.20
105,94.218,101.75
106,94.031,101.30
107,94.404,100.85
108,94.404,100.40
109,93.379,99.96
110,93.379,99.54
111,93.845,99.13
112,93.286,98.72
113,93.472,98.33
114,93.566,97.94
115,93.100,97.57
116,93.752,97.21
117,95.243,96.85
118,93.938,96.49
119,93.845,96.12
120,93.752,95.75
121,93.845,95.38
122,93.100,95.03
123,92.541,94.70
124,92.075,94.39
125,92.447,94.12
126,92.727,93.87
127,91.795,93.62
128,91.888,93.38
129,91.795,93.14
130,93.379,92.90
131,92.261,92.66
132,91.888,92.42
133,91.422,92.22
134,92.541,92.03
135,90.863,91.86
136,91.981,91.69
137,92.541,91.53
138,91.981,91.40
139,91.702,91.27
140,90.863,91.14
141,91.515,91.05
142,90.490,90.99
143,90.397,90.93
144,90.863,90.89
145,90.863,90.88
146,90.118,90.85
147,90.211,90.83
148,89.652,90.81
149,90.024,90.78
150,90.024,90.76
151,89.838,90.73
152,89.279,90.71
153,88.813,90.70
154,89.093,90.67
155,88.906,90.65
156,89.745,90.62
157,89.559,90.60
158,89.745,90.58
159,89.745,90.56
160,90.118,90.56
161,89.559,90.58
162,89.372,90.55
163,89.093,90.53
164,89.652,90.48
165,89.465,90.43
166,89.093,90.35
167,89.931,90.27
168,90.211,90.20
169,88.534,90.15
170,89.279,90.11
171,88.720,90.08
172,89.745,90.06
173,89.745,90.07
174,88.720,90.09
175,88.999,90.12
176,88.813,90.13
177,89.838,90.13
178,88.254,90.11
179,88.254,90.11
180,88.440,90.09
181,88.254,90.06
182,89.745,90.02
183,88.534,89.99
184,87.602,89.95
185,88.440,89.94
186,87.695,89.93
187,87.322,89.95
188,88.161,89.94
189,87.881,89.88
190,87.695,89.83
191,86.949,89.77
192,86.670,89.70
193,86.111,89.65
194,86.763,89.59
195,85.086,89.51
196,86.670,89.41
197,86.111,89.34
198,85.645,89.26
199,86.577,89.18
200,84.620,89.09
201,86.204,88.99
202,84.154,88.89
203,84.899,88.80
204,85.179,88.71
205,85.086,88.61
206,84.340,88.51
207,86.390,88.37
208,86.111,88.23
209,85.738,88.10
210,84.806,88.00
211,85.924,87.88
212,85.179,87.76
213,85.179,87.63
214,85.086,87.48
215,85.365,87.34
216,84.713,87.19
217,85.924,87.07
218,85.645,86.94
219,85.272,86.82
220,85.086,86.70
221,84.899,86.59
222,85.272,86.47
223,84.899,86.38
224,84.620,86.28
225,84.527,86.18
226,84.899,86.07
227,84.340,85.95
228,84.713,85.85
229,84.527,85.75
230,85.272,85.65
231,85.831,85.55
232,83.967,85.45
233,85.552,85.34
234,84.247,85.24
235,85.365,85.11
236,85.458,84.97
237,84.527,84.84
238,85.086,84.72
239,85.086,84.59
240,84.992,84.49
241,84.527,84.40
242,84.247,84.34
243,83.781,84.29
244,85.552,84.24
245,83.967,84.18
246,83.222,84.12
247,83.315,84.05
248,83.222,83.98
249,83.129,83.88
250,82.849,83.75
251,82.383,83.68
252,82.942,83.63
253,81.917,83.58
254,82.942,83.55
255,80.799,83.53
256,81.917,83.54
257,82.383,83.57
258,81.824,83.60
259,82.010,83.60
260,81.638,83.61
261,82.010,83.59
262,82.290,83.58
263,81.917,83.54
264,82.383,83.51
265,82.383,83.49
266,82.104,83.47
267,82.383,83.42
268,82.010,83.38
269,82.197,83.35
270,82.197,83.34
271,82.104,83.32
272,81.172,83.28
273,82.197,83.20
274,81.824,83.13
275,81.358,83.04
276,82.290,82.93
277,80.613,82.81
278,80.892,82.63
279,81.451,82.42
280,81.358,82.22
281,80.520,82.01
282,82.197,81.80
283,81.265,81.60
284,80.799,81.42
285,81.079,81.23
286,81.079,81.03
287,80.706,80.84
288,81.172,80.67
289,80.706,80.51
290,80.240,80.37
291,80.333,80.24
292,80.520,80.14
293,80.333,80.05
294,80.613,80.00
295,80.520,79.93
296,80.147,79.89
297,80.054,79.85
298,80.426,79.82
299,79.588,79.85
300,79.588,79.91
301,80.147,79.98
302,79.122,80.09
303,79.401,80.19
304,79.494,80.28
305,79.681,80.33
306,79.029,80.39
307,78.563,80.43
308,78.935,80.45
309,78.376,80.49
310,77.817,80.53
311,78.563,80.59
312,78.190,80.65
313,78.563,80.68
314,78.097,80.68
315,77.724,80.64
316,78.190,80.62
317,78.190,80.57
318,78.656,80.52
319,78.190,80.48
320,78.097,80.43
321,78.656,80.38
322,78.283,80.33
323,78.376,80.25
324,78.097,80.19
325,78.469,80.13
326,77.631,80.10
327,78.283,80.06
328,79.122,80.06
329,78.469,80.07
330,77.817,80.07
331,78.376,80.05
332,78.376,80.01
333,78.190,79.94
334,77.072,79.92
335,77.631,79.91
336,78.190,79.92
337,78.003,79.93
338,77.817,79.97
339,77.724,80.01
340,77.351,80.05
341,77.165,80.09
342,77.258,80.12
343,77.444,80.15
344,77.072,80.19
345,77.165,80.22
346,76.513,80.24
347,77.444,80.23
348,76.513,80.21
349,76.233,80.17
350,76.606,80.14
351,76.885,80.10
352,76.326,80.05
353,76.047,80.00
354,76.792,79.98
355,75.860,79.94
356,75.394,79.89
357,75.487,79.82
358,75.208,79.73
359,75.487,79.63
360,75.581,79.52
361,75.860,79.42
362,75.115,79.28
363,75.487,79.14
364,75.581,78.96
365,75.022,78.81
366,75.208,78.63
367,75.767,78.45
