Time,Temperature,Heat Flow
[s],[K],[W/g]
1392.783,325.844,-0.26365
1393.0566,325.944,-0.26407
1393.3326,326.044,-0.26656
1393.6092,326.144,-0.26894
1393.8804,326.244,-0.27124
1394.154,326.344,-0.27417
1394.4222,326.444,-0.27487
1394.6898,326.544,-0.27759
1394.9568,326.644,-0.28141
1395.2262,326.744,-0.28314
1395.4938,326.844,-0.28402
1395.762,326.944,-0.28657
1396.0248,327.044,-0.28988
1396.2912,327.144,-0.29308
1396.5552,327.244,-0.29452
1396.818,327.344,-0.29675
1397.0796,327.444,-0.29835
1397.343,327.544,-0.30055
1397.6064,327.644,-0.30432
1397.865,327.744,-0.3062
1398.12,327.844,-0.30607
1398.3762,327.944,-0.30957
1398.6336,328.044,-0.31474
1398.8922,328.144,-0.31557
1399.1478,328.244,-0.31752
1399.4016,328.344,-0.32019
1399.656,328.444,-0.32328
1399.9092,328.544,-0.32351
1400.1624,328.644,-0.32774
1400.4144,328.744,-0.32828
1400.667,328.844,-0.33087
1400.9166,328.944,-0.33287
1401.1656,329.044,-0.33463
1401.4128,329.144,-0.33712
1401.6582,329.244,-0.34001
1401.9066,329.344,-0.34357
1402.1532,329.444,-0.3473
1402.4004,329.544,-0.35011
1402.6464,329.644,-0.35365
1402.8888,329.744,-0.35476
1403.1306,329.844,-0.35658
1403.3748,329.944,-0.36033
1403.619,330.044,-0.36216
1403.8584,330.144,-0.36499
1404.0984,330.244,-0.36785
1404.3378,330.344,-0.37086
1404.579,330.444,-0.37216
1404.8166,330.544,-0.37535
1405.0512,330.644,-0.37754
1405.2846,330.744,-0.37984
1405.524,330.844,-0.37948
1405.7616,330.944,-0.38137
1405.9956,331.044,-0.38338
1406.2272,331.144,-0.38561
1406.4624,331.244,-0.38704
1406.6952,331.344,-0.38929
1406.928,331.444,-0.39223
1407.1614,331.544,-0.39425
1407.396,331.644,-0.39847
1407.6306,331.744,-0.40152
1407.8628,331.844,-0.40213
1408.0944,331.944,-0.40376
1408.3248,332.044,-0.40552
1408.557,332.144,-0.40789
1408.7874,332.244,-0.41024
1409.019,332.344,-0.41215
1409.2488,332.444,-0.41283
1409.4774,332.544,-0.41611
1409.7048,332.644,-0.41921
1409.928,332.744,-0.42095
1410.1542,332.844,-0.42292
1410.3798,332.944,-0.42519
1410.6054,333.044,-0.4269
1410.831,333.144,-0.42981
1411.0536,333.244,-0.43372
1411.2792,333.344,-0.43462
1411.5006,333.444,-0.43806
1411.7244,333.544,-0.44061
1411.9458,333.644,-0.44211
1412.1672,333.744,-0.44524
1412.3868,333.844,-0.4483
1412.6076,333.944,-0.45181
1412.8266,334.044,-0.45381
1413.0468,334.144,-0.45621
1413.2634,334.244,-0.45745
1413.4788,334.344,-0.45883
1413.696,334.444,-0.45982
1413.915,334.544,-0.46195
1414.1316,334.644,-0.46348
1414.347,334.744,-0.46612
1414.5636,334.844,-0.46766
1414.7778,334.944,-0.46937
1414.992,335.044,-0.4723
1415.2068,335.144,-0.47462
1415.4198,335.244,-0.47653
1415.6334,335.344,-0.47782
1415.847,335.444,-0.4806
1416.0624,335.544,-0.48382
1416.2742,335.644,-0.48652
1416.4848,335.744,-0.48794
1416.6942,335.844,-0.49128
1416.9054,335.944,-0.49428
1417.1148,336.044,-0.49605
1417.3248,336.144,-0.50017
1417.5348,336.244,-0.5004
