Time,Temperature,Mass,
[s],[K],[mg],
1200.1002,306.94,4.84E+00,
1245.1818,307.04,4.84E+00,
1257.1068,307.14,4.84E+00,
1264.7556,307.24,4.84E+00,
1270.3572,307.34,4.84E+00,
1274.9838,307.44,4.84E+00,
1278.9606,307.54,4.84E+00,
1282.2702,307.64,4.84E+00,
1285.3854,307.74,4.84E+00,
1288.1346,307.84,4.84E+00,
1290.6624,307.94,4.84E+00,
1292.9154,308.04,4.84E+00,
1294.9896,308.14,4.84E+00,
1296.9726,308.24,4.84E+00,
1298.7336,308.34,4.84E+00,
1300.4508,308.44,4.84E+00,
1302.2136,308.54,4.84E+00,
1303.854,308.64,4.84E+00,
1305.4332,308.74,4.84E+00,
1306.8948,308.84,4.84E+00,
1308.3504,308.94,4.84E+00,
1309.6764,309.04,4.84E+00,
1310.9532,309.14,4.84E+00,
1312.224,309.24,4.84E+00,
1313.4822,309.34,4.84E+00,
1314.7002,309.44,4.84E+00,
1315.8588,309.54,4.84E+00,
1316.9334,309.64,4.84E+00,
1318.002,309.74,4.84E+00,
1319.0538,309.84,4.84E+00,
1320.0744,309.94,4.84E+00,
1321.068,310.04,4.84E+00,
1322.0376,310.14,4.84E+00,
1322.9928,310.24,4.84E+00,
1323.927,310.34,4.84E+00,
1324.8402,310.44,4.84E+00,
1325.7288,310.54,4.84E+00,
1326.6036,310.64,4.84E+00,
1327.4922,310.74,4.84E+00,
1328.3436,310.84,4.84E+00,
1329.1884,310.94,4.84E+00,
1329.9906,311.04,4.84E+00,
1330.7802,311.14,4.84E+00,
1331.5482,311.24,4.84E+00,
1332.2922,311.34,4.84E+00,
1333.0212,311.44,4.84E+00,
1333.7544,311.54,4.84E+00,
1334.4822,311.64,4.84E+00,
1335.201,311.74,4.84E+00,
1335.9348,311.84,4.84E+00,
1336.6428,311.94,4.84E+00,
1337.325,312.04,4.84E+00,
1338.0168,312.14,4.84E+00,
1338.6726,312.24,4.84E+00,
1339.3374,312.34,4.84E+00,
1340.0058,312.44,4.84E+00,
1340.6388,312.54,4.84E+00,
1341.2856,312.64,4.84E+00,
1341.8976,312.74,4.84E+00,
1342.5054,312.84,4.84E+00,
1343.1192,312.94,4.84E+00,
1343.7216,313.04,4.84E+00,
1344.3168,313.14,4.84E+00,
1344.9192,313.24,4.84E+00,
1345.5054,313.34,4.84E+00,
1346.0796,313.44,4.84E+00,
1346.6502,313.54,4.84E+00,
1347.2106,313.64,4.84E+00,
1347.7596,313.74,4.84E+00,
1348.3086,313.84,4.84E+00,
1348.8636,313.94,4.84E+00,
1349.4072,314.04,4.84E+00,
1349.9556,314.14,4.84E+00,
1350.4902,314.24,4.84E+00,
1351.0152,314.34,4.84E+00,
1351.5258,314.44,4.84E+00,
1352.0376,314.54,4.84E+00,
1352.5398,314.64,4.84E+00,
1353.0432,314.74,4.84E+00,
1353.5376,314.84,4.84E+00,
1354.0404,314.94,4.84E+00,
1354.5324,315.04,4.84E+00,
1355.0202,315.14,4.84E+00,
1355.5038,315.24,4.84E+00,
1355.9922,315.34,4.84E+00,
1356.4584,315.44,4.84E+00,
1356.9336,315.54,4.84E+00,
1357.4004,315.64,4.84E+00,
1357.8582,315.74,4.84E+00,
1358.3178,315.84,4.84E+00,
1358.7744,315.94,4.84E+00,
1359.2316,316.04,4.84E+00,
1359.681,316.14,4.84E+00,
1360.1274,316.24,4.84E+00,
1360.5768,316.34,4.84E+00,
1361.0136,316.44,4.84E+00,
1361.4516,316.54,4.84E+00,
1361.8914,316.64,4.84E+00,
1362.3228,316.74,4.84E+00,
1362.7572,316.84,4.84E+00,
1363.185,316.94,4.84E+00,
1363.608,317.04,4.84E+00,
1364.0238,317.14,4.84E+00,
1364.4414,317.24,4.84E+00,
1364.8578,317.34,4.84E+00,
1365.2658,317.44,4.84E+00,
1365.6672,317.54,4.84E+00,
1366.0752,317.64,4.84E+00,
1366.4874,317.74,4.84E+00,
1366.887,317.84,4.84E+00,
1367.2788,317.94,4.84E+00,
1367.667,318.04,4.84E+00,
1368.06,318.14,4.84E+00,
1368.453,318.24,4.84E+00,
1368.834,318.34,4.84E+00,
1369.2114,318.44,4.84E+00,
1369.5918,318.54,4.83E+00,
1369.962,318.64,4.84E+00,
1370.3382,318.74,4.83E+00,
1370.7108,318.84,4.84E+00,
1371.081,318.94,4.83E+00,
1371.4524,319.04,4.84E+00,
1371.813,319.14,4.84E+00,
1372.1718,319.24,4.84E+00,
1372.5384,319.34,4.84E+00,
1372.8972,319.44,4.84E+00,
1373.2542,319.54,4.84E+00,
1373.607,319.64,4.84E+00,
1373.9562,319.74,4.84E+00,
1374.3102,319.84,4.84E+00,
1374.6654,319.94,4.84E+00,
1375.0194,320.04,4.84E+00,
1375.3662,320.14,4.84E+00,
1375.7172,320.24,4.84E+00,
1376.0652,320.34,4.84E+00,
1376.4132,320.44,4.83E+00,
1376.754,320.54,4.84E+00,
1377.099,320.64,4.84E+00,
1377.4374,320.74,4.84E+00,
1377.7764,320.84,4.84E+00,
1378.1118,320.94,4.83E+00,
1378.446,321.04,4.84E+00,
1378.7778,321.14,4.84E+00,
1379.109,321.24,4.83E+00,
1379.4408,321.34,4.84E+00,
1379.763,321.44,4.84E+00,
1380.0882,321.54,4.84E+00,
1380.408,321.64,4.84E+00,
1380.7284,321.74,4.84E+00,
1381.047,321.84,4.84E+00,
1381.3686,321.94,4.84E+00,
1381.6878,322.04,4.84E+00,
1382.0082,322.14,4.83E+00,
1382.3274,322.24,4.84E+00,
1382.6424,322.34,4.84E+00,
1382.9562,322.44,4.84E+00,
1383.2682,322.54,4.84E+00,
1383.5778,322.64,4.84E+00,
1383.8856,322.74,4.84E+00,
1384.1928,322.84,4.84E+00,
1384.4964,322.94,4.84E+00,
1384.8048,323.04,4.84E+00,
1385.106,323.14,4.84E+00,
1385.4084,323.24,4.84E+00,
1385.7084,323.34,4.84E+00,
1386.0066,323.44,4.84E+00,
1386.3024,323.54,4.84E+00,
1386.5976,323.64,4.84E+00,
1386.8946,323.74,4.84E+00,
1387.1868,323.84,4.84E+00,
1387.4808,323.94,4.84E+00,
1387.7772,324.04,4.84E+00,
1388.0724,324.14,4.84E+00,
1388.3718,324.24,4.84E+00,
1388.6646,324.34,4.84E+00,
1388.955,324.44,4.84E+00,
1389.246,324.54,4.84E+00,
1389.5346,324.64,4.84E+00,
1389.822,324.74,4.84E+00,
1390.1058,324.84,4.84E+00,
1390.3878,324.94,4.84E+00,
1390.6698,325.04,4.84E+00,
1390.9458,325.14,4.84E+00,
1391.226,325.24,4.84E+00,
1391.5104,325.34,4.84E+00,
1391.7888,325.44,4.84E+00,
1392.066,325.54,4.84E+00,
1392.3432,325.64,4.84E+00,
1392.6186,325.74,4.84E+00,
1392.894,325.84,4.84E+00,
1393.1682,325.94,4.84E+00,
1393.4424,326.04,4.84E+00,
1393.716,326.14,4.84E+00,
1393.986,326.24,4.84E+00,
1394.2554,326.34,4.84E+00,
1394.5206,326.44,4.84E+00,
1394.7876,326.54,4.84E+00,
1395.0528,326.64,4.84E+00,
1395.324,326.74,4.83E+00,
1395.5904,326.84,4.84E+00,
1395.855,326.94,4.84E+00,
1396.1172,327.04,4.84E+00,
1396.3794,327.14,4.84E+00,
1396.6422,327.24,4.84E+00,
