Time,Temperature,Mass,
[s],[K],[mg],
1209.15,307.216,4.91E+00,
1278.438,307.316,4.91E+00,
1296.9798,307.416,4.91E+00,
1309.8672,307.516,4.91E+00,
1319.577,307.616,4.91E+00,
1327.6572,307.716,4.91E+00,
1334.4552,307.816,4.91E+00,
1340.457,307.916,4.91E+00,
1345.7712,308.016,4.91E+00,
1350.8136,308.116,4.91E+00,
1355.529,308.216,4.91E+00,
1359.9216,308.316,4.91E+00,
1363.9608,308.416,4.91E+00,
1367.6634,308.516,4.91E+00,
1371.2514,308.616,4.91E+00,
1374.6168,308.716,4.91E+00,
1377.8802,308.816,4.91E+00,
1381.0386,308.916,4.92E+00,
1384.0296,309.016,4.92E+00,
1386.9708,309.116,4.92E+00,
1389.759,309.216,4.92E+00,
1392.4734,309.316,4.92E+00,
1395.1296,309.416,4.92E+00,
1397.6808,309.516,4.92E+00,
1400.1894,309.616,4.92E+00,
1402.6062,309.716,4.92E+00,
1404.9726,309.816,4.92E+00,
1407.2814,309.916,4.92E+00,
1409.5176,310.016,4.92E+00,
1411.6998,310.116,4.92E+00,
1413.8172,310.216,4.92E+00,
1415.9082,310.316,4.92E+00,
1417.9404,310.416,4.92E+00,
1419.9282,310.516,4.92E+00,
1421.9112,310.616,4.92E+00,
1423.8498,310.716,4.92E+00,
1425.7374,310.816,4.92E+00,
1427.6094,310.916,4.92E+00,
1429.4592,311.016,4.92E+00,
1431.2934,311.116,4.92E+00,
1433.076,311.216,4.92E+00,
1434.8214,311.316,4.92E+00,
1436.5308,311.416,4.92E+00,
1438.2372,311.516,4.92E+00,
1439.9016,311.616,4.92E+00,
1441.539,311.716,4.92E+00,
1443.1578,311.816,4.92E+00,
1444.7406,311.916,4.92E+00,
1446.3456,312.016,4.92E+00,
1447.9308,312.116,4.92E+00,
1449.4956,312.216,4.92E+00,
1451.0376,312.316,4.92E+00,
1452.5742,312.416,4.92E+00,
1454.0856,312.516,4.92E+00,
1455.5748,312.616,4.92E+00,
1457.0688,312.716,4.92E+00,
1458.5244,312.816,4.92E+00,
1459.9506,312.916,4.92E+00,
1461.3666,313.016,4.92E+00,
1462.7742,313.116,4.92E+00,
1464.1524,313.216,4.92E+00,
1465.518,313.316,4.92E+00,
1466.883,313.416,4.92E+00,
1468.2312,313.516,4.92E+00,
1469.559,313.616,4.92E+00,
1470.8736,313.716,4.92E+00,
1472.1834,313.816,4.92E+00,
1473.4884,313.916,4.92E+00,
1474.785,314.016,4.92E+00,
1476.0828,314.116,4.92E+00,
1477.362,314.216,4.92E+00,
1478.6286,314.316,4.92E+00,
1479.8814,314.416,4.92E+00,
1481.1294,314.516,4.92E+00,
1482.3708,314.616,4.92E+00,
1483.6098,314.716,4.92E+00,
1484.8308,314.816,4.92E+00,
1486.0434,314.916,4.92E+00,
1487.2296,315.016,4.92E+00,
1488.4248,315.116,4.92E+00,
1489.6074,315.216,4.92E+00,
1490.7834,315.316,4.92E+00,
1491.96,315.416,4.92E+00,
1493.127,315.516,4.92E+00,
