Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,111.4,1.48,19.3
1,111.3,-2.19,19.31
2,111.3,-1.61,19.29
3,111.3,-0.49,19.3
4,111.1,1.16,19.31
5,111.3,0.32,19.3
6,111.2,-0.03,19.31
7,111.2,-0.44,19.31
8,111.2,2.07,19.31
9,111.2,1.82,19.31
10,111.1,0.09,19.31
11,111.1,2.08,19.32
12,111.1,-2.16,19.32
13,111.1,-1.76,19.31
14,111.1,2.04,19.32
15,111.1,2.26,19.31
16,111.1,-1.68,19.32
17,111.1,2.72,19.32
18,111.1,2.89,19.32
19,111.1,-1.71,19.33
20,111.1,2.5,19.34
21,111.1,2.82,19.33
22,111.1,4.07,19.33
23,111.1,1.42,19.34
24,111.1,3.16,19.35
25,111.1,-1.09,19.35
26,111,-0.91,19.34
27,111,0.31,19.36
28,111.1,2.38,19.35
29,111.1,3.26,19.37
30,111.1,3.98,19.37
31,111,-0.22,19.37
32,111,3.29,19.37
33,110.9,2.26,19.38
34,111,-0.19,19.38
35,111,3.91,19.38
36,110.9,2.77,19.38
37,111,4.05,19.39
38,111,1.79,19.4
39,110.8,2.66,19.4
40,110.8,4.25,19.4
41,111,-0.48,19.41
42,111,0.46,19.41
43,111,2.88,19.41
44,111,3.37,19.41
45,110.9,0.78,19.43
46,110.8,1.77,19.43
47,110.8,2.5,19.43
48,110.8,-0.98,19.44
49,110.9,-1.46,19.45
50,110.9,3.4,19.46
51,110.8,0.18,19.47
52,110.8,3.19,19.48
53,110.8,2.74,19.48
54,110.8,2.6,19.5
55,110.8,0.74,19.5
56,110.8,3.06,19.52
57,110.7,-0.57,19.52
58,110.7,-0.82,19.53
59,110.7,-1.43,19.53
60,110.7,-1.57,19.55
61,110.7,3.14,19.56
62,110.7,1.48,19.56
63,110.7,0.16,19.57
64,110.7,-0.69,19.58
65,110.7,3.33,19.59
66,110.7,3.69,19.6
67,110.7,2.91,19.61
68,110.7,-0.61,19.61
69,110.7,2.11,19.62
70,110.7,-0.94,19.63
71,110.7,2.66,19.64
72,110.7,1.36,19.64
73,110.7,4.35,19.65
74,110.7,-0.74,19.65
75,110.7,0.87,19.67
76,110.7,0.7,19.68
77,110.5,2.09,19.69
78,110.5,3.77,19.71
79,110.7,4.29,19.72
80,110.5,3.5,19.74
81,110.5,-0.82,19.74
82,110.5,1,19.76
83,110.5,-0.63,19.78
84,110.5,3.17,19.78
85,110.5,-0.61,19.79
86,110.4,0.39,19.79
87,110.4,-0.6,19.83
88,110.4,3.22,19.83
89,110.4,3.89,19.84
90,110.4,2.98,19.85
91,110.4,4.19,19.85
92,110.4,-0.25,19.87
93,110.4,0.94,19.89
94,110.4,2.06,19.9
95,110.4,3.94,19.93
96,110.4,5.09,19.93
97,110.4,0.72,19.95
98,110.4,0.16,19.95
99,110.4,0.95,19.97
100,110.4,5.52,19.98
101,110.4,2.19,20.01
102,110.4,2.61,20.01
103,110.4,4.69,20.02
104,110.4,5.13,20.03
105,110.4,0.59,20.06
106,110.4,0.56,20.06
107,110.4,2.12,20.09
108,110.4,2.69,20.11
109,110.4,1.11,20.12
110,110.4,5.01,20.13
111,110.4,1.49,20.15
112,110.4,0.43,20.16
113,110.2,5.58,20.16
114,110.4,4.06,20.18
115,110.2,1.62,20.2
116,110.2,0.91,20.23
117,110.2,4.96,20.24
118,110.2,4.76,20.26
119,110.2,0.76,20.27
120,110.2,5.58,20.29
121,110.2,2.79,20.31
122,110.2,4.31,20.34
123,110.2,5.23,20.35
124,110.2,2.65,20.37
125,110.1,4.52,20.38
126,110.2,4.6,20.41
127,110.2,4.39,20.43
128,110.1,3.93,20.44
129,110.1,2.42,20.47
130,110.1,0.63,20.47
131,110.1,0.92,20.5
132,110.1,2.31,20.52
133,110.1,4.09,20.54
134,110.1,1.62,20.56
135,110.1,4.35,20.58
136,110,1.59,20.62
137,110.1,1.16,20.64
138,110.1,4.04,20.66
139,110.1,5.29,20.68
140,110,4.28,20.7
141,110.1,5.48,20.72
142,110.1,2.79,20.76
143,109.9,4.22,20.77
144,110,0.86,20.79
145,109.9,4.65,20.82
146,110,0.87,20.85
147,110,2.11,20.88
148,109.9,4.23,20.91
149,109.9,2.75,20.93
