Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,86.9,2.2,301.88
1,84.8,2.1,301.88
2,85.2,2.6,301.87
3,85,1.6,301.87
4,85,0.7,301.86
5,85,0.2,301.87
6,85.4,0.1,301.85
7,85.2,0.2,301.86
8,85.4,0.7,301.86
9,85.5,0.9,301.87
10,85.4,0.3,301.87
11,85.3,-1.2,301.86
12,85.3,-4.0,301.87
13,85.6,-4.8,301.87
14,85.4,2.8,301.9
15,85.2,28.9,301.89
16,85.3,84.8,301.91
17,85.2,138.4,301.91
18,84.7,183.6,301.93
19,84.9,221.1,301.91
20,84.5,236.0,301.91
21,84.9,252.6,301.91
22,84.8,254.4,301.9
23,84.6,257.2,301.92
24,84,249.5,301.91
25,84.4,248.8,301.96
26,84.4,246.2,301.94
27,84.3,231.8,301.96
28,83.9,224.2,302
29,83.8,209.4,302.01
30,83.7,205.8,302.03
31,83.6,205.9,302
32,83.3,201.3,302.05
33,83.1,195.7,302.01
34,83.2,190.9,302.08
35,83.1,185.5,302.09
36,82.7,189.2,302.09
37,82.9,183.6,302.16
38,82.6,178.8,302.06
39,82.5,181.8,302.12
40,82.4,174.9,302.12
41,82.3,174.6,302.11
42,82.2,170.9,302.13
43,82,167.3,302.09
44,82,167.4,302.15
45,82,161.3,302.14
46,81.8,158.5,302.14
47,81.5,153.0,302.09
48,81.7,154.0,302.19
49,81.1,152.8,302.19
50,81.1,154.5,302.21
51,81.1,147.0,302.21
52,81.3,145.4,302.23
53,80.9,140.9,302.25
54,81,134.9,302.27
55,80.6,136.7,302.31
56,80.6,133.8,302.31
57,80.6,134.1,302.31
58,80.4,134.8,302.31
59,80.3,134.4,302.33
60,80.3,138.4,302.31
61,80.3,136.4,302.31
62,80.3,132.4,302.33
63,80,126.7,302.33
64,80.1,125.9,302.36
65,79.8,123.3,302.37
66,79.8,125.3,302.39
67,79.9,127.5,302.39
68,79.7,128.5,302.42
69,79.5,134.0,302.43
70,79.2,132.1,302.45
71,79.4,130.7,302.49
72,79.2,128.7,302.51
73,78.9,130.2,302.54
74,78.4,129.3,302.58
75,78.7,131.5,302.61
76,78.9,127.9,302.65
77,78.7,126.7,302.68
78,78.8,126.4,302.7
79,78.6,125.2,302.73
80,78.2,119.8,302.74
81,78.3,119.4,302.75
82,78.2,117.1,302.79
83,78.1,119.3,302.83
84,78,118.0,302.85
85,78.2,117.0,302.88
86,77.7,115.1,302.9
87,77.3,114.3,302.93
88,77.7,118.3,302.99
89,77.8,118.5,302.97
90,77.6,115.3,303
91,77.6,118.1,303.03
92,77.3,115.8,303.04
93,77.1,116.5,303.12
94,77.2,115.7,303.1
95,77.3,118.2,303.14
96,76.8,115.4,303.23
97,77.1,116.6,303.26
98,77,113.0,303.23
99,76.8,112.3,303.26
100,76.7,110.4,303.29
101,76.8,107.5,303.33
102,76.6,110.6,303.35
103,76.5,112.2,303.35
104,76.5,107.6,303.37
105,76.4,106.8,303.47
106,75.9,109.7,303.51
107,76.1,109.2,303.57
108,76,111.2,303.56
109,76.1,106.4,303.58
110,76,107.0,303.64
111,75.8,106.7,303.68
112,75.9,106.7,303.74
113,75.6,107.5,303.71
114,75.8,110.7,303.8
115,75.6,111.3,303.84
116,75.4,109.2,303.87
117,75.5,108.5,303.93
118,75.4,106.6,303.96
119,75.2,109.4,303.99
120,75,111.3,304.04
121,74.7,104.8,304.09
122,75.1,105.0,304.15
123,74.9,106.5,304.2
124,74.5,107.0,304.27
125,74.6,109.0,304.33
