Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,91.4,2.21,27.05
1,90.5,2.15,27.03
2,90.7,1.39,27.03
3,90.3,1.46,27.03
4,89.7,1.78,27.02
5,89.9,1.61,27.02
6,89.7,1.42,27.01
7,89.9,0.94,27.01
8,89.6,-0.10,27.02
9,90.2,-3.03,27.02
10,90.6,-6.22,27.02
11,89.6,-6.36,27.05
12,89.4,3.07,27.04
13,90.0,23.46,27.04
14,90.0,53.16,27.07
15,89.9,75.70,27.06
16,89.3,95.58,27.06
17,88.9,110.44,27.06
18,88.0,118.08,27.07
19,88.6,125.76,27.10
20,88.6,123.50,27.11
21,87.9,124.12,27.10
22,88.0,123.73,27.10
23,88.1,118.70,27.11
24,87.8,110.39,27.11
25,87.8,104.57,27.11
26,87.5,98.85,27.12
27,87.5,99.21,27.11
28,87.8,92.51,27.12
29,87.3,91.41,27.13
30,86.6,87.61,27.15
31,87.1,86.60,27.15
32,86.5,83.58,27.16
33,86.9,81.02,27.18
34,87.0,81.28,27.18
35,86.6,78.83,27.20
36,86.4,75.64,27.21
37,86.2,75.50,27.24
38,86.2,75.32,27.26
39,85.9,73.22,27.31
40,85.9,75.15,27.32
41,86.0,74.14,27.32
42,85.3,74.56,27.33
43,85.6,72.91,27.33
44,85.6,73.84,27.33
45,85.2,72.56,27.34
46,85.0,70.59,27.35
47,85.2,68.36,27.38
48,85.2,67.73,27.42
49,85.2,66.76,27.44
50,84.9,67.97,27.45
51,84.7,66.01,27.47
52,84.2,65.31,27.47
53,84.7,64.88,27.49
54,84.6,64.20,27.50
55,84.4,63.27,27.51
56,83.6,63.30,27.50
57,83.9,62.53,27.49
58,83.8,61.58,27.52
59,83.9,61.44,27.53
60,83.4,62.07,27.54
61,83.9,62.54,27.56
62,83.1,62.17,27.58
63,83.6,61.48,27.59
64,83.6,60.52,27.62
65,83.4,59.74,27.64
66,83.5,60.26,27.66
67,82.9,60.46,27.67
68,83.3,60.99,27.70
69,83.0,59.32,27.73
70,83.1,59.41,27.74
71,83.5,58.34,27.77
72,82.8,57.10,27.80
73,82.7,57.16,27.82
74,82.7,56.61,27.85
75,82.1,55.48,27.86
76,82.6,55.46,27.89
77,82.9,55.69,27.91
78,82.1,56.36,27.94
79,81.8,55.57,27.97
80,82.5,55.38,28.00
81,82.3,55.20,28.04
82,81.7,54.75,28.06
83,81.2,57.06,28.08
84,82.0,55.30,28.12
85,81.2,56.94,28.14
86,81.8,58.63,28.18
87,82.0,57.33,28.21
88,81.6,57.59,28.24
89,81.0,56.88,28.28
90,81.0,56.28,28.29
91,81.3,56.34,28.32
92,82.1,56.02,28.34
93,81.2,55.73,28.38
94,80.8,53.44,28.38
95,80.9,53.75,28.43
96,80.8,52.69,28.47
97,80.7,55.13,28.52
98,80.6,53.93,28.53
99,80.9,53.76,28.56
100,80.7,53.84,28.60
101,80.0,51.99,28.64
102,80.4,52.95,28.67
103,80.0,52.42,28.68
104,80.1,52.66,28.72
105,80.4,52.80,28.80
106,80.2,51.75,28.85
107,79.3,52.80,28.89
108,80.1,52.06,28.93
109,80.1,51.46,28.95
110,79.9,52.07,29.00
111,79.8,51.58,29.04
112,79.5,52.76,29.09
113,79.2,52.33,29.12
114,79.4,51.98,29.15
115,79.5,51.95,29.20
116,79.2,50.53,29.24
117,79.2,49.98,29.31
118,79.3,48.62,29.33
119,78.7,52.53,29.38
120,78.5,50.08,29.40
121,79.0,51.57,29.44
122,78.6,50.58,29.53
123,78.9,50.17,29.57
124,79.0,48.96,29.63
125,78.8,49.65,29.70
126,78.5,50.14,29.76
127,78.6,49.58,29.82
128,78.1,48.58,29.88
129,77.6,47.83,29.94
130,77.6,49.10,30.01
131,78.4,49.35,30.08
132,78.3,50.15,30.13
133,77.7,49.55,30.17
134,78.2,49.02,30.23
135,78.0,49.34,30.29
136,77.3,48.11,30.35
137,77.1,49.88,30.42
138,77.1,49.43,30.48
139,77.4,49.15,30.55
140,77.5,47.60,30.65
141,77.9,46.89,30.73
142,77.2,47.09,30.82
