Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,94.9,2.17,21.4
1,94.8,-0.07,21.42
2,94.6,4.18,21.41
3,94.6,-0.3,21.39
4,94.4,0.73,21.39
5,93.6,4.08,21.38
6,93.6,3.87,21.38
7,94.1,4,21.36
8,94.1,2.75,21.35
9,94.1,3.69,21.34
10,94,2.41,21.34
11,94,2.93,21.33
12,94,3.37,21.34
13,93.9,2.75,21.33
14,93.8,3.73,21.31
15,93.8,4.94,21.3
16,93.7,1.39,21.3
17,93.5,3.32,21.3
18,93.5,3.09,21.29
19,93.4,3.31,21.29
20,93.3,4.32,21.27
21,92.8,3.99,21.26
22,92.8,2.44,21.25
23,92.7,3.7,21.25
24,92.7,-0.47,21.24
25,92.7,0.64,21.24
26,92.6,0.27,21.23
27,92.6,2.38,21.24
28,92.6,3.33,21.23
29,92.5,1.21,21.22
30,92.5,3.66,21.21
31,92.4,2.72,21.21
32,92.4,1.28,21.2
33,92.4,3.72,21.19
34,92.3,3.32,21.19
35,92.3,4.7,21.18
36,92.3,3.32,21.17
37,92.2,-0.3,21.16
38,92.3,2.55,21.16
39,93.9,2.81,21.14
40,91.9,3.41,21.13
41,91.1,2.43,21.12
42,95.4,4.06,21.12
43,103.7,4.72,21.1
44,103.6,3.69,21.09
45,103.3,2.59,21.08
46,102.5,0.51,21.02
47,101.1,3.53,20.99
48,100.3,1.99,20.94
49,100.1,2.15,20.9
50,100.1,1.87,20.85
51,100.1,3.72,20.82
52,100.8,3.99,20.8
53,101.1,2.8,20.76
54,100.7,0.6,20.73
55,100.3,3.47,20.68
56,99.5,1.61,20.63
57,98.8,1.36,20.52
58,95.6,5.18,20.42
59,94,0.57,20.33
60,92.7,3.48,20.23
61,91.1,0.78,20.16
62,90.4,4.41,20.09
63,89.2,3.83,20.04
64,88.6,1.86,19.98
65,87.4,1.51,19.93
66,87,0.41,19.92
67,86.7,3.2,19.88
68,86.2,5.04,19.84
69,85,4.17,19.83
70,84.8,2.21,19.79
71,84.5,0.82,19.75
72,83.4,5.13,19.73
73,83,3.8,19.69
74,82.8,5.08,19.66
75,82.1,5.21,19.64
76,81.5,1.21,19.63
77,80.5,4.22,19.62
78,80.2,3.2,19.62
79,80.1,3.33,19.61
80,79.6,1.75,19.6
81,79.3,6.61,19.59
82,79.3,4.51,19.58
83,79,6.32,19.6
84,78.2,3.87,19.6
85,77.9,5.89,19.61
86,77.8,2.44,19.59
87,77.8,5.15,19.59
88,77.8,4.04,19.57
89,78,3.94,19.55
90,78.3,1.68,19.52
91,79.1,4.98,19.5
92,79.5,2.11,19.49
93,79.2,6.92,19.46
94,79,6.24,19.46
95,79,1.86,19.44
96,78.4,6.5,19.43
97,78.1,1.55,19.44
98,77.9,3.02,19.44
99,77.5,2.9,19.44
100,76.6,2.05,19.44
101,76.5,2.25,19.43
102,76.2,6.66,19.43
103,75.5,2.57,19.44
104,74.9,8.22,19.42
105,74.6,4.38,19.42
106,74,8.77,19.43
107,73.8,12.18,19.44
108,73.6,10.74,19.45
109,73.3,15.34,19.46
110,72.7,21.5,19.47
111,72.6,29.14,19.48
112,72,24.82,19.49
113,71.3,31.81,19.51
114,71.2,32.13,19.5
115,70.3,38.98,19.52
116,69.7,45.33,19.53
117,69.4,40.04,19.54
118,68.8,47.58,19.55
119,68.2,44.54,19.55
120,67,46.77,19.56
