Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,88.65,4.296278747,28.877
1,88.597883,3.418968248,28.811
2,89.058939,3.143595949,28.767
3,87.937517,3.088629825,28.712
4,88.191987,3.181070563,28.701
5,88.117414,2.859532386,28.675
6,88.309292,1.956093581,28.661
7,88.330983,1.189888448,28.635
8,88.090624,-0.341134036,28.613
9,87.806897,-3.032505314,28.595
10,87.834425,-3.712273658,28.632
11,87.302566,6.049151278,28.635
12,87.24388,24.5728562,28.595
13,87.200198,46.62189019,28.584
14,86.820585,67.46005475,28.584
15,86.866421,84.86791688,28.577
16,87.082597,97.80085482,28.584
17,86.811091,105.6647366,28.584
18,86.347962,109.3766638,28.592
19,86.09068,112.3988679,28.603
20,86.2147,112.2490705,28.647
21,85.943946,112.982964,28.614
22,85.525796,112.6787746,28.614
23,85.417585,109.9837668,28.618
24,85.293227,104.8954156,28.626
25,84.897173,99.46033507,28.618
26,84.263804,98.20090696,28.626
27,84.49871,93.81112257,28.644
28,84.480118,94.81442878,28.626
29,84.369289,93.55118542,28.645
30,84.548795,91.88692994,28.641
31,84.311351,89.27805055,28.67
32,84.388181,88.20172483,28.7
33,84.423467,85.2453055,28.719
34,84.390812,83.5156305,28.715
35,84.4015,80.52065719,28.741
36,84.150561,78.24361857,28.774
37,84.265583,75.47488747,28.73
38,84.066891,73.8654447,28.737
39,83.762121,72.77035285,28.782
40,83.928016,73.49133362,28.745
41,83.840379,71.71550824,28.749
42,83.605302,70.27168006,28.789
43,83.43717,69.38838642,28.83
44,82.806302,67.69609559,28.793
45,82.636153,66.68065087,28.801
46,82.322136,66.53576591,28.83
47,82.803985,65.93336088,28.856
48,82.828028,66.11209921,28.878
49,82.739215,64.91403939,28.893
50,82.728,64.32787773,28.915
51,82.687518,65.52390919,28.93
52,82.510827,62.53651785,28.949
53,82.529877,61.32092186,28.963
54,82.595831,63.60861795,29.022
55,82.452842,60.33145193,29
56,82.225116,62.22123687,28.993
57,82.355264,62.4941794,29.008
58,82.160352,61.76221113,29.023
59,81.935543,62.7121519,29.026
60,81.960375,62.27084632,29.06
61,81.804522,60.5046456,29.074
62,81.648973,60.32835448,29.1
63,81.327077,59.71080427,29.122
64,81.002638,58.06239742,29.145
65,80.813338,56.07883512,29.181
66,81.000102,56.66583044,29.215
67,81.128488,56.40976524,29.255
68,81.24893,54.53143961,29.255
69,81.06677,54.87135168,29.27
70,80.926248,55.06080235,29.303
71,80.92487,54.28326711,29.322
72,80.830793,52.61084445,29.318
73,80.764883,53.64535538,29.329
74,80.74498,52.50300976,29.333
75,80.695969,53.23459318,29.33
76,80.500623,51.24664172,29.341
77,80.480883,52.20367753,29.359
78,80.199909,51.64273602,29.37
79,79.985729,51.16868603,29.418
80,79.976278,51.60352459,29.47
81,79.875589,52.7812606,29.481
82,79.801538,52.90848002,29.551
83,79.765351,52.01828314,29.58
84,79.737422,51.75309843,29.606
85,79.286169,50.14784809,29.632
86,78.659675,51.0615627,29.662
87,78.853711,51.23735015,29.68
88,78.675565,51.14649069,29.699
89,78.778616,49.91317161,29.728
90,78.582572,50.39802544,29.787
91,78.778139,51.32326258,29.787
92,78.468407,50.88177115,29.802
93,78.690544,49.91863884,29.821
94,78.570683,48.98158651,29.854
95,78.881064,47.69393463,29.887
96,78.503186,49.03075719,29.924
97,78.38325,46.33240558,29.975
98,78.54445,48.62199194,30.041
99,78.447497,47.94129542,30.074
100,78.449357,47.9195264,30.1
101,78.560402,46.62464377,30.129
102,78.298996,46.24589971,30.18
103,78.205684,45.43115359,30.228
104,78.280694,46.01820434,30.257
105,77.617282,45.88420246,30.279
106,77.151634,45.14431635,30.319
107,76.888518,44.26255461,30.344
108,76.773572,44.2760431,30.392
109,77.001326,43.06377791,30.436
110,76.769235,43.27749923,30.465
111,77.544246,42.49802276,30.505
112,77.482678,42.0385264,30.527
113,76.488438,42.62771366,30.567
114,76.517239,41.97018174,30.582
115,77.022779,42.66937954,30.607
116,76.926728,44.39223458,30.68
117,76.447544,46.75640785,30.731
118,75.942408,45.88521992,30.797
119,75.815124,45.99011958,30.848
120,75.607499,45.07018965,30.877
121,75.955167,46.41352413,30.929
122,75.830589,46.29269977,30.965
123,75.850852,46.05188606,31.016
124,75.676325,46.07884301,31.067
125,75.766521,46.24024904,31.151
126,75.335476,44.58830448,31.18
127,74.935843,43.96912855,31.228
128,74.704636,43.86573606,31.312
129,74.121383,41.97281296,31.381
130,73.761621,41.77920948,31.429
131,73.952804,41.98645778,31.472
132,73.968239,41.98419491,31.531
133,73.666051,43.33076165,31.589
134,73.580175,43.04692055,31.618
135,74.005477,41.64076482,31.677
136,73.710957,40.38722294,31.75
137,73.90382,40.8002738,31.823
138,74.298412,41.45991951,31.874
139,74.325462,41.1085379,31.921
140,74.268252,40.43192131,32.009
141,74.248797,40.55289329,32.049
142,74.159027,40.05799427,32.133
143,74.061391,39.81196853,32.198
144,73.971444,39.68531346,32.319
145,73.862294,39.87770012,32.333
146,73.540611,39.1951585,32.446
147,73.027641,39.54127951,32.476
148,72.528586,38.46018382,32.523
149,72.37776,38.87456175,32.662
150,72.320527,38.97750391,32.713
151,72.23664,39.29964492,32.808
152,72.189292,39.62563597,32.88
153,72.596201,38.30995172,32.968
154,72.453488,39.20095624,33.048
155,72.876762,39.74265779,33.128
156,72.949255,38.73686324,33.223
157,73.010051,38.41906001,33.271
158,72.586862,38.81347508,33.318
159,71.773319,38.09015269,33.435
160,72.088217,38.07289236,33.533
