Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,86.9,1.00,28.88
1,84.8,0.95,28.88
2,85.2,1.16,28.87
3,85.0,0.72,28.87
4,85.0,0.32,28.86
5,85.0,0.10,28.87
6,85.4,0.03,28.85
7,85.2,0.10,28.86
8,85.4,0.33,28.86
9,85.5,0.42,28.87
10,85.4,0.12,28.87
11,85.3,-0.52,28.86
12,85.3,-1.80,28.87
13,85.6,-2.20,28.87
14,85.4,1.29,28.90
15,85.2,13.09,28.89
16,85.3,38.40,28.91
17,85.2,62.69,28.91
18,84.7,83.17,28.93
19,84.9,100.17,28.91
20,84.5,106.91,28.91
21,84.9,114.42,28.91
22,84.8,115.23,28.90
23,84.6,116.52,28.92
24,84.0,113.04,28.91
25,84.4,112.69,28.96
26,84.4,111.54,28.94
27,84.3,105.02,28.96
28,83.9,101.56,29.00
29,83.8,94.86,29.01
30,83.7,93.21,29.03
31,83.6,93.28,29.00
32,83.3,91.19,29.05
33,83.1,88.66,29.01
34,83.2,86.46,29.08
35,83.1,84.02,29.09
36,82.7,85.73,29.09
37,82.9,83.19,29.16
38,82.6,81.01,29.06
39,82.5,82.37,29.12
40,82.4,79.26,29.12
41,82.3,79.09,29.11
42,82.2,77.41,29.13
43,82.0,75.81,29.09
44,82.0,75.85,29.15
45,82.0,73.07,29.14
46,81.8,71.82,29.14
47,81.5,69.30,29.09
48,81.7,69.76,29.19
49,81.1,69.22,29.19
50,81.1,69.99,29.21
51,81.1,66.58,29.21
52,81.3,65.86,29.23
53,80.9,63.84,29.25
54,81.0,61.09,29.27
55,80.6,61.91,29.31
56,80.6,60.60,29.31
57,80.6,60.73,29.31
58,80.4,61.06,29.31
59,80.3,60.91,29.33
60,80.3,62.71,29.31
61,80.3,61.79,29.31
62,80.3,59.98,29.33
63,80.0,57.38,29.33
64,80.1,57.03,29.36
65,79.8,55.84,29.37
66,79.8,56.78,29.39
67,79.9,57.74,29.39
68,79.7,58.21,29.42
69,79.5,60.70,29.43
70,79.2,59.85,29.45
