Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,121,0.33,299.4
1,120.8,1.64,299.39
2,120.8,0.1,299.38
3,120.7,-0.26,299.38
4,120.7,3.79,299.37
5,121,2.2,299.36
6,121.2,-0.56,299.36
7,121,-0.73,299.35
8,121,0.1,299.35
9,121,2.27,299.35
10,121,0.72,299.33
11,121.2,1.09,299.33
12,121,1.91,299.33
13,121,2.49,299.32
14,121,3.01,299.3
15,121,3.19,299.3
16,121,-0.82,299.3
17,121,2.83,299.3
18,121,1.83,299.3
19,120.8,2.49,299.29
20,121,3.09,299.29
21,121,3.74,299.28
22,121,0.88,299.26
23,120.8,2.6,299.25
24,120.8,4.1,299.25
25,120.8,-0.26,299.24
26,121,3.31,299.24
27,121,1.83,299.23
28,121,3.42,299.23
29,121,-0.84,299.23
30,121,2.11,299.22
31,121,1.75,299.22
32,121.2,3.33,299.21
33,121.2,3.72,299.21
34,121.1,-0.85,299.2
35,121,1.97,299.18
36,121,0.41,299.18
37,121.2,3.02,299.18
38,121,2.73,299.18
39,121,3.22,299.16
40,121,-0.51,299.15
41,121,3.61,299.15
42,121,1.65,299.14
43,121,-0.88,299.14
44,121,3.09,299.13
45,121,-0.95,299.13
46,121.2,3.35,299.13
47,121.2,3.01,299.11
48,121.1,2.05,299.09
49,121.1,3.23,299.1
50,121.2,-1.05,299.09
51,121,-0.6,299.1
52,121,-0.9,299.09
53,121.2,0.08,299.08
54,121.3,-1.32,299.07
55,121.3,-1.41,299.03
56,121.3,1.28,298.86
57,120.7,-0.41,298.65
58,120.1,0.08,298.44
59,119.4,-1.13,298.26
60,119.4,-0.99,298.08
61,119.4,1.3,297.92
62,119.2,2.36,297.76
63,118.8,1.72,297.61
64,118.5,3.01,297.53
65,118.8,2.63,297.42
66,118.5,2.88,297.36
67,118.3,3.15,297.28
68,118.5,2.27,297.19
69,118.7,-0.01,297.1
70,118.5,3.31,297.06
71,117.7,-0.6,297.03
72,117.5,0.65,296.97
73,117.5,-0.32,296.92
74,117.5,3.58,296.9
75,117.5,3.82,296.87
76,117.4,4.07,296.87
77,117.3,3.37,296.89
78,117.2,0.02,296.92
79,117.1,1.11,296.92
80,117.1,-0.49,296.92
81,117.1,0.54,296.92
82,117,2.4,296.93
83,117.1,0.89,296.96
84,117,3.28,297.02
85,116.8,3.86,297.01
86,116.7,2.34,297.05
87,116.7,0.69,297.11
88,116.5,0.06,297.14
89,116.4,0.88,297.22
90,115.7,2.51,297.2
91,115.7,4.52,297.24
92,115.7,4.61,297.29
93,115.8,4.21,297.31
94,115.7,0.78,297.33
95,115.7,1.43,297.39
96,115.2,5.62,297.49
97,115.1,6.16,297.56
98,114.8,2.87,297.6
99,114.7,6.01,297.69
100,114.6,4.69,297.76
101,114.5,4.92,297.87
102,114.3,6.83,297.93
103,114.1,5.66,297.98
104,114,8.67,298.03
105,113.8,11.4,298.13
106,113.6,9.71,298.19
107,113,15.77,298.25
108,112.7,19.28,298.32
109,112.7,19.68,298.43
110,112.7,22.39,298.54
111,112.6,26.65,298.63
112,112.3,33.54,298.72
113,111.7,28.74,298.83
114,111.7,34.35,298.91
115,111.5,37.76,299.04
116,111.4,44.75,299.12
117,111.4,49.36,299.21
118,111.4,48.11,299.32
119,111.2,48.06,299.42
120,110.5,46.5,299.56
121,110.8,50.71,299.67
122,110.8,55.7,299.82
123,110.6,55.12,299.9
124,110.6,47.29,300.01
125,110.5,61.97,300.11
126,110.3,66.02,300.2
127,110.2,59.52,300.32
128,110.1,59.97,300.41
129,110,64.92,300.54
130,110,56.97,300.67
131,109.8,59.03,300.82
132,109.7,63.82,300.95
133,109.6,55.65,301.04
134,109.5,55.69,301.19
135,109.4,65.06,301.28
136,109.3,57.47,301.43
137,109.3,69.83,301.56
138,109.2,62.95,301.72
139,108.9,62.16,301.84
140,108.7,57.72,302.01
141,108.6,59.91,302.16
142,108.5,51.73,302.28
143,108.5,55.34,302.47
144,108.4,51,302.55
145,108.3,54.63,302.68
146,108.3,55.63,302.79
147,108.2,58.87,302.92
148,108.2,54.55,303.04
149,108.1,58.34,303.15
150,108.1,52.51,303.32
151,108,54.14,303.46
152,107.8,55.19,303.62
153,107.5,55.86,303.79
154,107.2,51.19,303.97
155,107.2,55.15,304.11
156,107.1,56.71,304.19
157,106.9,54.41,304.35
158,106.8,55.33,304.5
159,106.5,48.41,304.68
160,106.2,48.9,304.83
161,106.2,48.88,304.96
162,106.4,55.56,305.11
163,106.4,54.04,305.3
164,106.2,45.04,305.42
165,105.6,48.67,305.59
166,105.1,49.31,305.77
167,105.4,53.83,305.9
168,105.3,44.75,306.06
169,105.3,45.19,306.2
170,105,47.94,306.38
171,105,57.97,306.52
172,104.1,41.01,306.66
173,104.2,42.21,306.81
174,104.2,45.23,307.02
175,104.1,44.35,307.2
176,104.1,43.91,307.36
177,104,36.97,307.49
178,103.7,43.3,307.67
179,103.7,49.96,307.81
180,103.7,49.58,307.97
181,103.5,44.99,308.12
182,103.4,49.08,308.35
183,103.4,40.68,308.49
184,103.2,44.2,308.74
185,103.2,43.4,308.91
186,103.1,44.69,309.12
187,103.1,40.58,309.29
188,103.1,49.57,309.42
189,103,42.95,309.6
190,103,42.39,309.77
191,103.1,43.89,309.99
192,103,43.32,310.16
193,103.1,42.93,310.37
194,103.1,48.77,310.64
195,103.1,48.74,310.83
196,103.1,39.82,311.02
197,102.9,37.97,311.18
198,102.8,41.51,311.35
199,102.8,41.38,311.54
200,102.6,43.53,311.74
201,102,31.64,311.96
202,102.3,44.36,312.11
203,102.1,44.72,312.3
204,102,40.81,312.49
205,102,42.58,312.69
206,101.9,31.65,312.92
207,101.8,37.47,313.13
208,101.7,42.66,313.31
209,101.7,40.31,313.53
210,101.7,36.88,313.74
211,101.6,33.75,313.94
212,101.4,41.35,314.22
213,101.2,42.05,314.43
214,101.2,36.61,314.63
215,101,38.83,314.88
216,100.9,35.03,315.12
217,100.8,35.59,315.34
218,100.8,39.6,315.63
219,100.7,35.77,315.89
220,100.4,35.31,316.13
221,100,41.31,316.36
222,100,42.66,316.62
223,99.8,36.78,316.85
224,99.9,40.95,317.17
225,99.7,36.23,317.43
226,99.6,38.58,317.71
227,99.5,33.14,317.98
228,99.8,30.43,318.2
