Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,111.9,2.54,299.27
1,111.9,-1.44,299.27
2,111.8,-0.22,299.26
3,111.8,1.85,299.25
4,111.7,2.55,299.25
5,111.7,2.88,299.24
6,111.9,-0.91,299.23
7,111.9,-1.11,299.21
8,112,0.28,299.22
9,112,1.7,299.22
10,112,-1.75,299.22
11,111.9,2.59,299.23
12,112,1.2,299.22
13,112,-0.57,299.22
14,112.1,2.69,299.22
15,112.1,2.85,299.2
16,112.1,2.88,299.2
17,112.1,3.14,299.2
18,112.2,0.82,299.19
19,112.2,0.8,299.17
20,112.2,2.65,299.18
21,112.1,3.59,299.18
22,112.2,2.11,299.16
23,112.2,3.8,299.17
24,112.4,3.84,299.18
25,112.4,3.94,299.17
26,112.2,3.07,299.17
27,112.2,0.53,299.17
28,112.1,2.4,299.16
29,112.7,4.72,299.16
30,112.4,0.35,299.15
31,113.3,4.63,299.16
32,113.5,4.83,299.15
33,113.9,2.71,299.16
34,113.9,5.49,299.18
35,114.2,0.96,299.21
36,113.8,1.36,299.25
37,113.3,4.94,299.37
38,111.7,3.13,299.49
39,111.5,5.2,299.61
40,111.4,4.42,299.73
41,111.3,4.53,299.86
42,111.4,2.49,300.01
43,111.4,0.62,300.15
44,111.3,5.02,300.32
45,111.3,0.18,300.48
46,111.3,0.62,300.69
47,111.3,3.54,300.91
48,111.3,0.87,301.15
49,111.4,4.91,301.4
50,111.4,4.88,301.65
51,111.2,3.91,301.93
52,111.3,5.19,302.22
53,111.2,1.67,302.49
54,111.3,6.15,302.77
55,111.2,2.56,303.06
56,111.2,3.55,303.33
57,111.2,5.68,303.61
58,111.2,2.25,303.9
59,111.4,3.81,304.19
60,111.8,2.2,304.47
61,112.1,3.31,304.74
62,111.9,2.72,305.01
63,111.7,5.64,305.29
64,111.3,2.83,305.59
65,111.3,6.01,305.86
66,111.4,5.45,306.12
67,111.3,2.19,306.42
68,111.3,2.63,306.69
69,111.2,6.69,306.99
70,110.9,4.43,307.29
71,110.9,5.91,307.58
72,110.8,4.78,307.87
73,110.8,1.15,308.13
74,110.8,5.96,308.44
75,110.5,5.27,308.75
76,110.2,2.78,309.04
77,110.5,1.03,309.31
78,111.1,4.31,309.64
79,111,2.24,309.95
80,111,3.58,310.23
81,111.1,3.08,310.53
82,110.9,4.69,310.85
83,110.9,5,311.17
84,111.1,4.65,311.49
85,111,4.74,311.82
86,111.2,4.46,312.12
87,111.3,4.28,312.42
88,111.4,5.22,312.76
89,111.8,1.03,313.08
90,111.7,3.69,313.43
91,111.7,6.95,313.77
92,111.6,8.36,314.11
93,111.4,7.17,314.38
94,110.8,11.2,314.74
95,110,11.84,315.09
96,109.7,22,315.42
97,109.2,19.43,315.81
98,108.8,25.6,316.12
99,107.9,27.38,316.47
100,107.7,34.59,316.84
101,107.5,37.78,317.22
102,107.2,40.48,317.58
103,106.8,46.41,317.9
104,106.5,44.34,318.29
105,106.4,45.87,318.66
106,106.2,45.7,318.95
