Time (s),Mass (g),HRR (kW/m2),TC back 1 (K)
0,102.6,4.6,295.773
1,102.6,1.63,295.772
2,102.6,0.56,295.771
3,102.8,4.62,295.773
4,102.5,3.9,295.768
5,102.6,2.48,295.77
6,102.6,4.78,295.728
7,102.6,0.25,295.661
8,102.6,3.18,295.582
9,102.6,3.77,295.529
10,102.6,2.58,295.484
11,102.6,1.26,295.438
12,102.6,0.01,295.392
13,102.5,4.79,295.354
14,102.8,2.3,295.312
15,102.6,3.68,295.3
16,102.5,1.99,295.265
17,102.5,0.13,295.249
18,102.5,5.63,295.229
19,102.5,0.71,295.213
20,102.5,3.97,295.196
21,102.4,4.65,295.187
22,102.4,4.74,295.167
23,102.4,4.45,295.154
24,102.4,2.84,295.153
25,102.4,0.64,295.14
26,102.4,3.73,295.138
27,102.4,5.07,295.14
28,102.3,3.92,295.139
29,102.3,4.81,295.144
30,102.2,0.53,295.128
31,102.2,1.6,295.13
32,102.3,3.7,295.132
33,102.3,4.45,295.119
34,102.3,0.11,295.135
35,102.3,1.09,295.119
36,102.3,2.86,295.117
37,102.3,2.97,295.119
38,102.2,3.87,295.117
39,102.3,4.46,295.126
40,102.3,0.49,295.124
41,102.2,4.7,295.144
42,102.3,0.76,295.157
43,102.2,1.24,295.141
44,102.2,1.95,295.131
45,102.2,4.62,295.144
46,102.2,3.84,295.157
47,102.2,6.21,295.159
48,102.2,5.74,295.164
49,102.2,4.4,295.17
50,102.2,4.45,295.197
51,102.1,2.76,295.202
52,102.2,6.5,295.201
53,102.2,1.55,295.22
54,102.2,5.61,295.219
55,102.2,4.09,295.224
56,102.2,2.86,295.222
57,102.2,4.24,295.242
58,102.1,4.8,295.262
59,102.1,5.53,295.274
60,102.1,2.93,295.295
61,102.1,6.46,295.307
62,102.1,4.07,295.323
63,102.1,4.91,295.332
64,102.1,6,295.334
65,102.2,6.17,295.361
66,102.1,2.18,295.366
67,102.1,0.97,295.394
68,102.1,2.76,295.402
69,102.1,4.13,295.415
70,102.1,1.62,295.442
71,102,5.98,295.458
72,102,5.94,295.475
73,102.1,5.07,295.491
74,102,6.02,295.5
75,102,5.46,295.523
76,102,3.37,295.535
77,102,6.89,295.555
78,101.9,6.97,295.564
79,102,3.97,295.587
80,101.9,3.94,295.607
81,101.9,5.81,295.616
82,102,3.69,295.639
83,102,5.17,295.666
84,102,4.13,295.693
85,102,6.18,295.702
86,102,6.61,295.718
87,102,6.69,295.727
88,101.9,6.34,295.754
89,102,2.27,295.762
90,101.9,1.72,295.796
91,101.9,2.7,295.812
92,101.9,4.19,295.821
93,101.9,6.25,295.833
94,101.9,6.24,295.827
95,101.8,6.77,295.854
96,101.8,3.61,295.87
97,101.9,1.71,295.897
98,101.8,5.96,295.92
